Sample,PCO1,PCO2,PCO3,PCO4,PCO5,PCO6,PCO7,PCO8,PCO9,PCO10,Year,Day,Site,Zone,Species,Tissue,Transect,lat,long
S151_Beau_FvH1,36.97943509,-18.50726078,34.89507871,9.743853189,1.660014442,-7.349483789,4.189179732,13.83515538,6.93653533,-0.575710541,15,1,Beau,_,Fv,H,1,South,w
S151_Beau_FvH2,35.19113636,-14.55250615,33.6747735,9.821476366,-0.818172962,-4.749110382,5.432422649,4.360734535,6.384355109,4.12918198,15,1,Beau,_,Fv,H,1,South,w
S151_Beau_FvH3,38.04077352,-11.77846483,36.12293999,10.34861753,0.307085638,-1.442445131,9.024909428,3.391900816,5.843140379,3.13197292,15,1,Beau,_,Fv,H,1,South,w
S151_Beau_FvH4,36.56147831,-13.35980214,32.70929342,11.69869417,0.630023921,-3.534830937,9.613336024,4.025885367,4.542247088,4.802668703,15,1,Beau,_,Fv,H,2,South,w
S151_Beau_FvH5,29.92260924,-24.27373618,30.1052589,6.922505998,-2.734703794,-16.50886553,-5.258108292,12.14474877,6.360590073,2.522424335,15,1,Beau,_,Fv,H,2,South,w
S151_Beau_FvH6,37.53407395,-15.88110412,36.82339855,10.42445098,1.487742994,-7.031902836,6.535373766,11.22029392,6.289801854,1.345692885,15,1,Beau,_,Fv,H,2,South,w
S151_Beau_FvV1,5.22887881,-48.87928442,-1.062029561,0.897894079,-8.958025138,4.540903195,-14.97434424,8.600769595,10.50219187,0.012625238,15,1,Beau,_,Fv,V,1,South,w
S151_Beau_FvV2,10.59463282,-36.85936697,6.817792019,4.873633732,-4.754220926,0.591478583,-4.439261469,8.418517042,8.990473121,4.144714624,15,1,Beau,_,Fv,V,1,South,w
S151_Beau_FvV3,-2.11965334,-43.95826839,-6.126781741,3.251319302,-3.212644248,18.78353239,-4.870988587,8.788109725,6.2589981,1.992939435,15,1,Beau,_,Fv,V,1,South,w
S151_Beau_FvV4,5.479549498,-15.85126611,-0.815606641,4.579945609,-4.925454145,5.917160035,-1.035386317,-2.671697677,7.295459602,16.71075915,15,1,Beau,_,Fv,V,2,South,w
S151_Beau_FvV5,9.551047359,-46.97807328,-0.483584664,2.115742622,-11.51928407,-2.566340941,-19.74195151,5.918582464,13.11956906,-1.414597767,15,1,Beau,_,Fv,V,2,South,w
S151_Beau_FvV6,-5.276520725,-35.8158071,-6.04197321,-0.165903389,-3.188031459,17.3963318,-5.294695933,2.348303425,7.63965214,6.976398503,15,1,Beau,_,Fv,V,2,South,w
S152_Beau_FvH1,35.32873231,-12.68679138,36.01860165,8.675648865,0.99489409,-5.73181815,3.587231828,11.58870069,3.306734764,-2.380665213,15,2,Beau,_,Fv,H,1,South,w
S152_Beau_FvH2,37.19011466,-15.57175148,36.6410214,10.47990484,-0.274430318,-8.927588999,4.504582959,9.61491172,5.386446366,1.828932792,15,2,Beau,_,Fv,H,1,South,w
S152_Beau_FvH3,35.75758567,-13.42028243,38.85761888,9.531591553,1.315296458,-4.685162398,5.012701129,9.871261696,3.842260092,0.648326462,15,2,Beau,_,Fv,H,1,South,w
S152_Beau_FvH4,38.32750813,-12.35927563,39.1891678,8.406528421,4.038205067,-3.567137422,6.944809256,13.09319556,3.96751956,-2.082971125,15,2,Beau,_,Fv,H,2,South,w
S152_Beau_FvH5,36.73712354,-14.65945223,38.02918826,10.5562022,0.028282457,-4.699502907,6.163319556,8.070705155,5.078864512,3.835639219,15,2,Beau,_,Fv,H,2,South,w
S152_Beau_FvH6,36.40377448,-13.10979316,37.63858828,8.794594437,1.184287858,-2.52812995,7.019424213,7.858320415,6.803608859,4.393235688,15,2,Beau,_,Fv,H,2,South,w
S152_Beau_FvV1,-4.941263236,-41.40351108,-6.22602006,4.996918109,1.465642179,24.28313737,-4.439681028,10.91077393,10.82824702,6.089989964,15,2,Beau,_,Fv,V,1,South,w
S152_Beau_FvV2,1.550483342,-37.19535962,-5.317782802,4.083584945,-5.309397364,20.12198361,-6.50418543,10.64346802,12.68024797,10.34939704,15,2,Beau,_,Fv,V,1,South,w
S152_Beau_FvV3,0.547252435,-43.47421738,-5.719174418,3.921139766,-5.034500182,11.38432115,-8.02745886,8.024042843,14.19144082,5.763197473,15,2,Beau,_,Fv,V,1,South,w
S152_Beau_FvV4,4.261953347,-47.98887367,-3.165474116,1.168775018,-7.745054708,16.11611058,-13.7619853,7.312446938,10.46229701,3.43017278,15,2,Beau,_,Fv,V,2,South,w
S152_Beau_FvV5,1.590761608,-44.03269016,-3.404107252,2.520003984,-5.788660627,16.92628949,-8.506750143,12.77269348,14.36459512,4.766610259,15,2,Beau,_,Fv,V,2,South,w
S152_Beau_FvV6,-4.204069264,-40.38492331,-10.05866396,-0.550214789,-1.390983373,27.64296037,-3.254628605,4.419646102,-1.345991492,1.13923183,15,2,Beau,_,Fv,V,2,South,w
S161_Beau_FvH1,35.10706024,-17.19819986,36.03668533,7.968639562,-0.709202158,-6.100321206,2.376829355,8.993201758,4.523241696,2.841362903,16,1,Beau,_,Fv,H,1,South,w
S161_Beau_FvH2,38.51999927,-12.80323205,37.56787088,9.750581313,1.361075335,-3.020995415,7.688087895,7.677363775,4.430693963,1.985328398,16,1,Beau,_,Fv,H,1,South,w
S161_Beau_FvH3,36.26977362,-14.77426011,34.33795433,8.734130457,1.865482267,-3.241204551,4.998641977,9.354962665,5.227554016,4.575489191,16,1,Beau,_,Fv,H,1,South,w
S161_Beau_FvH4,37.57016006,-15.64527226,36.50104083,9.444153834,1.842475454,-4.672707092,6.96693473,9.299267307,6.871829006,2.319718744,16,1,Beau,_,Fv,H,2,South,w
S161_Beau_FvH5,33.02511548,-15.16428956,30.38856595,7.869274695,0.954369275,4.246474486,6.687724915,6.967484591,3.698335699,0.705838076,16,1,Beau,_,Fv,H,2,South,w
S161_Beau_FvH6,34.86811716,-15.71825451,36.74594093,8.993885157,1.219107852,-6.242232457,6.383406796,9.971706182,4.647614292,2.354242721,16,1,Beau,_,Fv,H,2,South,w
