ASVid,domain,phylum,class,order,family,genus
s10050,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade III,Clade III_ge
s10052,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade III,Clade III_ge
s10054,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade III,Clade III_ge
s1014,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Marinagarivorans
s1017,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
s10191,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna
s1020,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
s1025,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Saprospiraceae_ge
s10270,Bacteria,Cyanobacteria,Oxyphotobacteria,Phormidesmiales,Phormidesmiaceae,Phormidesmis ANT.LACV5.1
s10300,Bacteria,Bacteria_ph,Bacteria_ph_cl,Bacteria_ph_cl_or,Bacteria_ph_cl_or_fa,Bacteria_ph_cl_or_fa_ge
s10303,Bacteria,Cyanobacteria,Oxyphotobacteria,Phormidesmiales,Phormidesmiaceae,Phormidesmis ANT.LACV5.1
s10343,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Xenococcaceae,Pleurocapsa PCC7319
s1038,Bacteria,Proteobacteria,Gammaproteobacteria,MilanoWF1B44,MilanoWF1B44_fa,MilanoWF1B44_fa_ge
s10385,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Luteibacter
s10440,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Xenococcaceae,Pleurocapsa PCC7319
s10442,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Xenococcaceae,Pleurocapsa PCC7319
s10499,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia
s10518,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Reinekea
s10563,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_ge
s10567,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_ge
s10595,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Lewinella
s10596,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Lewinella
s10625,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Leucothrix
s10640,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Cocleimonas
s10692,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter
s10729,Bacteria,Bacteria_ph,Bacteria_ph_cl,Bacteria_ph_cl_or,Bacteria_ph_cl_or_fa,Bacteria_ph_cl_or_fa_ge
s10792,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Gammaproteobacteria Incertae Sedis_fa,Marinicella
s10804,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5) clade
s10969,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_ge
s10970,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_ge
