old,new
17262,t3260
14169,t8371
4575,t2103
4931,t3536
16452,t12519
4348,t320
3371,t628
9856,t10392
1571,t965
18534,t12436
16456,t7633
16387,t7667
16107,t6300
15057,t5244
11673,t6062
11430,t2112
12892,t3317
15377,t11645
12188,t12254
7736,t4211
9366,t5725
3671,t2143
13148,t3316
15110,t5205
1928,t5033
9312,t5990
11247,t13402
18173,t14549
12424,t7351
5226,t2988
15164,t10361
17573,t13205
2663,t7570
13668,t7076
15034,t4929
17129,t12214
1572,t967
10303,s10303
6260,t10474
14503,t5417
10938,t3186
9460,t4568
11998,t5759
12164,t3586
1574,t4399
14981,s14981
17369,t13517
15599,t8184
8081,t12834
7954,t8053
17058,t12134
17187,t12235
9433,t14312
18217,t14512
4033,t323
4941,s4941
12210,t14367
5004,t2109
14381,t5327
6814,t6438
18293,t14585
11086,t12388
15078,t5242
13116,t3135
9148,t1476
11633,t5543
12477,t12637
18459,t13594
13149,t3315
8282,t8181
16026,t13735
15876,t11895
12022,t530
13056,t9427
9664,t11838
9530,t4522
17282,t3330
13525,t1679
18172,t14538
17920,t11118
11275,t7464
8358,t9798
7959,t8050
18234,s18234
15970,t4834
16630,t12455
15518,t8215
15105,t5204
9939,t10384
17267,t13530
4702,t7007
6995,t6390
15669,t10808
18262,t14571
6368,t10409
9836,t10401
16490,s16490
9368,t5727
5817,t3854
13516,t2101
9528,t10080
16434,t13505
11277,t7463
15782,t13982
17534,t13220
9371,t5723
17059,t12129
17394,t13307
2460,t12686
9512,t4753
11082,t12370
15412,t6204
5924,t7107
7952,t14658
12283,t7131
9085,t11311
10623,t12720
4701,t1925
16921,t6086
5420,t883
15643,t6949
842,t13022
16435,t13503
11762,t1534
14433,t10764
10690,t8128
9173,t11107
6603,t10350
5347,t3095
12585,t9263
12356,t12206
15615,t12811
8120,t14674
16895,t4887
12497,t7966
6816,t6437
14327,t7064
14174,t403
10639,t8018
12754,s12754
7692,t787
12894,t9415
16087,s16087
18094,t15020
9806,t10427
18330,t12489
17263,s17263
15897,t10390
15749,t5563
6602,t10369
166,s166
12643,t3182
1951,s1951
7603,t4213
15687,t5527
12240,t12202
11670,s11670
18104,t14552
412,t71
2373,t230
12584,t13384
17605,t13617
16832,t2288
4030,t329
17007,t9528
9961,t10413
1044,t8282
17114,t12218
6080,s6080
2347,t1127
850,t2934
17027,s17027
9916,t10406
6941,t11478
7866,t786
17218,t9123
10693,t12712
15581,t8241
15484,t13140
14175,t3471
130,t7396
13442,t3364
8564,t10888
1622,s1622
15670,t5561
10666,t12718
3384,t623
5516,t5824
3780,t7939
15590,t8248
12049,t3694
8397,t1374
13814,t8559
18240,s18240
17327,t13511
11555,t10970
1209,t5337
18314,t12466
6735,t10317
18033,s18033
16753,t12476
15933,t6578
15806,t13990
12425,t7352
15586,t8245
14258,t3627
9941,t10383
17172,t12234
4691,t1927
16777,t12494
13113,s13113
15086,t4932
16627,t14558
5155,t2837
15706,t10813
8541,t6891
17913,t10634
17878,t11700
1827,t5489
13675,t7057
3049,t2113
6545,t13811
6507,t10351
4338,t324
14404,t5418
11635,t5541
15686,t1435
9526,t10086
17225,t9163
17206,t12607
1837,t3781
16524,t3228
7834,t9916
17174,t12230
11395,s11395
15594,t8243
15358,t6368
10544,t9106
11311,t9906
5915,t11538
16375,t15500
17330,t13512
13902,t8486
6088,t5073
10829,t14404
17051,t2144
17219,t9124
11851,t11420
4578,s4578
18381,t13518
12305,t7162
15113,t10646
7941,t8283
8517,t1871
16416,t7656
9458,t4570
1835,t5435
16173,t3441
15593,t8244
11348,t4885
12476,t12636
12533,t8504
1315,t10984
8563,t10887
13555,t6328
9177,t14071
12048,t3693
9311,t11119
15359,t11605
7715,s7715
15381,t11635
16932,t6125
16855,t7490
16094,s16094
12498,t12604
17080,t7213
2681,t2294
12088,t14047
13004,s13004
15209,t4910
3380,t10719
17655,t825
12047,t5950
9576,t4538
7059,t11655
2815,t4108
11325,t9898
12608,t9303
10906,t7658
12316,t12197
14477,s14477
17793,t6783
16493,t14509
4365,t3044
18120,s18120
13533,s13533
13844,t15538
12756,s12756
13402,s13402
5142,t8475
15956,t11777
12021,t15172
11460,t4199
18374,t12130
1634,s1634
17252,t14783
11710,t6094
7650,s7650
9788,t10432
7540,t8657
7438,t13395
8953,s8953
18292,t15067
18275,t15154
9178,t11313
7601,t9927
13340,t3391
12317,t14380
1031,t7962
18478,t5429
1327,t5516
10050,s10050
8359,t9803
12509,t8755
13427,t3357
13339,t3356
5348,t9104
18276,s18276
7953,t12755
5354,t9075
11312,t9902
6339,t13764
18216,t12422
743,t8440
2246,t1591
8018,t15614
11975,t5800
7956,t8051
18407,s18407
14678,t5419
15088,t13771
14799,s14799
17297,t15125
15176,t5165
16271,t14429
8189,t12856
14170,t8372
17033,t12135
16306,s16306
13527,t1678
7483,t8538
7033,t11666
17186,t7278
14966,s14966
9690,t10246
1453,s1453
7772,t8788
10128,t6580
9475,t10186
9807,s9807
3919,t14744
13801,t2929
15664,t12020
4700,t3689
12353,t12220
4360,t3402
13681,t9645
17082,s17082
15921,t14968
6236,s6236
9704,s9704
2380,t9094
12001,t11053
1201,t5339
13813,t8560
17701,t13628
13633,t529
2142,t13734
6319,t4931
1225,t9793
17857,t6763
17212,t3318
16216,t3236
16308,t12353
9174,t15609
14027,t8324
13860,t8476
14215,t9616
17130,t12215
12211,t12182
15348,t670
13400,t13218
14680,s14680
8152,t12893
17712,t13558
17963,s17963
18417,t9156
8037,t12846
17234,t3256
10156,t6678
10967,t7533
7216,t4002
8236,t12744
17283,t9418
11056,s11056
15450,t3995
2828,t9907
4689,t5827
17326,t9378
10092,t14279
1927,s1927
17409,s17409
17550,t3363
17673,t4327
17975,s17975
8192,s8192
17556,t8950
1325,t10994
17659,t12148
15299,t14961
11477,t5618
10644,t8019
14770,t4009
3108,t4200
9369,t5726
8191,t3499
4380,t9041
18201,t12440
9205,t11138
