ASVid,domain,phylum,class,order,family,genus,species
t13272,Unknown,,,,,,
t2641,Unknown,,,,,,
s44,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,
t2528,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,BurkholderiaCaballeroniaParaburkholderia,
t2447,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Aureispira,Saprospira sp. CNJ640
s82,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Aureispira,Aureispira marina
t466,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,uncultured,uncultured bacterium,
s95,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Psychrilyobacter,uncultured bacterium
t2054,Bacteria,Proteobacteria,Gammaproteobacteria,Thiohalorhabdales,Thiohalorhabdaceae,Granulosicoccus,
t2360,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,uncultured,uncultured bacterium
t2009,Unknown,,,,Mitochondria,,
t614,Unknown,,,,,,
t7396,Unknown,,,,Mitochondria,,
t986,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,DEV007,uncultured organism,
t2589,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,BurkholderiaCaballeroniaParaburkholderia,
t2023,Bacteria,Proteobacteria,Gammaproteobacteria,Thiohalorhabdales,Thiohalorhabdaceae,Granulosicoccus,
t4070,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,uncultured,uncultured bacterium
s166,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Pyropia fucicola,
s174,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Porphyra umbilicalis (laver),
t964,Unknown,,,,,,
