SampleName,Season,Year,Day,Site,Zone,Species,Tissue,Replicate,Type,Transect,SampleNumber
F151_SCH_LO_FdH1,F,15,1,SCH,LO,Fd,H,1,Alga,1,31
F151_SCH_LO_FdH2,F,15,1,SCH,LO,Fd,H,2,Alga,1,32
F151_SCH_LO_FdH3,F,15,1,SCH,LO,Fd,H,3,Alga,1,33
F151_SCH_LO_FdH4,F,15,1,SCH,LO,Fd,H,4,Alga,2,34
F151_SCH_LO_FdH5,F,15,1,SCH,LO,Fd,H,5,Alga,2,35
F151_SCH_LO_FdH6,F,15,1,SCH,LO,Fd,H,6,Alga,2,36
F151_SCH_LO_FdR1,F,15,1,SCH,LO,Fd,R,1,Alga,1,37
F151_SCH_LO_FdR2,F,15,1,SCH,LO,Fd,R,2,Alga,1,38
F151_SCH_LO_FdR3,F,15,1,SCH,LO,Fd,R,3,Alga,1,39
F151_SCH_LO_FdR4,F,15,1,SCH,LO,Fd,R,4,Alga,2,40
F151_SCH_LO_FdR5,F,15,1,SCH,LO,Fd,R,5,Alga,2,41
F151_SCH_LO_FdR6,F,15,1,SCH,LO,Fd,R,6,Alga,2,42
F151_SCH_LO_FdV1,F,15,1,SCH,LO,Fd,V,1,Alga,1,43
F151_SCH_LO_FdV2,F,15,1,SCH,LO,Fd,V,2,Alga,1,44
F151_SCH_LO_FdV3,F,15,1,SCH,LO,Fd,V,3,Alga,1,45
F151_SCH_LO_FdV4,F,15,1,SCH,LO,Fd,V,4,Alga,2,46
F151_SCH_LO_FdV5,F,15,1,SCH,LO,Fd,V,5,Alga,2,47
F151_SCH_LO_FdV6,F,15,1,SCH,LO,Fd,V,6,Alga,2,48
F152_SCH_LO_FdH1,F,15,2,SCH,LO,Fd,H,1,Alga,1,109
F152_SCH_LO_FdH2,F,15,2,SCH,LO,Fd,H,2,Alga,1,110
F152_SCH_LO_FdH3,F,15,2,SCH,LO,Fd,H,3,Alga,1,111
F152_SCH_LO_FdH4,F,15,2,SCH,LO,Fd,H,4,Alga,2,112
F152_SCH_LO_FdH5,F,15,2,SCH,LO,Fd,H,5,Alga,2,113
F152_SCH_LO_FdH6,F,15,2,SCH,LO,Fd,H,6,Alga,2,114
F152_SCH_LO_FdR1,F,15,2,SCH,LO,Fd,R,1,Alga,1,115
F152_SCH_LO_FdR2,F,15,2,SCH,LO,Fd,R,2,Alga,1,116
F152_SCH_LO_FdR3,F,15,2,SCH,LO,Fd,R,3,Alga,1,117
