ASVid,domain,phylum,class,order,family,genus,species
t684,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,03196G20,,
s14352,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,uncultured bacterium,
s14354,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,uncultured bacterium,
s14356,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,uncultured Chloroflexi bacterium,
s14359,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,uncultured bacterium,
s2812,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,uncultured bacterium,
t15586,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,uncultured Chloroflexi bacterium,
t3243,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,uncultured bacterium,
t3619,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,uncultured bacterium,
s6510,Bacteria,Cyanobacteria,Oxyphotobacteria,Thermosynechococcales,Acaryochloridaceae,Acaryochloris MBIC11017,uncultured Acaryochloris sp.
s9789,Bacteria,Cyanobacteria,Oxyphotobacteria,Thermosynechococcales,Acaryochloridaceae,Acaryochloris MBIC11017,uncultured Acaryochloris sp.
s9790,Bacteria,Cyanobacteria,Oxyphotobacteria,Thermosynechococcales,Acaryochloridaceae,Acaryochloris MBIC11017,
s9843,Bacteria,Cyanobacteria,Oxyphotobacteria,Thermosynechococcales,Acaryochloridaceae,Acaryochloris MBIC11017,uncultured bacterium
s9845,Bacteria,Cyanobacteria,Oxyphotobacteria,Thermosynechococcales,Acaryochloridaceae,Acaryochloris MBIC11017,uncultured bacterium
t10432,Bacteria,Cyanobacteria,Oxyphotobacteria,Thermosynechococcales,Acaryochloridaceae,Acaryochloris MBIC11017,
s13517,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,uncultured bacterium
s13533,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,uncultured bacterium
s13535,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,uncultured bacterium
s13536,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,uncultured bacterium
t2101,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,
s6235,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN169 marine group,uncultured bacterium,
s6236,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN169 marine group,,
t1278,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN169 marine group,,
t15271,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN169 marine group,,
s7691,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,soda lake metagenome
s10692,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter,uncultured Aestuariibacter sp.
s11350,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Glaciecola,Cylindrotheca closterium
s16896,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Paraglaciecola,uncultured bacterium
s3091,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter,
t12686,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aliiglaciecola,uncultured bacterium
t12712,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Glaciecola,
t12715,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Paraglaciecola,
