,BeauFv,BodoFv, CadFv,HaliFv, LewFv,LimaFv,ObanFv, SCHFs, SCHFd, SCHFv, SIdFv,TagusFv,TorrFv, UumFv,VianaFv,  WHFv,GreenFv,MineFv,NewpFv
BeauFv,0,,,,,,,,,,,,,,,,,,
BodoFv,12.374,0,      ,      ,      ,      ,      ,      ,      ,      ,      ,       ,      ,      ,       ,      ,       ,      ,
CadFv,34.674,14.842,0,      ,      ,      ,      ,      ,      ,      ,      ,       ,      ,      ,       ,      ,       ,      ,
HaliFv,14.35,35.771,17.783,0,      ,      ,      ,      ,      ,      ,      ,       ,      ,      ,       ,      ,       ,      ,
LewFv,28.376,17.388,25.965,19.708,0,      ,      ,      ,      ,      ,      ,       ,      ,      ,       ,      ,       ,      ,
LimaFv,20.833,19.02,23.147,20.988,24.887,0,      ,      ,      ,      ,      ,       ,      ,      ,       ,      ,       ,      ,
ObanFv,17.303,27.537,20.825,31.075,21.644,26.226,0,      ,      ,      ,      ,       ,      ,      ,       ,      ,       ,      ,
SCHFs,9.1906,30.175,12.237,29.857,17.275,18.593,25.879,0,      ,      ,      ,       ,      ,      ,       ,      ,       ,      ,
SCHFd,7.5667,27.58,9.4972,29.974,12.717,16.556,24.77,22.138,0,      ,      ,       ,      ,      ,       ,      ,       ,      ,
SCHFv,11.77,35.943,14.588,38.41,18.135,21.094,30.267,33.163,32.734,0,      ,       ,      ,      ,       ,      ,       ,      ,
SidFv,14.384,24.341,18.726,25.456,17.108,18.071,25.232,19.688,26.855,26.516,0,       ,      ,      ,       ,      ,       ,      ,
TagusFv,27.557,20.376,33.084,23.213,32.186,30.679,26.602,18.918,16.557,22.357,22.586,0,      ,      ,       ,      ,       ,      ,
TorrFv,27.348,20.107,30.59,22.95,26.721,33.102,28.681,15.58,19.432,22.433,25.329,33.114,0,      ,       ,      ,       ,      ,
UumFv,11.622,30.397,14.21,33.596,18.853,24.996,28.199,34.179,28.343,34.73,20.036,20.961,21.85,0,       ,      ,       ,      ,
VianaFv,19.323,24.589,25.842,28.146,21.967,25.54,29.533,19.924,22.039,27.194,26.754,29.38,31.142,21.53,0,      ,       ,      ,
WHFv,17.129,31.245,20.029,34.855,20.105,20.156,27.394,23.389,27.049,32.174,29.256,23.604,24.422,26.141,28.211,0,       ,      ,
GreenFv,6.0424,24.582,7.3367,27.626,13.041,15.466,20.905,24.019,33.012,27.767,15.755,13.109,14.794,36.779,14.988,21.474,0,      ,
MineFv,16.961,30.453,22.24,35.392,26.207,27.686,32.853,33.758,23.723,34.49,23.075,31.775,26.295,33.972,31.173,26.585,22.388,0,
NewpFv,21.014,26.463,24.963,31.732,23.288,22.234,28.896,22.316,21.904,27.669,25.474,26.832,27.349,24.73,31.807,34.101,18.101,31.784,0
