,BeauFv,BodoFv, CadFv,HaliFv, LewFv,LimaFv,ObanFv, SCHFs, SCHFd, SCHFv,SidFv,TagusFv,TorrFv, UumFv,VianaFv,  WHFv,GreenFv,MineFv,NewpFv
BeauFv,40.753,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,       ,      ,      ,       ,      ,       ,      ,      
BodoFv,10.262,47.921,      ,      ,      ,      ,      ,      ,      ,      ,      ,       ,      ,      ,       ,      ,       ,      ,      
CadFv,21.791,14.034,52.055,      ,      ,      ,      ,      ,      ,      ,      ,       ,      ,      ,       ,      ,       ,      ,      
HaliFv,9.7404,48.252,11.322,62.087,      ,      ,      ,      ,      ,      ,      ,       ,      ,      ,       ,      ,       ,      ,      
LewFv,31.727,17.559,23.531,18.077,43.002,      ,      ,      ,      ,      ,      ,       ,      ,      ,       ,      ,       ,      ,      
LimaFv,19.194,25.459,18.84,28.022,30.047,55.745,      ,      ,      ,      ,      ,       ,      ,      ,       ,      ,       ,      ,      
ObanFv,19.245,28.325,18.812,26.732,24.906,30.944,35.353,      ,      ,      ,      ,       ,      ,      ,       ,      ,       ,      ,      
SCHFs,9.7417,37.665,16.102,32.237,16.177,25.642,28,50.822,      ,      ,      ,       ,      ,      ,       ,      ,       ,      ,      
SCHFd,6.0577,39.32,9.6843,40.892,10.75,19.016,20.496,28.195,50.162,      ,      ,       ,      ,      ,       ,      ,       ,      ,      
SCHFv,10.15,46.658,13.139,46.728,17.032,23.828,28.969,39.008,41.187,54.103,      ,       ,      ,      ,       ,      ,       ,      ,      
SIdFv,8.5902,35.499,11.626,31.269,12.753,18.525,23.48,32.709,37.799,38.72,48.169,       ,      ,      ,       ,      ,       ,      ,      
TagusFv,21.618,32.027,24.271,31.004,28.906,32.011,30.68,31.833,24.624,34.953,28.646,51.237,      ,      ,       ,      ,       ,      ,      
TorrFv,26.539,21.365,24.498,18.768,29.398,30.46,32.423,24.242,18.107,24.442,25.381,37.679,56.515,      ,       ,      ,       ,      ,      
UumFv,9.9041,41.081,14.423,38.257,16.732,27.491,31.234,41.535,34.483,40.584,33.143,30.052,23.546,54.8,       ,      ,       ,      ,      
VianaFv,14.927,30.344,18.103,31.839,24.066,35.124,29.003,27.639,23.838,28.659,23.017,35.04,27.556,28.91,44.045,      ,       ,      ,      
WHFv,11.294,32.705,10.915,34.998,16.569,22.99,24.205,23.447,33.745,30.63,31.918,23.368,22.953,30.517,27.154,55.424,       ,      ,      
GreenFv,7.5243,23.343,11.094,24.137,12.135,26.084,21.464,24.207,20.763,21.987,16.058,18.132,14.18,32.749,23.718,17.735,55.705,      ,      
MineFv,12.401,30.961,17.051,30.766,18.128,23.701,23.213,32.957,22.793,33.946,23.346,32.549,20.745,27.925,26.623,15.615,20.291,48.774,      
NewpFv,12.409,22.37,14.136,25.373,17.469,23.792,21.625,16.574,17.678,18.526,16.48,19.585,18.498,21.173,28.94,34.456,17.035,14.567,41.824
