,BeauEnv_,BodoEnv_,HaliEnv_,LewEnv_,ObanEnv_,SBEnv_,SidEnv_,TagusEnv_,TorrEnv_,VianaEnv_,WHEnv_,CadEnv_,MineEnv_
BeauEnv_,0,,,,,,,,,,,,
BodoEnv_,6547,0,,,,,,,,,,,
HaliEnv_,1539,5068,0,,,,,,,,,,
LewEnv_,471,6084,1130,0,,,,,,,,,
ObanEnv_,5743,1619,4205,5322,0,,,,,,,,
SBEnv_,6234,3688,4867,5938,2204,0,,,,,,,
SidEnv_,6007,2110,4485,5614,645,1597,0,,,,,,
TagusEnv_,5913,3511,4526,5607,1965,357,1401,0,,,,,
TorrEnv_,5879,3290,4462,5557,1742,521,1181,223,0,,,,
VianaEnv_,5837,3195,4408,5509,1640,622,1087,326,106,0,,,
WHEnv_,920,5633,641,489,4836,5478,5126,5142,5086,5035,0,,
CadEnv_,6234,3688,4867,5938,2204,0,1597,357,521,622,5478,0,
MineEnv_,5985,2061,4461,5590,587,1651,57,1451,1230,1134,5101,1651,0
