,BeauEnv_,BodoEnv_,HaliEnv_,LewEnv_,ObanEnv_,SBEnv_,SidEnv_,TagusEnv_,TorrEnv_,VianaEnv_,WHEnv_,CadEnv_,MineEnv_
BeauEnv_,62.001,        ,        ,       ,        ,      ,       ,         ,        ,         ,      ,       ,        
BodoEnv_,4.961,33.113,        ,       ,        ,      ,       ,         ,        ,         ,      ,       ,        
HaliEnv_,2.2234,29.42,54.251,       ,        ,      ,       ,         ,        ,         ,      ,       ,        
LewEnv_,39.715,10.326,2.9647,42.105,        ,      ,       ,         ,        ,         ,      ,       ,        
ObanEnv_,7.9278,19.563,19.049,9.5906,26.317,      ,       ,         ,        ,         ,      ,       ,        
SBEnv_,39.236,8.0633,6.1103,32.37,10.934,56.704,       ,         ,        ,         ,      ,       ,        
SidEnv_,15.282,14.8,5.4396,19.184,16.068,20.277,21.893,         ,        ,         ,      ,       ,        
TagusEnv_,28.094,9.9257,1.0952,34.472,6.4427,19.662,13.043,45.115,        ,         ,      ,       ,        
TorrEnv_,29.4,14.039,11.095,30.749,17.489,32.972,20.581,22.104,27.732,         ,      ,       ,        
VianaEnv_,18.112,11.851,4.362,23.187,17.688,30.071,31.942,9.8853,26.539,59.258,      ,       ,        
WHEnv_,9.0632,10.087,1.5087,10.882,12.709,8.0255,13.212,12.549,9.0873,6.151,64.012,       ,        
CadEnv_,40.443,5.281,2.2387,29.744,9.4193,55.528,17.076,18.788,29.538,25.471,6.9735,63.913,        
MineEnv_,13.367,16.896,1.0904,24.811,12.772,14.972,21.749,25.587,20.841,21.14,10.796,15.354,38.766
