,BeauEnv_,BodoEnv_,HaliEnv_,LewEnv_,LimaEnv_,ObanEnv_,SBEnv_,SidEnv_,TagusEnv_,VianaEnv_,WHEnv_,CadEnv_,SCHEnvHI,SCHEnvLO,SCHEnvMID,MineEnv_,NewpEnv_
BeauEnv_,55.381,        ,        ,       ,        ,        ,      ,       ,         ,         ,      ,       ,        ,        ,         ,        ,        
BodoEnv_,16.897,55.36,        ,       ,        ,        ,      ,       ,         ,         ,      ,       ,        ,        ,         ,        ,        
HaliEnv_,18.268,43.774,78.001,       ,        ,        ,      ,       ,         ,         ,      ,       ,        ,        ,         ,        ,        
LewEnv_,34.035,19.705,22.686,51.478,        ,        ,      ,       ,         ,         ,      ,       ,        ,        ,         ,        ,        
LimaEnv_,12.268,23.746,23.487,14.097,33.083,        ,      ,       ,         ,         ,      ,       ,        ,        ,         ,        ,        
ObanEnv_,16.846,35.403,42.897,23.164,24.48,44.033,      ,       ,         ,         ,      ,       ,        ,        ,         ,        ,        
SBEnv_,33.904,10.552,11.862,26.763,9.7356,11.421,67.393,       ,         ,         ,      ,       ,        ,        ,         ,        ,        
SidEnv_,15.687,27.747,31.74,21.083,24.83,35.417,10.883,83.64,         ,         ,      ,       ,        ,        ,         ,        ,        
TagusEnv_,21.479,19.707,11.696,25.982,17.579,11.914,15.703,15.793,40.508,         ,      ,       ,        ,        ,         ,        ,        
VianaEnv_,14.878,27.062,20.733,16.682,23.056,25.595,10.385,26.565,23.287,36.206,      ,       ,        ,        ,         ,        ,        
WHEnv_,26.013,34.899,49.775,36.605,22.268,37.709,22.024,36.131,16.497,18.946,82.072,       ,        ,        ,         ,        ,        
CadEnv_,32.281,13.319,12.145,27.53,11.825,11.415,53.607,12.788,23.645,14.289,21.09,46.52,        ,        ,         ,        ,        
SCHEnvHI,18.481,42.818,47.271,20.854,23.952,37.358,9.0167,27.284,15.643,22.324,36.109,10.958,45.263,        ,         ,        ,        
SCHEnvLO,17.766,48.851,60.596,22.394,23.345,46.443,10.225,31.703,11.101,20.205,46.694,10.394,57.195,72.011,         ,        ,        
SCHEnvMID,16.328,48.902,59.229,20.533,23.544,45.775,9.9081,31.45,10.946,21.458,45.047,9.8315,55.21,71.136,66.819,        ,        
MineEnv_,11.217,13.182,15.712,14.316,13.13,21.153,6.0955,25.523,10.781,25.844,15.64,7.158,16.159,14.489,15.047,0,        
NewpEnv_,15.177,20.768,28.089,22.167,16.538,23.477,12.924,18.636,11.898,17.146,29.514,13.104,20.083,22.8,22.986,15.369,29.393
