Sites,lat,lon,Tz
Amo,41.6429,-8.824233,Europe/Lisbon
Beau,34.716837,-76.668103,America/New_York
Bodo,67.412183,14.6156,Europe/Oslo
Cadi,36.46783,-6.25158,Europe/Gibraltar
Hali,44.491883,-63.912172,America/Halifax
Lewe,38.78846,-75.16091,America/New_York
Mine,51.18323,-3.38488,Europe/London
Oban,56.290933,-5.633683,Europe/London
Newp,41.450748,-71.356392,America/New_York
Scho,44.334048,-68.05799,America/New_York
Sidm,50.675183,-3.2468,Europe/London
Tasi,65.613076,-37.630477,America/Godthab
Uumm,70.692722,-52.143472,America/Godthab
Vian,41.69583,-8.85115,Europe/Lisbon
Wood,41.515628,-70.654314,America/New_York
Torr,40.751038,-8.700004,Europe/Lisbon
Lima,41.695562,-8.816925,Europe/Lisbon
Tagu,38.762965,-9.09139,Europe/Lisbon
