Sites,lat,lon,Tz
BeauFv,34.716837,-76.668103,America/New_York
BodoFv,67.412183,14.6156,Europe/Oslo
CadFv,36.46783,-6.25158,Europe/Gibraltar
HaliFv,44.491883,-63.912172,America/Halifax
LewFv,38.78846,-75.16091,America/New_York
MineFv,51.18323,-3.38488,Europe/London
ObanFv,56.290933,-5.633683,Europe/London
NewpFv,41.450748,-71.356392,America/New_York
SCHFv,44.334048,-68.05799,America/New_York
SidFv,50.675183,-3.2468,Europe/London
UumFv,70.692722,-52.143472,America/Godthab
VianaFv,41.69583,-8.85115,Europe/Lisbon
WHFv,41.515628,-70.654314,America/New_York
TorrFv,40.751038,-8.700004,Europe/Lisbon
LimaFv,41.695562,-8.816925,Europe/Lisbon
TagusFv,38.762965,-9.09139,Europe/Lisbon
