"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~min_PAR_2WeeksBefore + max_windSpeed_2WeeksBefore+ min_SST_2WeeksBefore + max_humidity_2WeeksBefore + max_TidalHeight_2WeeksBefore ",0.591721583068546,"min_PAR_2WeeksBefore ",0.285379078508807," max_windSpeed_2WeeksBefore",0.257353821310082," min_SST_2WeeksBefore ",0.10820305188396," max_humidity_2WeeksBefore ",0.0284129408942339," max_TidalHeight_2WeeksBefore ",7.3211867256522e-06,0.407780264788293,0.444686710629109,0.57725910663757,0.591721583068546
"s10442","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s10567","measurement~ max_temperature_2WeeksBefore +median_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",0.117804515188562," max_temperature_2WeeksBefore ",0.0939369428946782,"median_temperature_2WeeksBefore ",0.0796365774209624," min_temperature_2WeeksBefore ",0.0638734643229544," median_PAR_2WeeksBefore ",0.0373865473832133," max_PAR_2WeeksBefore",0.0174096202669183,0.0941720711139553,0.100720196153129,0.117785929724056,0.117804515188563
"s10729","measurement~ max_humidity_2WeeksBefore + max_windBearing_2WeeksBefore + median_windBearing_2WeeksBefore + min_windBearing_2WeeksBefore+median_Photoperiod_2WeeksBefore ",0.130593818847118," max_humidity_2WeeksBefore ",0.0202560496454669," max_windBearing_2WeeksBefore ",0.0139462039173004," median_windBearing_2WeeksBefore ",0.00734250205831752," min_windBearing_2WeeksBefore",0.000290624879109397,"median_Photoperiod_2WeeksBefore ",3.98734715403607e-05,0.0235941403399832,0.0862687201536923,0.12746798347965,0.130593818847118
"s11056","measurement~ min_PAR_2WeeksBefore +median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + median_windSpeed_2WeeksBefore + median_windBearing_2WeeksBefore",0.336796332689061," min_PAR_2WeeksBefore ",0.269705975806223,"median_temperature_2WeeksBefore ",0.182382216943057," max_temperature_2WeeksBefore ",0.164756324589012," median_windSpeed_2WeeksBefore ",0.0696081204768705," median_windBearing_2WeeksBefore",0.00590600520369657,0.270518468294836,0.283516239812538,0.308750166707055,0.336796332689061
"s11350","measurement~ min_humidity_2WeeksBefore+ max_TidalHeight_2WeeksBefore + min_SST_2WeeksBefore + median_humidity_2WeeksBefore +median_temperature_2WeeksBefore ",0.290634740771002," min_humidity_2WeeksBefore",0.0281208957421981," max_TidalHeight_2WeeksBefore ",0.016301503133636," min_SST_2WeeksBefore ",0.0109021916410193," median_humidity_2WeeksBefore ",0.00181688458930502,"median_temperature_2WeeksBefore ",0.000808478067406633,0.0309372425256978,0.0591931466578285,0.115624318903849,0.290634740771002
"s11798","measurement~ median_windSpeed_2WeeksBefore + min_PAR_2WeeksBefore + median_SST_2WeeksBefore + max_windSpeed_2WeeksBefore+median_temperature_2WeeksBefore ",0.13093162952509," median_windSpeed_2WeeksBefore ",0.0316627392093981," min_PAR_2WeeksBefore ",0.00750335315035895," median_SST_2WeeksBefore ",0.00163415381804449," max_windSpeed_2WeeksBefore",0.000564750222385584,"median_temperature_2WeeksBefore ",0.000148052593125089,0.0467595831221046,0.0480360686486569,0.0819037958064468,0.13093162952509
"s12112","measurement~min_PAR_2WeeksBefore + median_humidity_2WeeksBefore + min_SST_2WeeksBefore + median_windSpeed_2WeeksBefore+ min_TidalHeight_2WeeksBefore ",0.161257660819727,"min_PAR_2WeeksBefore ",0.11059431883758," median_humidity_2WeeksBefore ",0.0617773810562057," min_SST_2WeeksBefore ",0.0543707089391857," median_windSpeed_2WeeksBefore",0.052977082503463," min_TidalHeight_2WeeksBefore ",0.00801155053779685,0.123313583935898,0.137481276581613,0.150788756279449,0.161257660819727
"s12754","measurement~max_temperature_2WeeksBefore + median_PAR_2WeeksBefore + median_windBearing_2WeeksBefore+ max_humidity_2WeeksBefore + max_TidalHeight_2WeeksBefore ",0.186670813699038,"max_temperature_2WeeksBefore ",0.0878724376060456," median_PAR_2WeeksBefore ",0.0568411157439061," median_windBearing_2WeeksBefore",0.0327008582665738," max_humidity_2WeeksBefore ",0.027492124661155," max_TidalHeight_2WeeksBefore ",0.0168613671023141,0.0885820970970931,0.141718305415301,0.17252239755352,0.186670813699038
"s12807","measurement~ median_windBearing_2WeeksBefore+ min_TidalHeight_2WeeksBefore + min_humidity_2WeeksBefore + min_dewPoint_2WeeksBefore +max_SST_2WeeksBefore ",0.231082223410844," median_windBearing_2WeeksBefore",0.107894232725032," min_TidalHeight_2WeeksBefore ",0.0337514870960915," min_humidity_2WeeksBefore ",0.0209107938350559," min_dewPoint_2WeeksBefore ",0.00567871236090578,"max_SST_2WeeksBefore ",0.00107406905258598,0.112987128822222,0.142215681500262,0.144097241040309,0.231082223410844
"s13004","measurement~ min_PAR_2WeeksBefore + max_temperature_2WeeksBefore +median_temperature_2WeeksBefore + median_windSpeed_2WeeksBefore+ max_TidalHeight_2WeeksBefore ",0.47800435559303," min_PAR_2WeeksBefore ",0.412633247865281," max_temperature_2WeeksBefore ",0.221373482917784,"median_temperature_2WeeksBefore ",0.219864437637527," median_windSpeed_2WeeksBefore",0.049021754570545," max_TidalHeight_2WeeksBefore ",0.014132929024352,0.417156306826592,0.459576833643571,0.471091692064293,0.47800435559303
