"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~median_temperature_2WeeksBefore + min_temperature_2WeeksBefore + max_windSpeed_2WeeksBefore + median_SST_2WeeksBefore + min_windSpeed_2WeeksBefore",0.0894819494933856,"median_temperature_2WeeksBefore ",0.0184360515690245," min_temperature_2WeeksBefore ",0.0132348335390571," max_windSpeed_2WeeksBefore ",0.0103962519537938," median_SST_2WeeksBefore ",0.00785002514631838," min_windSpeed_2WeeksBefore",0.000105528300108245,0.0225754270591362,0.0463424435206094,0.061032164212468,0.0894819494933856
"s10442","measurement~ max_SST_2WeeksBefore + min_TidalHeight_2WeeksBefore +max_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore+ max_TidalHeight_2WeeksBefore ",0.200521949650221," max_SST_2WeeksBefore ",0.0883840105925699," min_TidalHeight_2WeeksBefore ",0.0113905307529981,"max_PAR_2WeeksBefore ",0.00227289575734817," median_windSpeed_2WeeksBefore",0.0013656267634342," max_TidalHeight_2WeeksBefore ",0.000568001763143935,0.0934667033926633,0.116978027671703,0.157609406935242,0.200521949650221
"s10567","measurement~ median_SST_2WeeksBefore +median_temperature_2WeeksBefore + min_PAR_2WeeksBefore + min_TidalHeight_2WeeksBefore + min_humidity_2WeeksBefore",0.23702580616393," median_SST_2WeeksBefore ",0.155301074693243,"median_temperature_2WeeksBefore ",0.14556898959279," min_PAR_2WeeksBefore ",0.107724478669725," min_TidalHeight_2WeeksBefore ",0.000566658015975841," min_humidity_2WeeksBefore",0.00019472470823866,0.155517325433493,0.213980712579582,0.216927698994167,0.23702580616393
"s10729","measurement~ max_SST_2WeeksBefore + median_dewPoint_2WeeksBefore+ median_SST_2WeeksBefore +max_PAR_2WeeksBefore + median_TidalHeight_2WeeksBefore ",0.0280955372615868," max_SST_2WeeksBefore ",0.01522453290097," median_dewPoint_2WeeksBefore",0.0150652865547861," median_SST_2WeeksBefore ",0.0131661842093968,"max_PAR_2WeeksBefore ",0.000521494178076634," median_TidalHeight_2WeeksBefore ",5.82862529407491e-05,0.0156391033099547,0.0174480740349938,0.0255401525301334,0.0280955372615867
"s11056","measurement~ max_SST_2WeeksBefore + min_SST_2WeeksBefore + median_SST_2WeeksBefore +min_temperature_2WeeksBefore + median_windBearing_2WeeksBefore",0.0418205273694379," max_SST_2WeeksBefore ",0.0207247843420504," min_SST_2WeeksBefore ",0.0181858752275202," median_SST_2WeeksBefore ",0.0165061551183741,"min_temperature_2WeeksBefore ",0.0128398966988594," median_windBearing_2WeeksBefore",0.00203771644335995,0.0207645082337445,0.0295964630903728,0.0327201965595399,0.0418205273694379
"s11350","measurement~ max_TidalHeight_2WeeksBefore +median_PAR_2WeeksBefore + max_windSpeed_2WeeksBefore + min_windSpeed_2WeeksBefore+ min_dewPoint_2WeeksBefore ",0.0625358343137525," max_TidalHeight_2WeeksBefore ",0.0168016928018031,"median_PAR_2WeeksBefore ",0.00729781186329225," max_windSpeed_2WeeksBefore ",0.0065945115104683," min_windSpeed_2WeeksBefore",0.00211415628866444," min_dewPoint_2WeeksBefore ",0.00064196355530279,0.0278836469611389,0.038014279701745,0.0430469051436561,0.0625358343137525
"s11798","measurement~ min_SST_2WeeksBefore + median_windSpeed_2WeeksBefore+median_PAR_2WeeksBefore + max_PAR_2WeeksBefore + max_humidity_2WeeksBefore ",0.503100636679255," min_SST_2WeeksBefore ",0.381059575480178," median_windSpeed_2WeeksBefore",0.222116005589862,"median_PAR_2WeeksBefore ",0.0967731211537923," max_PAR_2WeeksBefore ",0.0335533100561441," max_humidity_2WeeksBefore ",0.0223495498576385,0.459655144582782,0.459951350211092,0.476445243302062,0.503100636679255
"s12112","measurement~median_humidity_2WeeksBefore + max_windSpeed_2WeeksBefore + min_humidity_2WeeksBefore + median_windBearing_2WeeksBefore + max_windBearing_2WeeksBefore",0.0969623594731648,"median_humidity_2WeeksBefore ",0.0347361952042166," max_windSpeed_2WeeksBefore ",0.0334531101534112," min_humidity_2WeeksBefore ",0.00220818177954735," median_windBearing_2WeeksBefore ",0.000619912589277604," max_windBearing_2WeeksBefore",2.46748906504063e-05,0.0495579362445181,0.0706353624920729,0.0729854975426439,0.0969623594731647
"s12754","measurement~ max_humidity_2WeeksBefore +median_temperature_2WeeksBefore + median_dewPoint_2WeeksBefore + min_dewPoint_2WeeksBefore + max_windSpeed_2WeeksBefore",0.0605424993457293," max_humidity_2WeeksBefore ",0.0245888986424716,"median_temperature_2WeeksBefore ",0.0110195442637818," median_dewPoint_2WeeksBefore ",0.0097044806928864," min_dewPoint_2WeeksBefore ",0.00107278358688393," max_windSpeed_2WeeksBefore",0.000361567479799623,0.026695553564659,0.0315060547560811,0.0576121713496842,0.0605424993457293
"s12807","measurement~ max_PAR_2WeeksBefore +median_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_TidalHeight_2WeeksBefore + min_windSpeed_2WeeksBefore",0.183887860213091," max_PAR_2WeeksBefore ",0.126291194924987,"median_temperature_2WeeksBefore ",0.0589391719077309," min_temperature_2WeeksBefore ",0.0549860876239811," median_TidalHeight_2WeeksBefore ",0.0343463659073434," min_windSpeed_2WeeksBefore",0.00548713012323439,0.126402665987962,0.126402784677377,0.164308457481797,0.183887860213091
