"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~median_temperature_2WeeksBefore + min_windSpeed_2WeeksBefore+ median_TidalHeight_2WeeksBefore + max_windSpeed_2WeeksBefore + median_windSpeed_2WeeksBefore ",0.137695552003659,"median_temperature_2WeeksBefore ",0.0496022887110406," min_windSpeed_2WeeksBefore",0.0441220688923546," median_TidalHeight_2WeeksBefore ",0.0244470154696886," max_windSpeed_2WeeksBefore ",0.00839572191058325," median_windSpeed_2WeeksBefore ",0.00354124158005439,0.0897142399029566,0.112696799761163,0.125761196303445,0.137695552003659
"s10442","measurement~ min_windBearing_2WeeksBefore+ max_PAR_2WeeksBefore + max_windSpeed_2WeeksBefore + median_windBearing_2WeeksBefore +min_temperature_2WeeksBefore ",0.318041866743959," min_windBearing_2WeeksBefore",0.240440876893066," max_PAR_2WeeksBefore ",0.0707891115112291," max_windSpeed_2WeeksBefore ",0.0425524092084787," median_windBearing_2WeeksBefore ",0.0369848832024335,"min_temperature_2WeeksBefore ",0.00581939921498932,0.285955040897054,0.292757496688455,0.299155684719697,0.31804186674396
"s10567","measurement~ median_SST_2WeeksBefore + min_PAR_2WeeksBefore + min_SST_2WeeksBefore +median_temperature_2WeeksBefore + median_TidalHeight_2WeeksBefore",0.197731210036866," median_SST_2WeeksBefore ",0.0738918135045911," min_PAR_2WeeksBefore ",0.0660070717396845," min_SST_2WeeksBefore ",0.0528687667593419,"median_temperature_2WeeksBefore ",0.0399394626359729," median_TidalHeight_2WeeksBefore",0.0104815448558001,0.0996714837773461,0.116951301084615,0.153437964130277,0.197731210036866
"s10729","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s11056","measurement~ median_windBearing_2WeeksBefore+ min_humidity_2WeeksBefore +max_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore + median_Photoperiod_2WeeksBefore ",0.143957477764723," median_windBearing_2WeeksBefore",0.0467818696714937," min_humidity_2WeeksBefore ",0.0108499496252339,"max_PAR_2WeeksBefore ",0.00788429665490203," median_windSpeed_2WeeksBefore ",0.00216184802901338," median_Photoperiod_2WeeksBefore ",0.000177722294273919,0.112799833466282,0.118848447319151,0.134338149532983,0.143957477764723
"s11350","measurement~min_temperature_2WeeksBefore + min_SST_2WeeksBefore + min_humidity_2WeeksBefore + median_windSpeed_2WeeksBefore+ min_dewPoint_2WeeksBefore ",0.13450415650001,"min_temperature_2WeeksBefore ",0.0372520332509403," min_SST_2WeeksBefore ",0.0337971437308786," min_humidity_2WeeksBefore ",0.0244083868817875," median_windSpeed_2WeeksBefore",0.00877331852986896," min_dewPoint_2WeeksBefore ",3.29413374913903e-07,0.0448086604277276,0.0718361679293006,0.130737915534323,0.13450415650001
"s11798","measurement~ min_PAR_2WeeksBefore +median_temperature_2WeeksBefore + max_windSpeed_2WeeksBefore+ max_humidity_2WeeksBefore + median_windSpeed_2WeeksBefore ",0.226334096140392," min_PAR_2WeeksBefore ",0.134723270605721,"median_temperature_2WeeksBefore ",0.105999254528515," max_windSpeed_2WeeksBefore",0.0103674996211338," max_humidity_2WeeksBefore ",0.00824732430558012," median_windSpeed_2WeeksBefore ",0.000700377842854503,0.145664238531124,0.167866222599147,0.189140844751775,0.226334096140392
"s12112","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s12754","measurement~max_PAR_2WeeksBefore + median_TidalHeight_2WeeksBefore + min_windSpeed_2WeeksBefore+ median_windSpeed_2WeeksBefore + max_TidalHeight_2WeeksBefore ",0.137740887745565,"max_PAR_2WeeksBefore ",0.0940797715680146," median_TidalHeight_2WeeksBefore ",0.0296045162051356," min_windSpeed_2WeeksBefore",0.026881521889672," median_windSpeed_2WeeksBefore ",0.00789279112285866," max_TidalHeight_2WeeksBefore ",0.000138413739214763,0.100625355034426,0.100789435834706,0.116130984452726,0.137740887745565
"s12807","measurement~min_PAR_2WeeksBefore + max_windSpeed_2WeeksBefore+ median_windSpeed_2WeeksBefore + min_TidalHeight_2WeeksBefore + max_humidity_2WeeksBefore ",0.108699488001373,"min_PAR_2WeeksBefore ",0.0208734657346559," max_windSpeed_2WeeksBefore",0.0111673123569734," median_windSpeed_2WeeksBefore ",0.00977852649369412," min_TidalHeight_2WeeksBefore ",0.000712826792585028," max_humidity_2WeeksBefore ",0.000626553853556783,0.0242609328324479,0.0531939395819241,0.0861277821884689,0.108699488001373
