"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~ median_dewPoint_2WeeksBefore +min_temperature_2WeeksBefore + min_windBearing_2WeeksBefore+ max_dewPoint_2WeeksBefore + max_windSpeed_2WeeksBefore ",0.096386615925648," median_dewPoint_2WeeksBefore ",0.0140744700823451,"min_temperature_2WeeksBefore ",0.0115256233727367," min_windBearing_2WeeksBefore",0.00614796091153878," max_dewPoint_2WeeksBefore ",0.0031708743484526," max_windSpeed_2WeeksBefore ",0.00261746582988602,0.0141441180060916,0.0737934285785272,0.0785044734843414,0.096386615925648
"s10442","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s10567","measurement~median_PAR_2WeeksBefore + max_windBearing_2WeeksBefore+ median_SST_2WeeksBefore + max_TidalHeight_2WeeksBefore + max_windSpeed_2WeeksBefore ",0.104129784264671,"median_PAR_2WeeksBefore ",0.0184085346714188," max_windBearing_2WeeksBefore",0.00755712953988688," median_SST_2WeeksBefore ",0.00673918124716367," max_TidalHeight_2WeeksBefore ",0.00115853848582571," max_windSpeed_2WeeksBefore ",0.000365178667664886,0.0184267485114443,0.0189002404911313,0.0591563433082081,0.104129784264671
"s10729","measurement~ median_windSpeed_2WeeksBefore + median_humidity_2WeeksBefore +median_PAR_2WeeksBefore + max_windBearing_2WeeksBefore+ max_TidalHeight_2WeeksBefore ",0.0465499309614684," median_windSpeed_2WeeksBefore ",0.0167673861944261," median_humidity_2WeeksBefore ",0.00628756156399562,"median_PAR_2WeeksBefore ",0.00574676138534125," max_windBearing_2WeeksBefore",0.00283115410875773," max_TidalHeight_2WeeksBefore ",0.000511389461919662,0.0168079039479772,0.0216071804522457,0.0275429609543656,0.0465499309614684
"s11056","measurement~ median_TidalHeight_2WeeksBefore + max_windBearing_2WeeksBefore+max_SST_2WeeksBefore + max_TidalHeight_2WeeksBefore + max_windSpeed_2WeeksBefore ",0.127835992012797," median_TidalHeight_2WeeksBefore ",0.0107514007376609," max_windBearing_2WeeksBefore",0.00857864693742309,"max_SST_2WeeksBefore ",0.00417226491507742," max_TidalHeight_2WeeksBefore ",0.00181686170118474," max_windSpeed_2WeeksBefore ",0.000752365968610517,0.0124770634192359,0.0172512828341231,0.0695834467334039,0.127835992012797
"s11350","measurement~ median_PAR_2WeeksBefore +median_temperature_2WeeksBefore + max_PAR_2WeeksBefore+ min_temperature_2WeeksBefore + max_temperature_2WeeksBefore ",0.026274980341201," median_PAR_2WeeksBefore ",0.009416347077877,"median_temperature_2WeeksBefore ",0.00787219406804494," max_PAR_2WeeksBefore",0.00659569600850266," min_temperature_2WeeksBefore ",0.00644199668479533," max_temperature_2WeeksBefore ",0.00442846353330141,0.0109608519414016,0.0114223512414636,0.0117536802478998,0.026274980341201
"s11798","measurement~ median_humidity_2WeeksBefore + max_windBearing_2WeeksBefore+max_SST_2WeeksBefore + max_TidalHeight_2WeeksBefore + max_windSpeed_2WeeksBefore ",0.165248435537784," median_humidity_2WeeksBefore ",0.018014890493728," max_windBearing_2WeeksBefore",0.0127360019463107,"max_SST_2WeeksBefore ",0.0066156787436028," max_TidalHeight_2WeeksBefore ",0.0012629489236356," max_windSpeed_2WeeksBefore ",0.000599128771946144,0.0399170544284249,0.0480647530019108,0.101222468539495,0.165248435537784
"s12112","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s12754","measurement~ median_windSpeed_2WeeksBefore+median_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_temperature_2WeeksBefore + max_dewPoint_2WeeksBefore ",0.134723547359333," median_windSpeed_2WeeksBefore",0.103355161990059,"median_temperature_2WeeksBefore ",0.0428064061167248," median_PAR_2WeeksBefore ",0.0256218420400455," max_temperature_2WeeksBefore ",0.0228958939112987," max_dewPoint_2WeeksBefore ",0.0192366258335074,0.125269327960266,0.129629795851782,0.13001248878681,0.134723547359333
"s12807","measurement~ min_dewPoint_2WeeksBefore + max_windBearing_2WeeksBefore + min_windBearing_2WeeksBefore+ median_SST_2WeeksBefore +min_PAR_2WeeksBefore ",0.176422892778836," min_dewPoint_2WeeksBefore ",0.0676334841338673," max_windBearing_2WeeksBefore ",0.0665985705627082," min_windBearing_2WeeksBefore",0.0195009261501247," median_SST_2WeeksBefore ",0.0139705288023072,"min_PAR_2WeeksBefore ",0.000435017050544293,0.0803565773699135,0.142274679898351,0.172647708021154,0.176422892778836
