"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s10442","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s10567","measurement~ median_TidalHeight_2WeeksBefore + max_windBearing_2WeeksBefore+max_SST_2WeeksBefore + max_TidalHeight_2WeeksBefore + max_windSpeed_2WeeksBefore ",0.274466582383767," median_TidalHeight_2WeeksBefore ",0.0242565119804709," max_windBearing_2WeeksBefore",0.0180684179385189,"max_SST_2WeeksBefore ",0.00932852747243664," max_TidalHeight_2WeeksBefore ",0.00493414330226667," max_windSpeed_2WeeksBefore ",0.00273811633394761,0.0278097239408947,0.0358544877599556,0.154327544209248,0.274466582383767
"s10729","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s11056","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s11350","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s11798","measurement~ median_TidalHeight_2WeeksBefore + max_windBearing_2WeeksBefore+median_SST_2WeeksBefore + max_TidalHeight_2WeeksBefore + max_windSpeed_2WeeksBefore ",0.44335069779842," median_TidalHeight_2WeeksBefore ",0.0397503404041118," max_windBearing_2WeeksBefore",0.0277315589208599,"median_SST_2WeeksBefore ",0.0208234506904793," max_TidalHeight_2WeeksBefore ",0.0102803658547965," max_windSpeed_2WeeksBefore ",0.00487595547208607,0.0446100053231046,0.0515863409612823,0.265298278072201,0.44335069779842
"s12112","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s12754","measurement~median_temperature_2WeeksBefore + min_temperature_2WeeksBefore + max_windBearing_2WeeksBefore + max_windSpeed_2WeeksBefore + min_windBearing_2WeeksBefore",0.148124138782084,"median_temperature_2WeeksBefore ",0.0105875936449019," min_temperature_2WeeksBefore ",0.00735267704247793," max_windBearing_2WeeksBefore ",0.00702551350820648," max_windSpeed_2WeeksBefore ",0.00570826171345335," min_windBearing_2WeeksBefore",0.00416793727272311,0.012489476690312,0.0608881859122885,0.0666013485529986,0.148124138782084
"s12807","measurement~ median_TidalHeight_2WeeksBefore +max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + max_windSpeed_2WeeksBefore + min_windBearing_2WeeksBefore",0.242713487559373," median_TidalHeight_2WeeksBefore ",0.213064331495144,"max_temperature_2WeeksBefore ",0.212368881247419," min_temperature_2WeeksBefore ",0.151420276127664," max_windSpeed_2WeeksBefore ",0.131822045565927," min_windBearing_2WeeksBefore",0.0134437879125813,0.216750409452282,0.217114152805271,0.238975661093806,0.242713487559373
