"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~ median_TidalHeight_2WeeksBefore + min_temperature_2WeeksBefore + min_windBearing_2WeeksBefore+max_temperature_2WeeksBefore + max_windBearing_2WeeksBefore ",0.187964411107995," median_TidalHeight_2WeeksBefore ",0.0280676028434083," min_temperature_2WeeksBefore ",0.0179532034226556," min_windBearing_2WeeksBefore",0.0142910772592824,"max_temperature_2WeeksBefore ",0.0140737196277263," max_windBearing_2WeeksBefore ",0.000473559330921189,0.0285300646682196,0.120471953328715,0.154252213538859,0.187964411107995
"s10442","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s10567","measurement~ max_PAR_2WeeksBefore+ max_temperature_2WeeksBefore + median_PAR_2WeeksBefore + min_temperature_2WeeksBefore +median_temperature_2WeeksBefore ",0.0627046079220949," max_PAR_2WeeksBefore",0.00673910254977274," max_temperature_2WeeksBefore ",0.00318845254020454," median_PAR_2WeeksBefore ",0.00117235679556113," min_temperature_2WeeksBefore ",0.000798993739996993,"median_temperature_2WeeksBefore ",2.46136886067516e-05,0.0071071587527827,0.00795678681611836,0.0618249895877328,0.062704607922095
"s10729","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s11056","measurement~ median_TidalHeight_2WeeksBefore + max_windBearing_2WeeksBefore+max_SST_2WeeksBefore + max_TidalHeight_2WeeksBefore + max_windSpeed_2WeeksBefore ",0.329329986792084," median_TidalHeight_2WeeksBefore ",0.0253565375972302," max_windBearing_2WeeksBefore",0.0238608985347778,"max_SST_2WeeksBefore ",0.00869828194389246," max_TidalHeight_2WeeksBefore ",0.00639424971140336," max_windSpeed_2WeeksBefore ",0.00224516084795773,0.0319371725736952,0.0429753285322956,0.184220881654299,0.329329986792084
"s11350","measurement~ median_PAR_2WeeksBefore +median_temperature_2WeeksBefore + max_PAR_2WeeksBefore+ min_temperature_2WeeksBefore + max_temperature_2WeeksBefore ",0.0547537738045494," median_PAR_2WeeksBefore ",0.0174091951718822,"median_temperature_2WeeksBefore ",0.0161998262921766," max_PAR_2WeeksBefore",0.0143488655852485," min_temperature_2WeeksBefore ",0.0131749501660446," max_temperature_2WeeksBefore ",0.00898106355088802,0.0218767615472853,0.0221525938179247,0.0224669581979448,0.0547537738045494
"s11798","measurement~ median_windSpeed_2WeeksBefore+ median_dewPoint_2WeeksBefore + median_TidalHeight_2WeeksBefore +max_temperature_2WeeksBefore + min_temperature_2WeeksBefore ",0.152669298929452," median_windSpeed_2WeeksBefore",0.00579976437415906," median_dewPoint_2WeeksBefore ",0.00355620337844286," median_TidalHeight_2WeeksBefore ",0.0010742481316187,"max_temperature_2WeeksBefore ",0.00061362010479432," min_temperature_2WeeksBefore ",0.000485283022240888,0.0100350697642615,0.0164449640612345,0.145860006431004,0.152669298929452
"s12112","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s12754","measurement~ min_dewPoint_2WeeksBefore+max_temperature_2WeeksBefore + max_dewPoint_2WeeksBefore + median_PAR_2WeeksBefore + max_TidalHeight_2WeeksBefore ",0.265260492892066," min_dewPoint_2WeeksBefore",0.108847424716748,"max_temperature_2WeeksBefore ",0.044497980354187," max_dewPoint_2WeeksBefore ",0.0420922283888947," median_PAR_2WeeksBefore ",0.0349412070342091," max_TidalHeight_2WeeksBefore ",0.00607429068902419,0.192323906205507,0.196505052350642,0.209456865066925,0.265260492892066
"s12807","measurement~ min_TidalHeight_2WeeksBefore + min_windBearing_2WeeksBefore+ max_windBearing_2WeeksBefore +median_temperature_2WeeksBefore + max_dewPoint_2WeeksBefore ",0.385669675473731," min_TidalHeight_2WeeksBefore ",0.0601235865493579," min_windBearing_2WeeksBefore",0.0354594556545921," max_windBearing_2WeeksBefore ",0.0179773274758678,"median_temperature_2WeeksBefore ",0.0148037827133956," max_dewPoint_2WeeksBefore ",4.68974964365199e-05,0.0967939970833605,0.108107635176031,0.348242635576554,0.385669675473731
