"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~min_PAR_2WeeksBefore + max_windSpeed_2WeeksBefore + median_dewPoint_2WeeksBefore + min_windSpeed_2WeeksBefore + median_windBearing_2WeeksBefore",0.443672674268581,"min_PAR_2WeeksBefore ",0.252984983859637," max_windSpeed_2WeeksBefore ",0.0414825445561035," median_dewPoint_2WeeksBefore ",0.0405023663694767," min_windSpeed_2WeeksBefore ",0.00300664513498103," median_windBearing_2WeeksBefore",0.000858595428127038,0.305401153116548,0.311162153694077,0.392635574803338,0.443672674268581
"s10442","measurement~ max_SST_2WeeksBefore +max_temperature_2WeeksBefore + median_Photoperiod_2WeeksBefore + min_windSpeed_2WeeksBefore+ max_PAR_2WeeksBefore ",0.0374914725109932," max_SST_2WeeksBefore ",0.0145122580186884,"max_temperature_2WeeksBefore ",0.00284475079538692," median_Photoperiod_2WeeksBefore ",0.00105836208342537," min_windSpeed_2WeeksBefore",0.00071644493637888," max_PAR_2WeeksBefore ",0.000530114669438607,0.0294805222025948,0.0303312487419514,0.0329784277327841,0.0374914725109931
"s10567","measurement~ min_PAR_2WeeksBefore + max_temperature_2WeeksBefore +median_temperature_2WeeksBefore + median_SST_2WeeksBefore + median_TidalHeight_2WeeksBefore",0.141905005258002," min_PAR_2WeeksBefore ",0.0990903124605237," max_temperature_2WeeksBefore ",0.0633945270177644,"median_temperature_2WeeksBefore ",0.0476903181497226," median_SST_2WeeksBefore ",0.0433620383881636," median_TidalHeight_2WeeksBefore",9.67961659361898e-05,0.105151381257287,0.11610618218913,0.132168614882926,0.141905005258002
"s10729","measurement~ max_SST_2WeeksBefore + min_TidalHeight_2WeeksBefore +max_PAR_2WeeksBefore + median_TidalHeight_2WeeksBefore + median_humidity_2WeeksBefore",0.302508583453169," max_SST_2WeeksBefore ",0.126231208526473," min_TidalHeight_2WeeksBefore ",0.0103095300494515,"max_PAR_2WeeksBefore ",0.00213331523159725," median_TidalHeight_2WeeksBefore ",0.000476835075864571," median_humidity_2WeeksBefore",2.38103801904492e-05,0.138414890664273,0.192222654601805,0.237433605491312,0.302508583453169
"s11056","measurement~min_PAR_2WeeksBefore + min_SST_2WeeksBefore + median_windSpeed_2WeeksBefore + median_windBearing_2WeeksBefore+ min_TidalHeight_2WeeksBefore ",0.277081551958166,"min_PAR_2WeeksBefore ",0.195189404853014," min_SST_2WeeksBefore ",0.116313870210729," median_windSpeed_2WeeksBefore ",0.0635703540797979," median_windBearing_2WeeksBefore",0.00631834294538441," min_TidalHeight_2WeeksBefore ",0.00384084232533856,0.201481491330903,0.236825525893031,0.261567664332644,0.277081551958166
"s11350","measurement~ median_PAR_2WeeksBefore + max_PAR_2WeeksBefore+median_temperature_2WeeksBefore + min_temperature_2WeeksBefore + max_temperature_2WeeksBefore ",0.0128082121682096," median_PAR_2WeeksBefore ",0.00756467494498019," max_PAR_2WeeksBefore",0.00247589084894808,"median_temperature_2WeeksBefore ",0.00180468485247235," min_temperature_2WeeksBefore ",0.00095003970561596," max_temperature_2WeeksBefore ",0.000867863850141873,0.00839535742921857,0.00939184094684476,0.0108323602153992,0.0128082121682096
"s11798","measurement~ median_windSpeed_2WeeksBefore + median_windBearing_2WeeksBefore+ min_PAR_2WeeksBefore +median_PAR_2WeeksBefore + max_windSpeed_2WeeksBefore ",0.0816822518822746," median_windSpeed_2WeeksBefore ",0.022782995556138," median_windBearing_2WeeksBefore",0.0108973777893338," min_PAR_2WeeksBefore ",0.0067119135444957,"median_PAR_2WeeksBefore ",0.00382813817068008," max_windSpeed_2WeeksBefore ",0.000107299338804816,0.0448185654615051,0.0566641287762549,0.0574632220419853,0.0816822518822746
"s12112","measurement~ min_PAR_2WeeksBefore +median_temperature_2WeeksBefore + max_windSpeed_2WeeksBefore+ min_SST_2WeeksBefore + median_Photoperiod_2WeeksBefore ",0.140780125308585," min_PAR_2WeeksBefore ",0.0884844555279825,"median_temperature_2WeeksBefore ",0.0294487592776177," max_windSpeed_2WeeksBefore",0.0212746127413554," min_SST_2WeeksBefore ",0.0185387543351661," median_Photoperiod_2WeeksBefore ",0.00408282846335972,0.0893657353661015,0.117577834259553,0.125793993892334,0.140780125308585
"s12754","measurement~ min_temperature_2WeeksBefore +median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",0.212179533766952," min_temperature_2WeeksBefore ",0.146284197949877,"median_temperature_2WeeksBefore ",0.142923884495005," max_temperature_2WeeksBefore ",0.107928758251485," median_PAR_2WeeksBefore ",0.0391038917329189," max_PAR_2WeeksBefore",0.00901834352403879,0.147575491708991,0.152483447438053,0.169953467281414,0.212179533766952
"s12807","measurement~ median_windBearing_2WeeksBefore+max_temperature_2WeeksBefore + median_SST_2WeeksBefore + median_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore ",0.176559986461542," median_windBearing_2WeeksBefore",0.104523044695678,"max_temperature_2WeeksBefore ",0.0240502246552288," median_SST_2WeeksBefore ",0.00620607411422685," median_PAR_2WeeksBefore ",0.000693957581898914," median_windSpeed_2WeeksBefore ",6.7489509351326e-05,0.126863035189124,0.14517744682877,0.1600751467432,0.176559986461541
