"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~ min_windBearing_2WeeksBefore+ min_dewPoint_2WeeksBefore +min_SST_2WeeksBefore + min_humidity_2WeeksBefore + max_humidity_2WeeksBefore ",0.216966736533179," min_windBearing_2WeeksBefore",0.183999792351646," min_dewPoint_2WeeksBefore ",0.0625465265528078,"min_SST_2WeeksBefore ",0.0579995422623611," min_humidity_2WeeksBefore ",0.0288430363257927," max_humidity_2WeeksBefore ",0.0186894186664688,0.197109605255691,0.197381622982554,0.212336698548889,0.216966736533179
"s10442","measurement~ max_PAR_2WeeksBefore + max_windBearing_2WeeksBefore+ min_TidalHeight_2WeeksBefore + min_windSpeed_2WeeksBefore +median_temperature_2WeeksBefore ",0.500752733632456," max_PAR_2WeeksBefore ",0.290826672171365," max_windBearing_2WeeksBefore",0.176061130447376," min_TidalHeight_2WeeksBefore ",0.0728196709791606," min_windSpeed_2WeeksBefore ",0.00139452666275645,"median_temperature_2WeeksBefore ",3.60263176413699e-06,0.456348264295472,0.469297367996228,0.478275324343433,0.500752733632456
"s10567","measurement~ median_Photoperiod_2WeeksBefore + max_SST_2WeeksBefore + max_windBearing_2WeeksBefore+max_temperature_2WeeksBefore + min_SST_2WeeksBefore ",0.153859617671762," median_Photoperiod_2WeeksBefore ",0.0382823139934942," max_SST_2WeeksBefore ",0.0281519588020791," max_windBearing_2WeeksBefore",0.00244888240114032,"max_temperature_2WeeksBefore ",0.00228600372919814," min_SST_2WeeksBefore ",0.000854820886021037,0.0497455589373052,0.0503678780743872,0.0527899768682602,0.153859617671762
"s10729","measurement~ max_windSpeed_2WeeksBefore +median_temperature_2WeeksBefore + min_windBearing_2WeeksBefore+ min_windSpeed_2WeeksBefore + min_temperature_2WeeksBefore ",0.117321435591431," max_windSpeed_2WeeksBefore ",0.0197700198534373,"median_temperature_2WeeksBefore ",0.00155569254724501," min_windBearing_2WeeksBefore",3.7583757158473e-05," min_windSpeed_2WeeksBefore ",2.0085945591234e-05," min_temperature_2WeeksBefore ",1.11452228969962e-05,0.0279907003912998,0.079954646806576,0.0828348740689722,0.117321435591431
"s11056","measurement~ max_PAR_2WeeksBefore+ max_temperature_2WeeksBefore + median_PAR_2WeeksBefore + min_temperature_2WeeksBefore +median_temperature_2WeeksBefore ",0.0969841512548197," max_PAR_2WeeksBefore",0.0216290850846135," max_temperature_2WeeksBefore ",0.00961699470711101," median_PAR_2WeeksBefore ",0.00930699531663399," min_temperature_2WeeksBefore ",0.0088723965541778,"median_temperature_2WeeksBefore ",0.00196595019503452,0.0272607645631319,0.0300856519712345,0.0766123519174421,0.0969841512548197
"s11350","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s11798","measurement~median_temperature_2WeeksBefore + max_TidalHeight_2WeeksBefore + max_temperature_2WeeksBefore + median_windBearing_2WeeksBefore+ median_PAR_2WeeksBefore ",0.600875456366465,"median_temperature_2WeeksBefore ",0.350461014703782," max_TidalHeight_2WeeksBefore ",0.064523507219216," max_temperature_2WeeksBefore ",0.0317827260548353," median_windBearing_2WeeksBefore",0.0117239380801125," median_PAR_2WeeksBefore ",0.00767803767429334,0.373914897038182,0.401133393425649,0.587313556436631,0.600875456366465
"s12112","measurement~ max_windSpeed_2WeeksBefore + min_windBearing_2WeeksBefore+ median_windBearing_2WeeksBefore +min_temperature_2WeeksBefore + max_humidity_2WeeksBefore ",0.140387351821256," max_windSpeed_2WeeksBefore ",0.086624824657422," min_windBearing_2WeeksBefore",0.0779875475289625," median_windBearing_2WeeksBefore ",0.0229423690086401,"min_temperature_2WeeksBefore ",0.00113856926449865," max_humidity_2WeeksBefore ",2.19320704053477e-08,0.0886364309683322,0.0886551380572168,0.0915946221416801,0.140387351821256
"s12754","measurement~ median_TidalHeight_2WeeksBefore + median_SST_2WeeksBefore + median_windBearing_2WeeksBefore+ max_dewPoint_2WeeksBefore +median_PAR_2WeeksBefore ",0.216400742693587," median_TidalHeight_2WeeksBefore ",0.0195408872602629," median_SST_2WeeksBefore ",0.0045235992041997," median_windBearing_2WeeksBefore",0.000340221826264152," max_dewPoint_2WeeksBefore ",0.000270438069363314,"median_PAR_2WeeksBefore ",0.0001426948034843,0.0210191789882012,0.0218897050643591,0.169758741395806,0.216400742693587
"s12807","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
