"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~ min_PAR_2WeeksBefore + max_windSpeed_2WeeksBefore +median_temperature_2WeeksBefore + min_SST_2WeeksBefore + min_windSpeed_2WeeksBefore",0.392339105446119," min_PAR_2WeeksBefore ",0.259685618449771," max_windSpeed_2WeeksBefore ",0.0815909524403202,"median_temperature_2WeeksBefore ",0.073171491281935," min_SST_2WeeksBefore ",0.0266858891171224," min_windSpeed_2WeeksBefore",0.008118635501202,0.320550390285593,0.32324873298454,0.348548808499664,0.392339105446119
"s10442","measurement~max_temperature_2WeeksBefore + min_PAR_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore + median_humidity_2WeeksBefore",0.0478840496736307,"max_temperature_2WeeksBefore ",0.0218045977601468," min_PAR_2WeeksBefore ",0.0122022099827393," median_PAR_2WeeksBefore ",0.00383014242723611," max_PAR_2WeeksBefore ",0.00122306476041056," median_humidity_2WeeksBefore",7.38653397747324e-07,0.0227773100383453,0.0326464245186357,0.03492110978939,0.0478840496736307
"s10567","measurement~median_temperature_2WeeksBefore + min_temperature_2WeeksBefore + max_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",0.032417672004176,"median_temperature_2WeeksBefore ",0.0231416180407043," min_temperature_2WeeksBefore ",0.0230914761879154," max_temperature_2WeeksBefore ",0.0161737697027438," median_PAR_2WeeksBefore ",0.00521006717215889," max_PAR_2WeeksBefore",0.0010836415641709,0.0234820079808015,0.0243748197871857,0.0277032461376653,0.032417672004176
"s10729","measurement~ max_SST_2WeeksBefore + min_TidalHeight_2WeeksBefore +max_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore+ median_TidalHeight_2WeeksBefore ",0.0797898809879397," max_SST_2WeeksBefore ",0.0404109787314948," min_TidalHeight_2WeeksBefore ",0.0056095134262931,"max_PAR_2WeeksBefore ",0.0014857125485045," median_windSpeed_2WeeksBefore",0.00014975009952303," median_TidalHeight_2WeeksBefore ",7.50971257729645e-06,0.0429168152607307,0.0529173603462449,0.0679111522867983,0.0797898809879395
"s11056","measurement~median_SST_2WeeksBefore + median_Photoperiod_2WeeksBefore + median_windBearing_2WeeksBefore + max_windSpeed_2WeeksBefore + max_windBearing_2WeeksBefore",0.138907847340657,"median_SST_2WeeksBefore ",0.0712054385592648," median_Photoperiod_2WeeksBefore ",0.0152504382352316," median_windBearing_2WeeksBefore ",0.0114504679760642," max_windSpeed_2WeeksBefore ",0.00736505265029999," max_windBearing_2WeeksBefore",0.000409079788497911,0.0713034306882456,0.0891239335239073,0.127489909477641,0.138907847340656
"s11350","measurement~ min_TidalHeight_2WeeksBefore + min_SST_2WeeksBefore +median_temperature_2WeeksBefore + median_dewPoint_2WeeksBefore + median_humidity_2WeeksBefore",0.0811167984510287," min_TidalHeight_2WeeksBefore ",0.035496466766156," min_SST_2WeeksBefore ",0.000377893907661831,"median_temperature_2WeeksBefore ",0.000360703262074122," median_dewPoint_2WeeksBefore ",2.76750479055861e-05," median_humidity_2WeeksBefore",2.95723248286804e-08,0.0356225903802856,0.0356411989259316,0.0367331847394107,0.0811167984510286
"s11798","measurement~max_PAR_2WeeksBefore + min_windSpeed_2WeeksBefore+ max_TidalHeight_2WeeksBefore + min_TidalHeight_2WeeksBefore + median_Photoperiod_2WeeksBefore ",0.0800534289344805,"max_PAR_2WeeksBefore ",0.0211945924320506," min_windSpeed_2WeeksBefore",0.0207068172460334," max_TidalHeight_2WeeksBefore ",0.00922313771674866," min_TidalHeight_2WeeksBefore ",0.00561880742006756," median_Photoperiod_2WeeksBefore ",0.000652693735288862,0.0356261520616243,0.0476653806406474,0.0495964260668967,0.0800534289344805
"s12112","measurement~ max_TidalHeight_2WeeksBefore +median_temperature_2WeeksBefore + min_TidalHeight_2WeeksBefore + median_Photoperiod_2WeeksBefore+ min_PAR_2WeeksBefore ",0.0356103104617421," max_TidalHeight_2WeeksBefore ",0.0121718053285116,"median_temperature_2WeeksBefore ",0.00844640623283622," min_TidalHeight_2WeeksBefore ",0.00514842441177714," median_Photoperiod_2WeeksBefore",0.000999939929908023," min_PAR_2WeeksBefore ",0.000838174422919414,0.0198843961155191,0.0219857334369637,0.0263503609219815,0.0356103104617426
"s12754","measurement~ min_SST_2WeeksBefore + max_SST_2WeeksBefore + median_SST_2WeeksBefore +median_PAR_2WeeksBefore + median_windBearing_2WeeksBefore",0.369265796152733," min_SST_2WeeksBefore ",0.256780607858138," max_SST_2WeeksBefore ",0.250833703756509," median_SST_2WeeksBefore ",0.22736846451082,"median_PAR_2WeeksBefore ",0.0417915945164936," median_windBearing_2WeeksBefore",0.00443647890934052,0.264607843519189,0.308190074202648,0.350342551200723,0.369265796152733
"s12807","measurement~ median_windBearing_2WeeksBefore+max_temperature_2WeeksBefore + median_TidalHeight_2WeeksBefore + median_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore ",0.109087642313232," median_windBearing_2WeeksBefore",0.0430616839070091,"max_temperature_2WeeksBefore ",0.0241411389480841," median_TidalHeight_2WeeksBefore ",0.0141667456633797," median_PAR_2WeeksBefore ",0.000608366158863547," median_windSpeed_2WeeksBefore ",2.09977362234182e-06,0.0699144201453403,0.0766777500499849,0.0898176516042495,0.109087642313232
"s13004","measurement~ median_dewPoint_2WeeksBefore + min_PAR_2WeeksBefore + median_Photoperiod_2WeeksBefore +max_PAR_2WeeksBefore + min_humidity_2WeeksBefore",0.266116682106112," median_dewPoint_2WeeksBefore ",0.149760041117408," min_PAR_2WeeksBefore ",0.107528215064752," median_Photoperiod_2WeeksBefore ",0.0324551870121019,"max_PAR_2WeeksBefore ",0.0147783906332751," min_humidity_2WeeksBefore",0.00313502573233823,0.185309246484426,0.185575277120995,0.240698606756575,0.266116682106113
"s13398","measurement~ max_SST_2WeeksBefore +min_temperature_2WeeksBefore + median_SST_2WeeksBefore + median_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore",0.0719057554173432," max_SST_2WeeksBefore ",0.0280972711277982,"min_temperature_2WeeksBefore ",0.0232401871742846," median_SST_2WeeksBefore ",0.0226628207893301," median_PAR_2WeeksBefore ",0.00295011265592566," median_windSpeed_2WeeksBefore",0.00168448228400681,0.0281189518085622,0.0338765694328607,0.0471519785555423,0.0719057554173432
"s13402","measurement~ min_SST_2WeeksBefore + max_dewPoint_2WeeksBefore + max_humidity_2WeeksBefore +median_temperature_2WeeksBefore + median_windBearing_2WeeksBefore",0.17569337250294," min_SST_2WeeksBefore ",0.0562909231576649," max_dewPoint_2WeeksBefore ",0.0500964601529402," max_humidity_2WeeksBefore ",0.0470081934968609,"median_temperature_2WeeksBefore ",0.0425621522150659," median_windBearing_2WeeksBefore",0.00284512746471652,0.0573434434397975,0.0819879279398387,0.113132069376809,0.17569337250294
"s14144","measurement~ min_TidalHeight_2WeeksBefore + min_SST_2WeeksBefore +median_temperature_2WeeksBefore + median_dewPoint_2WeeksBefore + median_humidity_2WeeksBefore",0.0643105062097264," min_TidalHeight_2WeeksBefore ",0.0255291454816587," min_SST_2WeeksBefore ",0.000491070340149234,"median_temperature_2WeeksBefore ",0.000227613973523487," median_dewPoint_2WeeksBefore ",1.26515680429894e-05," median_humidity_2WeeksBefore",4.05156825836854e-06,0.0255433874386283,0.0259511002309287,0.0270353676165898,0.0643105062097263
"s14145","measurement~ min_windSpeed_2WeeksBefore+max_PAR_2WeeksBefore + min_humidity_2WeeksBefore + median_Photoperiod_2WeeksBefore + median_TidalHeight_2WeeksBefore ",0.0418530669810176," min_windSpeed_2WeeksBefore",0.0103230930987454,"max_PAR_2WeeksBefore ",0.00996958877217841," min_humidity_2WeeksBefore ",0.00848300688474258," median_Photoperiod_2WeeksBefore ",0.00114759529987964," median_TidalHeight_2WeeksBefore ",0.000303388539585312,0.0172539100339833,0.023498635923174,0.0328579929803862,0.0418530669810167
"s14473","measurement~ max_dewPoint_2WeeksBefore +median_temperature_2WeeksBefore + min_PAR_2WeeksBefore + max_humidity_2WeeksBefore + median_windBearing_2WeeksBefore",0.20265126893123," max_dewPoint_2WeeksBefore ",0.0607631071876543,"median_temperature_2WeeksBefore ",0.0520315694494547," min_PAR_2WeeksBefore ",0.0118205502419744," max_humidity_2WeeksBefore ",0.00411297796683406," median_windBearing_2WeeksBefore",0.00214055191246493,0.0607636129314072,0.135204375965227,0.180079334006867,0.20265126893123
"s14477","measurement~min_temperature_2WeeksBefore + median_Photoperiod_2WeeksBefore + min_TidalHeight_2WeeksBefore + max_PAR_2WeeksBefore + median_humidity_2WeeksBefore",0.172713365062021,"min_temperature_2WeeksBefore ",0.088844767530719," median_Photoperiod_2WeeksBefore ",0.0136764531116687," min_TidalHeight_2WeeksBefore ",0.00908748384640124," max_PAR_2WeeksBefore ",0.00514571510952053," median_humidity_2WeeksBefore",0.00470235841127287,0.0892129220061371,0.0940747452950164,0.123927625261363,0.172713365062021
"s1453","measurement~ min_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore +max_temperature_2WeeksBefore + median_PAR_2WeeksBefore + min_windSpeed_2WeeksBefore",0.0948189660273341," min_PAR_2WeeksBefore ",0.0652300014050969," median_windSpeed_2WeeksBefore ",0.0379411207900662,"max_temperature_2WeeksBefore ",0.0364784158046221," median_PAR_2WeeksBefore ",0.0139221152670162," min_windSpeed_2WeeksBefore",0.011493128448711,0.0870970839488011,0.0882875756073218,0.0913695747191336,0.0948189660273341
"s14550","measurement~ min_dewPoint_2WeeksBefore+ median_TidalHeight_2WeeksBefore +max_temperature_2WeeksBefore + median_dewPoint_2WeeksBefore + median_PAR_2WeeksBefore ",0.171649219012258," min_dewPoint_2WeeksBefore",0.0800691296569395," median_TidalHeight_2WeeksBefore ",0.0531484641304683,"max_temperature_2WeeksBefore ",0.0215914490731428," median_dewPoint_2WeeksBefore ",0.0150880396549985," median_PAR_2WeeksBefore ",0.0130784347121207,0.102690514378648,0.104460015702493,0.158897825866234,0.171649219012258
"s14677","measurement~ max_TidalHeight_2WeeksBefore + min_windSpeed_2WeeksBefore+median_PAR_2WeeksBefore + min_SST_2WeeksBefore + max_SST_2WeeksBefore ",0.261071348864371," max_TidalHeight_2WeeksBefore ",0.0778725369734259," min_windSpeed_2WeeksBefore",0.0192806391930108,"median_PAR_2WeeksBefore ",0.0178605102631164," min_SST_2WeeksBefore ",0.00971099116921324," max_SST_2WeeksBefore ",0.00245364641246108,0.112842860052294,0.17941133400557,0.18427403299091,0.261071348864371
"s14679","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
