"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~ median_TidalHeight_2WeeksBefore + median_dewPoint_2WeeksBefore + min_SST_2WeeksBefore +median_SST_2WeeksBefore + min_humidity_2WeeksBefore",0.144372798629011," median_TidalHeight_2WeeksBefore ",0.0459987341342656," median_dewPoint_2WeeksBefore ",0.00613311537142655," min_SST_2WeeksBefore ",0.00598523172731693,"median_SST_2WeeksBefore ",0.00469429646440835," min_humidity_2WeeksBefore",4.07154639798446e-05,0.0576647749742053,0.0601027000654683,0.119033235559822,0.144372798629011
"s10442","measurement~max_temperature_2WeeksBefore + median_windBearing_2WeeksBefore+ max_TidalHeight_2WeeksBefore + min_TidalHeight_2WeeksBefore + max_PAR_2WeeksBefore ",0.151015211709745,"max_temperature_2WeeksBefore ",0.0425410272522939," median_windBearing_2WeeksBefore",0.0170578487383227," max_TidalHeight_2WeeksBefore ",0.00409618735679754," min_TidalHeight_2WeeksBefore ",0.00275177833340879," max_PAR_2WeeksBefore ",0.00117688939659879,0.0707590086758599,0.0725640345683753,0.076518809287798,0.151015211709745
"s10567","measurement~median_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_dewPoint_2WeeksBefore+ max_PAR_2WeeksBefore + median_TidalHeight_2WeeksBefore ",0.0626570794183351,"median_temperature_2WeeksBefore ",0.0367720696279074," min_temperature_2WeeksBefore ",0.0359735070903958," median_dewPoint_2WeeksBefore",0.032878199840931," max_PAR_2WeeksBefore ",0.00221346056186265," median_TidalHeight_2WeeksBefore ",0.00114826415992792,0.0370115860129002,0.0405766974884263,0.0510439062912008,0.0626570794183351
"s10729","measurement~ max_humidity_2WeeksBefore +max_temperature_2WeeksBefore + max_windSpeed_2WeeksBefore+ median_TidalHeight_2WeeksBefore + max_PAR_2WeeksBefore ",0.0979605078924178," max_humidity_2WeeksBefore ",0.0442315057053296,"max_temperature_2WeeksBefore ",0.0328035408403651," max_windSpeed_2WeeksBefore",0.0132375532560536," median_TidalHeight_2WeeksBefore ",0.00591907465000675," max_PAR_2WeeksBefore ",0.0015882631923784,0.0592185863170123,0.0603455349508584,0.0628081993139241,0.0979605078924177
"s11056","measurement~ max_humidity_2WeeksBefore + median_dewPoint_2WeeksBefore + max_dewPoint_2WeeksBefore + max_windBearing_2WeeksBefore+min_PAR_2WeeksBefore ",0.131589004199545," max_humidity_2WeeksBefore ",0.0991860532580338," median_dewPoint_2WeeksBefore ",0.0438273719564338," max_dewPoint_2WeeksBefore ",0.0374547061282982," max_windBearing_2WeeksBefore",0.00694810206246761,"min_PAR_2WeeksBefore ",1.57165887648969e-05,0.112342313659317,0.112749336004579,0.11516372654493,0.131589004199545
"s11350","measurement~ median_TidalHeight_2WeeksBefore + min_humidity_2WeeksBefore+median_temperature_2WeeksBefore + min_dewPoint_2WeeksBefore + median_dewPoint_2WeeksBefore ",0.0851285515159368," median_TidalHeight_2WeeksBefore ",0.0216422836314866," min_humidity_2WeeksBefore",0.00236573403947784,"median_temperature_2WeeksBefore ",0.000351537470857487," min_dewPoint_2WeeksBefore ",0.000101341229435037," median_dewPoint_2WeeksBefore ",5.36299600684754e-05,0.0220442261146845,0.0292666937186199,0.062573719268705,0.0851285515159367
"s11798","measurement~min_SST_2WeeksBefore + median_windSpeed_2WeeksBefore + max_humidity_2WeeksBefore + min_windSpeed_2WeeksBefore + max_windBearing_2WeeksBefore",0.283398803571018,"min_SST_2WeeksBefore ",0.153676538731511," median_windSpeed_2WeeksBefore ",0.144859118930478," max_humidity_2WeeksBefore ",0.0176819743497342," min_windSpeed_2WeeksBefore ",0.000253272941470664," max_windBearing_2WeeksBefore",6.09840856163835e-06,0.215727621755095,0.232142569755437,0.271601737572221,0.283398803571018
"s12112","measurement~ min_dewPoint_2WeeksBefore +max_TidalHeight_2WeeksBefore + median_Photoperiod_2WeeksBefore + min_windSpeed_2WeeksBefore+ max_windSpeed_2WeeksBefore ",0.0380123105875823," min_dewPoint_2WeeksBefore ",0.0041127477366501,"max_TidalHeight_2WeeksBefore ",0.00371382272084839," median_Photoperiod_2WeeksBefore ",0.000710959417141518," min_windSpeed_2WeeksBefore",0.000652634313484168," max_windSpeed_2WeeksBefore ",0.000477205799823673,0.0104917765094095,0.0121957199276609,0.0205719587523213,0.0380123105875825
"s12754","measurement~ max_humidity_2WeeksBefore +max_temperature_2WeeksBefore + median_PAR_2WeeksBefore + median_windBearing_2WeeksBefore+ max_TidalHeight_2WeeksBefore ",0.289617295995227," max_humidity_2WeeksBefore ",0.213939689776341,"max_temperature_2WeeksBefore ",0.106484635895782," median_PAR_2WeeksBefore ",0.0264904143677937," median_windBearing_2WeeksBefore",0.00515346473732366," max_TidalHeight_2WeeksBefore ",0.00256939216785944,0.251409698153334,0.272811161735887,0.277574785240534,0.289617295995227
"s12807","measurement~max_temperature_2WeeksBefore + max_TidalHeight_2WeeksBefore + median_windBearing_2WeeksBefore+ median_Photoperiod_2WeeksBefore + min_TidalHeight_2WeeksBefore ",0.182084407728892,"max_temperature_2WeeksBefore ",0.124976951933606," max_TidalHeight_2WeeksBefore ",0.0302446196868121," median_windBearing_2WeeksBefore",0.0257670003914202," median_Photoperiod_2WeeksBefore ",0.0139706650789171," min_TidalHeight_2WeeksBefore ",0.00561417673815082,0.132055791234309,0.139780813961826,0.171712636002687,0.182084407728892
"s13004","measurement~ min_temperature_2WeeksBefore +max_temperature_2WeeksBefore + min_dewPoint_2WeeksBefore+ median_Photoperiod_2WeeksBefore + max_PAR_2WeeksBefore ",0.182649709640683," min_temperature_2WeeksBefore ",0.0892346757368402,"max_temperature_2WeeksBefore ",0.079728020656523," min_dewPoint_2WeeksBefore",0.0675203453797124," median_Photoperiod_2WeeksBefore ",0.0318245272698539," max_PAR_2WeeksBefore ",0.00453087456183962,0.0893285639564545,0.107253969401211,0.117455252428028,0.182649709640684
"s13398","measurement~max_temperature_2WeeksBefore + median_windBearing_2WeeksBefore+ max_TidalHeight_2WeeksBefore + min_TidalHeight_2WeeksBefore + max_PAR_2WeeksBefore ",0.092691705151425,"max_temperature_2WeeksBefore ",0.023785834407067," median_windBearing_2WeeksBefore",0.0136620210198367," max_TidalHeight_2WeeksBefore ",0.00299524722383774," min_TidalHeight_2WeeksBefore ",0.00116825705229164," max_PAR_2WeeksBefore ",0.000624693139686912,0.0448441435668913,0.0466706824885671,0.0490299202333643,0.0926917051514251
