"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~ min_windSpeed_2WeeksBefore+ min_TidalHeight_2WeeksBefore +median_temperature_2WeeksBefore + median_SST_2WeeksBefore + min_dewPoint_2WeeksBefore ",0.0933652224563268," min_windSpeed_2WeeksBefore",0.0339510695508652," min_TidalHeight_2WeeksBefore ",0.00855593588452536,"median_temperature_2WeeksBefore ",0.00561609224206211," median_SST_2WeeksBefore ",0.00313357392593465," min_dewPoint_2WeeksBefore ",0.00113405781554232,0.0368582169966633,0.0368693251338121,0.0448573911584139,0.0933652224563268
"s10442","measurement~max_temperature_2WeeksBefore + median_windBearing_2WeeksBefore+ max_TidalHeight_2WeeksBefore + min_TidalHeight_2WeeksBefore + max_PAR_2WeeksBefore ",0.394007468179187,"max_temperature_2WeeksBefore ",0.110756985101249," median_windBearing_2WeeksBefore",0.0504857086128954," max_TidalHeight_2WeeksBefore ",0.0136171665974848," min_TidalHeight_2WeeksBefore ",0.00529808230399446," max_PAR_2WeeksBefore ",0.00260458474217696,0.203909073236568,0.210133238268342,0.218071956183989,0.394007468179187
"s10567","measurement~ max_humidity_2WeeksBefore+min_temperature_2WeeksBefore + median_dewPoint_2WeeksBefore + max_dewPoint_2WeeksBefore + min_PAR_2WeeksBefore ",0.365490979056365," max_humidity_2WeeksBefore",0.308266988703792,"min_temperature_2WeeksBefore ",0.150991078636759," median_dewPoint_2WeeksBefore ",0.143387194511681," max_dewPoint_2WeeksBefore ",0.124340725087777," min_PAR_2WeeksBefore ",0.00963172008273233,0.338719886656741,0.358872396407816,0.362921345500973,0.365490979056365
"s10729","measurement~ max_temperature_2WeeksBefore + max_SST_2WeeksBefore +median_temperature_2WeeksBefore + max_windSpeed_2WeeksBefore+ max_PAR_2WeeksBefore ",0.059455161253645," max_temperature_2WeeksBefore ",0.0175609737096521," max_SST_2WeeksBefore ",0.0151977080538513,"median_temperature_2WeeksBefore ",0.0144531268382126," max_windSpeed_2WeeksBefore",0.00815090949882263," max_PAR_2WeeksBefore ",0.000731803610847288,0.0175687702341475,0.0188174498363013,0.0190056549508079,0.059455161253645
"s11056","measurement~ max_temperature_2WeeksBefore +median_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",0.0382387196544863," max_temperature_2WeeksBefore ",0.0185306712028333,"median_temperature_2WeeksBefore ",0.0160715941852054," min_temperature_2WeeksBefore ",0.0132048640882587," median_PAR_2WeeksBefore ",0.00538072978978214," max_PAR_2WeeksBefore",0.00140444345454336,0.0185699643653804,0.0202906158586697,0.0257360000379715,0.0382387196544863
"s11350","measurement~ min_windSpeed_2WeeksBefore+ median_TidalHeight_2WeeksBefore +max_temperature_2WeeksBefore + min_SST_2WeeksBefore + max_SST_2WeeksBefore ",0.125196836307391," min_windSpeed_2WeeksBefore",0.0474374040103108," median_TidalHeight_2WeeksBefore ",0.0452453435804905,"max_temperature_2WeeksBefore ",0.0032202285466757," min_SST_2WeeksBefore ",0.00204860163888464," max_SST_2WeeksBefore ",3.69585011488507e-05,0.0751958304655567,0.0761279689916416,0.0799653065927981,0.125196836307391
"s11798","measurement~min_SST_2WeeksBefore + median_windSpeed_2WeeksBefore + min_humidity_2WeeksBefore + max_humidity_2WeeksBefore + min_windSpeed_2WeeksBefore",0.622989049091745,"min_SST_2WeeksBefore ",0.397631393404955," median_windSpeed_2WeeksBefore ",0.341067098856972," min_humidity_2WeeksBefore ",0.221621749716468," max_humidity_2WeeksBefore ",0.0554215117430162," min_windSpeed_2WeeksBefore",0.000654315216175771,0.503738882895379,0.507405441460599,0.546851511137528,0.622989049091745
"s12112","measurement~ max_humidity_2WeeksBefore + min_humidity_2WeeksBefore+ max_TidalHeight_2WeeksBefore + median_Photoperiod_2WeeksBefore +min_PAR_2WeeksBefore ",0.0991955968000113," max_humidity_2WeeksBefore ",0.0393928220822421," min_humidity_2WeeksBefore",0.0166800287234856," max_TidalHeight_2WeeksBefore ",0.00809139273841009," median_Photoperiod_2WeeksBefore ",0.002917741579726,"min_PAR_2WeeksBefore ",0.00210555618885246,0.0498080881365512,0.0596305075191893,0.0754862976142724,0.0991955968000104
"s12754","measurement~ max_humidity_2WeeksBefore + max_SST_2WeeksBefore +median_temperature_2WeeksBefore + max_windSpeed_2WeeksBefore+ max_PAR_2WeeksBefore ",0.1954346231436," max_humidity_2WeeksBefore ",0.144536421857078," max_SST_2WeeksBefore ",0.0468774557396823,"median_temperature_2WeeksBefore ",0.0377464068863579," max_windSpeed_2WeeksBefore",0.0170675837569847," max_PAR_2WeeksBefore ",0.00334728109326359,0.146989257109185,0.147180439775132,0.178553134964411,0.1954346231436
"s12807","measurement~max_PAR_2WeeksBefore + median_SST_2WeeksBefore + min_humidity_2WeeksBefore+ median_Photoperiod_2WeeksBefore + median_humidity_2WeeksBefore ",0.221096322532015,"max_PAR_2WeeksBefore ",0.192345727448696," median_SST_2WeeksBefore ",0.083776872077925," min_humidity_2WeeksBefore",0.0789614578313764," median_Photoperiod_2WeeksBefore ",0.0165320497192109," median_humidity_2WeeksBefore ",0.0125681239542203,0.194627706971337,0.20195683210306,0.208709180621546,0.221096322532015
"s13004","measurement~max_temperature_2WeeksBefore + min_TidalHeight_2WeeksBefore + median_PAR_2WeeksBefore + min_windSpeed_2WeeksBefore + min_windBearing_2WeeksBefore",0.156490848404792,"max_temperature_2WeeksBefore ",0.0686900087906069," min_TidalHeight_2WeeksBefore ",0.0133751844574682," median_PAR_2WeeksBefore ",0.0111606334527757," min_windSpeed_2WeeksBefore ",0.00537088605268538," min_windBearing_2WeeksBefore",0.00135506368801017,0.0751381185694725,0.107837617704632,0.142248582962737,0.156490848404792
"s13398","measurement~ max_humidity_2WeeksBefore + max_SST_2WeeksBefore + min_SST_2WeeksBefore +min_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore",0.179902356457051," max_humidity_2WeeksBefore ",0.137196297013058," max_SST_2WeeksBefore ",0.032050471544996," min_SST_2WeeksBefore ",0.0272864541122543,"min_PAR_2WeeksBefore ",0.000601053174382813," median_windSpeed_2WeeksBefore",0.000282334350751321,0.137351150527296,0.152068954232496,0.155278499197776,0.179902356457051
"s13402","measurement~ min_PAR_2WeeksBefore + max_SST_2WeeksBefore + median_TidalHeight_2WeeksBefore + median_windSpeed_2WeeksBefore+max_PAR_2WeeksBefore ",0.157681703578955," min_PAR_2WeeksBefore ",0.0399270920750684," max_SST_2WeeksBefore ",0.0252762575241113," median_TidalHeight_2WeeksBefore ",0.00758413573020679," median_windSpeed_2WeeksBefore",0.00666570888621919,"max_PAR_2WeeksBefore ",0.00085946030734043,0.0515023938284357,0.0657805861292213,0.0808698649296256,0.157681703578955
"s14144","measurement~ min_temperature_2WeeksBefore +median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",0.194696205775932," min_temperature_2WeeksBefore ",0.108545175843247,"median_temperature_2WeeksBefore ",0.0928309566665609," max_temperature_2WeeksBefore ",0.0421742222214289," median_PAR_2WeeksBefore ",0.0181007270843609," max_PAR_2WeeksBefore",0.00436103544147701,0.112214790227227,0.192043638585653,0.193949774076122,0.194696205775932
"s14145","measurement~ median_windSpeed_2WeeksBefore + min_temperature_2WeeksBefore +max_temperature_2WeeksBefore + max_humidity_2WeeksBefore + min_windSpeed_2WeeksBefore",0.16923648642047," median_windSpeed_2WeeksBefore ",0.110727812843083," min_temperature_2WeeksBefore ",0.0714712506195047,"max_temperature_2WeeksBefore ",0.0271297139103755," max_humidity_2WeeksBefore ",0.00470946293918368," min_windSpeed_2WeeksBefore",3.78704279048093e-11,0.131319297953726,0.14768305568043,0.159203341124985,0.169236486420471
"s14473","measurement~ median_windSpeed_2WeeksBefore+ min_SST_2WeeksBefore +max_PAR_2WeeksBefore + max_humidity_2WeeksBefore + median_TidalHeight_2WeeksBefore ",0.246928029996918," median_windSpeed_2WeeksBefore",0.153841982515402," min_SST_2WeeksBefore ",0.12111540582257,"max_PAR_2WeeksBefore ",0.00562950208510718," max_humidity_2WeeksBefore ",0.0035066741338144," median_TidalHeight_2WeeksBefore ",1.57517740514079e-05,0.188193731397012,0.189182889494426,0.229297789114632,0.246928029996918
