"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~ min_windSpeed_2WeeksBefore+ min_PAR_2WeeksBefore + median_humidity_2WeeksBefore +median_temperature_2WeeksBefore + median_dewPoint_2WeeksBefore ",0.344107073560394," min_windSpeed_2WeeksBefore",0.194949452252875," min_PAR_2WeeksBefore ",0.180864113315232," median_humidity_2WeeksBefore ",0.0411387217278877,"median_temperature_2WeeksBefore ",0.0390985598713025," median_dewPoint_2WeeksBefore ",0.0300824634885982,0.237925253433819,0.26063213773101,0.276214286485061,0.344107073560394
"s10442","measurement~ max_humidity_2WeeksBefore+ max_SST_2WeeksBefore +median_SST_2WeeksBefore + min_SST_2WeeksBefore + max_TidalHeight_2WeeksBefore ",0.0970383739381433," max_humidity_2WeeksBefore",0.0607429144484004," max_SST_2WeeksBefore ",0.0220545326095175,"median_SST_2WeeksBefore ",0.0196040634780932," min_SST_2WeeksBefore ",0.0171076963249844," max_TidalHeight_2WeeksBefore ",0.00255275754352882,0.0620214887124698,0.0634897140537046,0.0801215724383477,0.0970383739381434
"s10567","measurement~ min_SST_2WeeksBefore + median_SST_2WeeksBefore + median_dewPoint_2WeeksBefore + median_humidity_2WeeksBefore+min_PAR_2WeeksBefore ",0.22326600765514," min_SST_2WeeksBefore ",0.0760110724181002," median_SST_2WeeksBefore ",0.0619700850504388," median_dewPoint_2WeeksBefore ",0.045614076283007," median_humidity_2WeeksBefore",0.0218315054044582,"min_PAR_2WeeksBefore ",0.00544494624447684,0.0809771266459828,0.0864387422922718,0.0866232222902142,0.22326600765514
"s10729","measurement~ max_SST_2WeeksBefore + min_humidity_2WeeksBefore+ min_PAR_2WeeksBefore + median_TidalHeight_2WeeksBefore +max_PAR_2WeeksBefore ",0.417083672910322," max_SST_2WeeksBefore ",0.206540642853313," min_humidity_2WeeksBefore",0.0416469284516345," min_PAR_2WeeksBefore ",0.0361292661185313," median_TidalHeight_2WeeksBefore ",0.0222569659762756,"max_PAR_2WeeksBefore ",0.00673472715440155,0.260685688833543,0.261139520471128,0.304811615753768,0.417083672910322
"s11056","measurement~ min_SST_2WeeksBefore +median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + median_humidity_2WeeksBefore+ min_PAR_2WeeksBefore ",0.386860475994517," min_SST_2WeeksBefore ",0.220503818475315,"median_temperature_2WeeksBefore ",0.14930804325591," max_temperature_2WeeksBefore ",0.117817680601835," median_humidity_2WeeksBefore",0.0725749679588939," min_PAR_2WeeksBefore ",0.00118188272285585,0.263238529846992,0.267052890050742,0.272623838344728,0.386860475994517
"s11350","measurement~ min_PAR_2WeeksBefore + median_humidity_2WeeksBefore+median_temperature_2WeeksBefore + max_SST_2WeeksBefore + median_dewPoint_2WeeksBefore ",0.185820214184027," min_PAR_2WeeksBefore ",0.016753755464025," median_humidity_2WeeksBefore",0.0140262445014098,"median_temperature_2WeeksBefore ",0.00345169984630998," max_SST_2WeeksBefore ",0.000485345228482788," median_dewPoint_2WeeksBefore ",0.000196045254492069,0.0211935293937183,0.0214647045546113,0.0321921327559948,0.185820214184027
"s11798","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s12112","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s12754","measurement~ median_dewPoint_2WeeksBefore + min_humidity_2WeeksBefore +min_PAR_2WeeksBefore + min_windSpeed_2WeeksBefore + min_windBearing_2WeeksBefore",0.528659476758207," median_dewPoint_2WeeksBefore ",0.182350074003901," min_humidity_2WeeksBefore ",0.057998905055521,"min_PAR_2WeeksBefore ",0.0304740391460677," min_windSpeed_2WeeksBefore ",0.0145178051507181," min_windBearing_2WeeksBefore",0.00060286670040148,0.231537476346191,0.235639350093444,0.47216146332116,0.528659476758207
"s12807","measurement~ max_dewPoint_2WeeksBefore + max_TidalHeight_2WeeksBefore + median_Photoperiod_2WeeksBefore + median_windBearing_2WeeksBefore+min_TidalHeight_2WeeksBefore ",0.30059015229273," max_dewPoint_2WeeksBefore ",0.199715488757219," max_TidalHeight_2WeeksBefore ",0.100064290696903," median_Photoperiod_2WeeksBefore ",0.0894595804841194," median_windBearing_2WeeksBefore",0.0522346570551625,"min_TidalHeight_2WeeksBefore ",8.71838821387986e-05,0.235975507997222,0.264640513994386,0.281885938322244,0.30059015229273
"s13004","measurement~ max_SST_2WeeksBefore + min_PAR_2WeeksBefore + min_humidity_2WeeksBefore+ median_TidalHeight_2WeeksBefore +max_PAR_2WeeksBefore ",0.516687788899093," max_SST_2WeeksBefore ",0.249089985801939," min_PAR_2WeeksBefore ",0.0939856262685737," min_humidity_2WeeksBefore",0.0494585142498852," median_TidalHeight_2WeeksBefore ",0.0125986408553915,"max_PAR_2WeeksBefore ",0.00902875993494796,0.258295917057793,0.333726469319792,0.382652340664741,0.516687788899093
"s13398","measurement~ max_SST_2WeeksBefore + min_PAR_2WeeksBefore + max_humidity_2WeeksBefore+ median_TidalHeight_2WeeksBefore +max_PAR_2WeeksBefore ",0.184648794779595," max_SST_2WeeksBefore ",0.0522694926458476," min_PAR_2WeeksBefore ",0.0432747209657965," max_humidity_2WeeksBefore",0.020642494683141," median_TidalHeight_2WeeksBefore ",0.00622363815499499,"max_PAR_2WeeksBefore ",0.00125636203882771,0.0665005212723679,0.0690282989668848,0.0771414808610497,0.184648794779595
"s13402","measurement~max_SST_2WeeksBefore + max_dewPoint_2WeeksBefore + min_dewPoint_2WeeksBefore + median_humidity_2WeeksBefore + min_windBearing_2WeeksBefore",0.457560860604782,"max_SST_2WeeksBefore ",0.216396292542318," max_dewPoint_2WeeksBefore ",0.11096466612642," min_dewPoint_2WeeksBefore ",0.0947213199544215," median_humidity_2WeeksBefore ",0.073364119749784," min_windBearing_2WeeksBefore",0.000643339668355865,0.354868125407834,0.369497917823223,0.374181623608735,0.457560860604782
"s14144","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s14145","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s14473","measurement~ max_humidity_2WeeksBefore+ min_SST_2WeeksBefore + median_SST_2WeeksBefore + median_dewPoint_2WeeksBefore +min_temperature_2WeeksBefore ",0.0971484001622222," max_humidity_2WeeksBefore",0.0607429144484004," min_SST_2WeeksBefore ",0.0278428049373065," median_SST_2WeeksBefore ",0.0206955444971934," median_dewPoint_2WeeksBefore ",0.0135677357127348,"min_temperature_2WeeksBefore ",0.0132792364435884,0.0617356296621691,0.0617586388691418,0.0676001625281497,0.0971484001622223
