"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~ min_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore+median_temperature_2WeeksBefore + min_SST_2WeeksBefore + max_PAR_2WeeksBefore ",0.219778058750703," min_PAR_2WeeksBefore ",0.157010248819339," median_windSpeed_2WeeksBefore",0.0608848439978958,"median_temperature_2WeeksBefore ",0.0484513310970887," min_SST_2WeeksBefore ",0.0199314793389952," max_PAR_2WeeksBefore ",0.0050639434894829,0.188293384344329,0.190930750846954,0.20844191383999,0.219778058750703
"s10442","measurement~ max_SST_2WeeksBefore + min_TidalHeight_2WeeksBefore +max_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore+ max_TidalHeight_2WeeksBefore ",0.0789284371662292," max_SST_2WeeksBefore ",0.0361555920682982," min_TidalHeight_2WeeksBefore ",0.00503352023076639,"max_PAR_2WeeksBefore ",0.000690804504610147," median_windSpeed_2WeeksBefore",0.000421447772387299," max_TidalHeight_2WeeksBefore ",0.000129562725472254,0.038607491927946,0.0496930022527071,0.0628308013298586,0.0789284371662291
"s10567","measurement~ max_SST_2WeeksBefore + min_PAR_2WeeksBefore + median_Photoperiod_2WeeksBefore +max_PAR_2WeeksBefore + min_windSpeed_2WeeksBefore",0.0712977203732455," max_SST_2WeeksBefore ",0.0487707260999349," min_PAR_2WeeksBefore ",0.0204286262899027," median_Photoperiod_2WeeksBefore ",0.0088485192739125,"max_PAR_2WeeksBefore ",0.00484699473388127," min_windSpeed_2WeeksBefore",0.00461468109244739,0.0530938535393493,0.0531919736918952,0.0635316081084718,0.0712977203732455
"s10729","measurement~ max_SST_2WeeksBefore + min_TidalHeight_2WeeksBefore +max_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore+ median_TidalHeight_2WeeksBefore ",0.0600361518602263," max_SST_2WeeksBefore ",0.0306821433146429," min_TidalHeight_2WeeksBefore ",0.00373596817377586,"max_PAR_2WeeksBefore ",0.000800291269615533," median_windSpeed_2WeeksBefore",0.000153136743998576," median_TidalHeight_2WeeksBefore ",1.72446828509483e-05,0.0323921819708077,0.0409205759052599,0.0503119991164035,0.0600361518602264
"s11056","measurement~min_PAR_2WeeksBefore + min_SST_2WeeksBefore + median_windSpeed_2WeeksBefore + median_windBearing_2WeeksBefore+ min_TidalHeight_2WeeksBefore ",0.0857001218179145,"min_PAR_2WeeksBefore ",0.0512743992523349," min_SST_2WeeksBefore ",0.0391540509341471," median_windSpeed_2WeeksBefore ",0.0231281398600855," median_windBearing_2WeeksBefore",0.00479123441036372," min_TidalHeight_2WeeksBefore ",4.98571077274997e-05,0.0609065750271217,0.0696201337551029,0.0820532562142872,0.0857001218179145
"s11350","measurement~ min_TidalHeight_2WeeksBefore + min_SST_2WeeksBefore +median_temperature_2WeeksBefore + median_dewPoint_2WeeksBefore + median_humidity_2WeeksBefore",0.0529936287233594," min_TidalHeight_2WeeksBefore ",0.0234542150842323," min_SST_2WeeksBefore ",0.000310783129657063,"median_temperature_2WeeksBefore ",0.000286601893638676," median_dewPoint_2WeeksBefore ",2.20566961045551e-05," median_humidity_2WeeksBefore",4.42050188236555e-06,0.0234715922936749,0.0235136345738203,0.024271754150125,0.0529936287233595
"s11798","measurement~min_SST_2WeeksBefore + median_windSpeed_2WeeksBefore + min_dewPoint_2WeeksBefore + max_humidity_2WeeksBefore + max_windBearing_2WeeksBefore",0.205301694225297,"min_SST_2WeeksBefore ",0.139684068871628," median_windSpeed_2WeeksBefore ",0.0793745182725421," min_dewPoint_2WeeksBefore ",0.0466374189243789," max_humidity_2WeeksBefore ",0.00574154552829171," max_windBearing_2WeeksBefore",0.00190346486435334,0.174242508728629,0.177230092024565,0.194043720608563,0.205301694225297
"s12112","measurement~ max_TidalHeight_2WeeksBefore +min_temperature_2WeeksBefore + max_dewPoint_2WeeksBefore + min_humidity_2WeeksBefore+ min_PAR_2WeeksBefore ",0.0169053743033579," max_TidalHeight_2WeeksBefore ",0.00440567626928401,"min_temperature_2WeeksBefore ",0.00369387418275036," max_dewPoint_2WeeksBefore ",0.0036193478516739," min_humidity_2WeeksBefore",0.00261348635079323," min_PAR_2WeeksBefore ",0.000258381440478529,0.00889473731563472,0.00891724245065808,0.0143358681069984,0.016905374303358
"s12754","measurement~ min_SST_2WeeksBefore + max_SST_2WeeksBefore + median_SST_2WeeksBefore + median_Photoperiod_2WeeksBefore+max_PAR_2WeeksBefore ",0.195266435243994," min_SST_2WeeksBefore ",0.134560886986952," max_SST_2WeeksBefore ",0.131993314206675," median_SST_2WeeksBefore ",0.117821321767183," median_Photoperiod_2WeeksBefore",0.017282092726309,"max_PAR_2WeeksBefore ",0.00714480888684644,0.13960009712961,0.163752322648131,0.165398515893135,0.195266435243994
"s12807","measurement~ median_windBearing_2WeeksBefore+max_temperature_2WeeksBefore + max_windSpeed_2WeeksBefore + median_windSpeed_2WeeksBefore + median_PAR_2WeeksBefore ",0.0873174015359623," median_windBearing_2WeeksBefore",0.0429139776283958,"max_temperature_2WeeksBefore ",0.0167297773630183," max_windSpeed_2WeeksBefore ",0.000470171932781682," median_windSpeed_2WeeksBefore ",0.000158321491522907," median_PAR_2WeeksBefore ",6.03160370292514e-07,0.0618102814618477,0.0618359429885212,0.0744679255739203,0.0873174015359624
"s13004","measurement~ min_PAR_2WeeksBefore +max_temperature_2WeeksBefore + median_dewPoint_2WeeksBefore+ max_PAR_2WeeksBefore + median_TidalHeight_2WeeksBefore ",0.174709508016498," min_PAR_2WeeksBefore ",0.102042064310904,"max_temperature_2WeeksBefore ",0.0971026952322062," median_dewPoint_2WeeksBefore",0.0801923700636085," max_PAR_2WeeksBefore ",0.00852615758317853," median_TidalHeight_2WeeksBefore ",0.000561927213512834,0.125500483988534,0.129661698782957,0.162157684013305,0.174709508016498
"s13398","measurement~ max_SST_2WeeksBefore + min_TidalHeight_2WeeksBefore + median_windSpeed_2WeeksBefore+max_PAR_2WeeksBefore + max_TidalHeight_2WeeksBefore ",0.0444138621758208," max_SST_2WeeksBefore ",0.0181017031194288," min_TidalHeight_2WeeksBefore ",0.00289557972277987," median_windSpeed_2WeeksBefore",0.000724722712435194,"max_PAR_2WeeksBefore ",0.000327101800760915," max_TidalHeight_2WeeksBefore ",0.000137130542971823,0.0195971250517813,0.0255183207622034,0.0342202747219933,0.0444138621758208
"s13402","measurement~ max_SST_2WeeksBefore + min_SST_2WeeksBefore +median_temperature_2WeeksBefore + max_humidity_2WeeksBefore + median_windBearing_2WeeksBefore",0.113724243374906," max_SST_2WeeksBefore ",0.0675385569989413," min_SST_2WeeksBefore ",0.0530604602968843,"median_temperature_2WeeksBefore ",0.0413065805089347," max_humidity_2WeeksBefore ",0.0251412819585416," median_windBearing_2WeeksBefore",0.00210388752182384,0.0677647237494305,0.0822412949089578,0.084221410918841,0.113724243374906
"s14144","measurement~ min_SST_2WeeksBefore + min_dewPoint_2WeeksBefore + median_windSpeed_2WeeksBefore+min_PAR_2WeeksBefore + max_humidity_2WeeksBefore ",0.0998008998905967," min_SST_2WeeksBefore ",0.0443824177752648," min_dewPoint_2WeeksBefore ",0.0234521369401688," median_windSpeed_2WeeksBefore",0.0173633233259437,"min_PAR_2WeeksBefore ",0.00108657502709468," max_humidity_2WeeksBefore ",0.000984570878416466,0.0448916202489367,0.0542018543973556,0.0802599863223936,0.0998008998905968
"s14145","measurement~median_SST_2WeeksBefore + max_dewPoint_2WeeksBefore + max_humidity_2WeeksBefore + min_TidalHeight_2WeeksBefore + max_windBearing_2WeeksBefore",0.061270712829233,"median_SST_2WeeksBefore ",0.0353386106594805," max_dewPoint_2WeeksBefore ",0.0187626169657239," max_humidity_2WeeksBefore ",0.00296276161312038," min_TidalHeight_2WeeksBefore ",0.000420444412715392," max_windBearing_2WeeksBefore",7.09979689903706e-05,0.0416072187169832,0.0524342926848807,0.0568262780962174,0.061270712829233
"s14473","measurement~median_temperature_2WeeksBefore + median_windSpeed_2WeeksBefore+ min_PAR_2WeeksBefore + max_humidity_2WeeksBefore + max_PAR_2WeeksBefore ",0.115984193706361,"median_temperature_2WeeksBefore ",0.0288914367599201," median_windSpeed_2WeeksBefore",0.0158403927323719," min_PAR_2WeeksBefore ",0.00420302974131015," max_humidity_2WeeksBefore ",0.00191904666257749," max_PAR_2WeeksBefore ",0.000748158014690514,0.0358865886161141,0.0784258387411583,0.099826631198288,0.115984193706361
"s14477","measurement~ min_SST_2WeeksBefore + max_SST_2WeeksBefore + median_SST_2WeeksBefore +median_PAR_2WeeksBefore + median_windBearing_2WeeksBefore",0.0953262014389216," min_SST_2WeeksBefore ",0.0578859031458591," max_SST_2WeeksBefore ",0.0568879703864208," median_SST_2WeeksBefore ",0.0521881876369295,"median_PAR_2WeeksBefore ",0.0057567334431523," median_windBearing_2WeeksBefore",7.18476101546668e-06,0.0601042754479916,0.0667689530670672,0.0835814465771817,0.0953262014389215
"s1453","measurement~ min_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore +median_PAR_2WeeksBefore + min_TidalHeight_2WeeksBefore + median_windBearing_2WeeksBefore",0.0868251256701136," min_PAR_2WeeksBefore ",0.0673033517090476," median_windSpeed_2WeeksBefore ",0.0216179636579735,"median_PAR_2WeeksBefore ",0.00972506465222209," min_TidalHeight_2WeeksBefore ",0.00225457719426732," median_windBearing_2WeeksBefore",0.000419642387057377,0.0775099800401846,0.078981162242638,0.081956374631248,0.0868251256701137
