"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~median_temperature_2WeeksBefore + min_temperature_2WeeksBefore + max_windSpeed_2WeeksBefore + median_SST_2WeeksBefore + min_windSpeed_2WeeksBefore",0.0928427306238678,"median_temperature_2WeeksBefore ",0.0183081669762534," min_temperature_2WeeksBefore ",0.0129503407900975," max_windSpeed_2WeeksBefore ",0.010256152766381," median_SST_2WeeksBefore ",0.00753664178859261," min_windSpeed_2WeeksBefore",6.61930973820999e-05,0.0225532222686563,0.0472017792907207,0.0611594776169982,0.0928427306238678
"s10442","measurement~ max_SST_2WeeksBefore + min_TidalHeight_2WeeksBefore +max_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore+ max_TidalHeight_2WeeksBefore ",0.199694863839794," max_SST_2WeeksBefore ",0.089384380039386," min_TidalHeight_2WeeksBefore ",0.0121992059768574,"max_PAR_2WeeksBefore ",0.00191548027565884," median_windSpeed_2WeeksBefore",0.00169176255816588," max_TidalHeight_2WeeksBefore ",0.000606191887491661,0.0937423480168253,0.117770952483506,0.157921803123651,0.199694863839794
"s10567","measurement~ median_SST_2WeeksBefore +median_temperature_2WeeksBefore + min_PAR_2WeeksBefore + min_humidity_2WeeksBefore+ min_TidalHeight_2WeeksBefore ",0.23432795372389," median_SST_2WeeksBefore ",0.153579356417408,"median_temperature_2WeeksBefore ",0.143153663210447," min_PAR_2WeeksBefore ",0.107334786252278," min_humidity_2WeeksBefore",0.000660530043863293," min_TidalHeight_2WeeksBefore ",0.000324924184101242,0.153775655270235,0.211192915741134,0.226382064045503,0.23432795372389
"s10729","measurement~ max_SST_2WeeksBefore + median_dewPoint_2WeeksBefore+ median_SST_2WeeksBefore +max_PAR_2WeeksBefore + median_TidalHeight_2WeeksBefore ",0.0286528636015294," max_SST_2WeeksBefore ",0.0154337024464187," median_dewPoint_2WeeksBefore",0.0153101118571693," median_SST_2WeeksBefore ",0.0132718461903193,"max_PAR_2WeeksBefore ",0.000455150001935506," median_TidalHeight_2WeeksBefore ",3.95459003215395e-05,0.0159091801526254,0.0177687590861041,0.0261736220077894,0.0286528636015293
"s11056","measurement~ max_SST_2WeeksBefore + min_SST_2WeeksBefore + median_SST_2WeeksBefore +min_temperature_2WeeksBefore + median_windBearing_2WeeksBefore",0.0414638976606841," max_SST_2WeeksBefore ",0.0206916934871349," min_SST_2WeeksBefore ",0.0178680638253375," median_SST_2WeeksBefore ",0.0163208106811506,"min_temperature_2WeeksBefore ",0.0124996980510658," median_windBearing_2WeeksBefore",0.00218418657828792,0.0207101936485316,0.0292996654614126,0.0324227092230058,0.0414638976606842
"s11350","measurement~ max_TidalHeight_2WeeksBefore +median_PAR_2WeeksBefore + max_windSpeed_2WeeksBefore + min_windSpeed_2WeeksBefore+ min_dewPoint_2WeeksBefore ",0.0626513615589347," max_TidalHeight_2WeeksBefore ",0.016721165014269,"median_PAR_2WeeksBefore ",0.00710988155446047," max_windSpeed_2WeeksBefore ",0.00672095202544689," min_windSpeed_2WeeksBefore",0.0019746758169374," min_dewPoint_2WeeksBefore ",0.000511278476480103,0.0276518179075085,0.037856507834961,0.042888245375595,0.0626513615589347
"s11798","measurement~ min_temperature_2WeeksBefore +median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",0.442623520453815," min_temperature_2WeeksBefore ",0.345207054593222,"median_temperature_2WeeksBefore ",0.32549678043255," max_temperature_2WeeksBefore ",0.176849739030758," median_PAR_2WeeksBefore ",0.0937009445550746," max_PAR_2WeeksBefore",0.030780838112884,0.345345890836437,0.400391577328961,0.407114062439852,0.442623520453815
"s12112","measurement~ max_windSpeed_2WeeksBefore+median_temperature_2WeeksBefore + min_SST_2WeeksBefore + median_dewPoint_2WeeksBefore + min_humidity_2WeeksBefore ",0.0873784128007399," max_windSpeed_2WeeksBefore",0.0332757153177639,"median_temperature_2WeeksBefore ",0.0184429498373028," min_SST_2WeeksBefore ",0.0073735106356636," median_dewPoint_2WeeksBefore ",0.00491826108878381," min_humidity_2WeeksBefore ",0.00256949148862046,0.0627192168184373,0.0731530194893952,0.0750506978081295,0.0873784128007401
"s12754","measurement~ max_humidity_2WeeksBefore +median_temperature_2WeeksBefore + median_dewPoint_2WeeksBefore + min_dewPoint_2WeeksBefore + max_windSpeed_2WeeksBefore",0.0597284404803133," max_humidity_2WeeksBefore ",0.0239180130797835,"median_temperature_2WeeksBefore ",0.0101103336424937," median_dewPoint_2WeeksBefore ",0.0087786886397654," min_dewPoint_2WeeksBefore ",0.000725345624748963," max_windSpeed_2WeeksBefore",0.000416607509737407,0.0258024061133991,0.0305893302213936,0.0570194159041938,0.0597284404803132
"s12807","measurement~ max_PAR_2WeeksBefore +median_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_TidalHeight_2WeeksBefore + min_windSpeed_2WeeksBefore",0.18800255431014," max_PAR_2WeeksBefore ",0.128116368300688,"median_temperature_2WeeksBefore ",0.0614062144023044," min_temperature_2WeeksBefore ",0.0568043990331925," median_TidalHeight_2WeeksBefore ",0.0353647186611347," min_windSpeed_2WeeksBefore",0.00540062021983247,0.128445755904071,0.128448467212878,0.16605676092261,0.18800255431014
