"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~ min_PAR_2WeeksBefore +median_temperature_2WeeksBefore + min_SST_2WeeksBefore + max_windSpeed_2WeeksBefore + min_windSpeed_2WeeksBefore",0.461058779227381," min_PAR_2WeeksBefore ",0.252947941050983,"median_temperature_2WeeksBefore ",0.10532565045869," min_SST_2WeeksBefore ",0.0597254735456853," max_windSpeed_2WeeksBefore ",0.0413831087039947," min_windSpeed_2WeeksBefore",0.00312395846294873,0.252996295060954,0.284635502735197,0.357429388487929,0.461058779227381
"s10442","measurement~ max_SST_2WeeksBefore +max_temperature_2WeeksBefore + median_Photoperiod_2WeeksBefore + min_windSpeed_2WeeksBefore+ max_PAR_2WeeksBefore ",0.0374797742434739," max_SST_2WeeksBefore ",0.0145917893225075,"max_temperature_2WeeksBefore ",0.00281933340077248," median_Photoperiod_2WeeksBefore ",0.00103897555547248," min_windSpeed_2WeeksBefore",0.000734256821820001," max_PAR_2WeeksBefore ",0.000518100211290587,0.0296688299810079,0.0304954109343063,0.0330014743490805,0.0374797742434739
"s10567","measurement~ min_PAR_2WeeksBefore + max_temperature_2WeeksBefore +median_temperature_2WeeksBefore + median_SST_2WeeksBefore + median_TidalHeight_2WeeksBefore",0.141879938538057," min_PAR_2WeeksBefore ",0.0990527442371964," max_temperature_2WeeksBefore ",0.0633570816817654,"median_temperature_2WeeksBefore ",0.0476400719333839," median_SST_2WeeksBefore ",0.0433572248066237," median_TidalHeight_2WeeksBefore",0.000110625059255641,0.104997893308705,0.11605158826339,0.13205199391959,0.141879938538057
"s10729","measurement~ max_SST_2WeeksBefore + min_TidalHeight_2WeeksBefore +max_PAR_2WeeksBefore + median_TidalHeight_2WeeksBefore + median_humidity_2WeeksBefore",0.303684177808473," max_SST_2WeeksBefore ",0.126921187570982," min_TidalHeight_2WeeksBefore ",0.0105128685203364,"max_PAR_2WeeksBefore ",0.00205755745304914," median_TidalHeight_2WeeksBefore ",0.000512143429363548," median_humidity_2WeeksBefore",2.00248961486066e-05,0.138799450549139,0.193118032270934,0.237735140396962,0.303684177808473
"s11056","measurement~min_PAR_2WeeksBefore + min_SST_2WeeksBefore + median_windSpeed_2WeeksBefore + median_windBearing_2WeeksBefore+ min_TidalHeight_2WeeksBefore ",0.276917535199599,"min_PAR_2WeeksBefore ",0.195149610175975," min_SST_2WeeksBefore ",0.116085397728543," median_windSpeed_2WeeksBefore ",0.0632408605937377," median_windBearing_2WeeksBefore",0.00644014114508957," min_TidalHeight_2WeeksBefore ",0.00372243624642102,0.201239932893275,0.236544364670076,0.261292409999648,0.276917535199599
"s11350","measurement~ median_PAR_2WeeksBefore + max_PAR_2WeeksBefore+median_temperature_2WeeksBefore + min_temperature_2WeeksBefore + max_temperature_2WeeksBefore ",0.0128247324499617," median_PAR_2WeeksBefore ",0.00752550202739051," max_PAR_2WeeksBefore",0.00244250251123648,"median_temperature_2WeeksBefore ",0.00176031008848624," min_temperature_2WeeksBefore ",0.000915467606278216," max_temperature_2WeeksBefore ",0.000835595183011948,0.0083656370865341,0.00940763515123998,0.0108399136183115,0.0128247324499617
"s11798","measurement~ median_windSpeed_2WeeksBefore + median_windBearing_2WeeksBefore+ min_PAR_2WeeksBefore +median_PAR_2WeeksBefore + max_windSpeed_2WeeksBefore ",0.0816878685738516," median_windSpeed_2WeeksBefore ",0.0229450306154106," median_windBearing_2WeeksBefore",0.0108738982824671," min_PAR_2WeeksBefore ",0.00670647217884862,"median_PAR_2WeeksBefore ",0.0038082320672475," max_windSpeed_2WeeksBefore ",0.000105449784462451,0.0449033092766627,0.056751508348477,0.0575149810008147,0.0816878685738516
"s12112","measurement~ min_PAR_2WeeksBefore +median_temperature_2WeeksBefore + max_windSpeed_2WeeksBefore+ min_SST_2WeeksBefore + median_Photoperiod_2WeeksBefore ",0.140814021592111," min_PAR_2WeeksBefore ",0.0884600481505989,"median_temperature_2WeeksBefore ",0.0295012814870944," max_windSpeed_2WeeksBefore",0.0212400426204255," min_SST_2WeeksBefore ",0.0184881762104637," median_Photoperiod_2WeeksBefore ",0.0040263094098759,0.0894097864614731,0.117564907375921,0.125826201618659,0.140814021592111
"s12754","measurement~ min_temperature_2WeeksBefore +median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",0.212440835182114," min_temperature_2WeeksBefore ",0.146147531470373,"median_temperature_2WeeksBefore ",0.142879209698864," max_temperature_2WeeksBefore ",0.107583214519192," median_PAR_2WeeksBefore ",0.0388137401436689," max_PAR_2WeeksBefore",0.00880230893371915,0.147495612969111,0.152425245372957,0.170306470004185,0.212440835182114
"s12807","measurement~ median_windBearing_2WeeksBefore+max_temperature_2WeeksBefore + median_SST_2WeeksBefore + median_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore ",0.177362891662986," median_windBearing_2WeeksBefore",0.10499043826346,"max_temperature_2WeeksBefore ",0.0246997564851144," median_SST_2WeeksBefore ",0.00657888270775156," median_PAR_2WeeksBefore ",0.00066437873899593," median_windSpeed_2WeeksBefore ",8.10921921897586e-05,0.128285186355283,0.145860728509218,0.161115834602763,0.177362891662986
"s13004","measurement~ min_PAR_2WeeksBefore +min_temperature_2WeeksBefore + max_SST_2WeeksBefore + max_PAR_2WeeksBefore + median_TidalHeight_2WeeksBefore",0.431414386087246," min_PAR_2WeeksBefore ",0.33188629151255,"min_temperature_2WeeksBefore ",0.159237866013434," max_SST_2WeeksBefore ",0.11785592342783," max_PAR_2WeeksBefore ",0.0136939235188472," median_TidalHeight_2WeeksBefore",7.13387531855688e-06,0.334893999833599,0.34644179775184,0.375520866366598,0.431414386087246
