"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",0.0990510770285097,"median_temperature_2WeeksBefore ",0.0726865875238936," max_temperature_2WeeksBefore ",0.0667909636910157," min_temperature_2WeeksBefore ",0.0556015447876029," median_PAR_2WeeksBefore ",0.0321216656201527," max_PAR_2WeeksBefore",0.0091926171519438,0.073624472072792,0.0832436111255836,0.0888036950832279,0.0990510770285097
"s10442","measurement~max_temperature_2WeeksBefore + min_PAR_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore + median_humidity_2WeeksBefore",0.0489385764463682,"max_temperature_2WeeksBefore ",0.0217307205147083," min_PAR_2WeeksBefore ",0.0121338008272403," median_PAR_2WeeksBefore ",0.0036628379109021," max_PAR_2WeeksBefore ",0.00109461905847021," median_humidity_2WeeksBefore",2.46315028375832e-06,0.0226009149235488,0.0328576836263732,0.0351007404573096,0.0489385764463682
"s10567","measurement~median_temperature_2WeeksBefore + min_temperature_2WeeksBefore + max_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",0.0326440737618699,"median_temperature_2WeeksBefore ",0.0231444388112838," min_temperature_2WeeksBefore ",0.0229949805203873," max_temperature_2WeeksBefore ",0.0159579127071213," median_PAR_2WeeksBefore ",0.00501528818254455," max_PAR_2WeeksBefore",0.000958400690308048,0.0234543918760083,0.0243367185958549,0.0280528293174735,0.0326440737618699
"s10729","measurement~ max_SST_2WeeksBefore + min_TidalHeight_2WeeksBefore +max_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore+ median_TidalHeight_2WeeksBefore ",0.0795667365425539," max_SST_2WeeksBefore ",0.04090027576114," min_TidalHeight_2WeeksBefore ",0.00598630495001522,"max_PAR_2WeeksBefore ",0.00131039551513835," median_windSpeed_2WeeksBefore",0.000220488192379209," median_TidalHeight_2WeeksBefore ",2.32356582304091e-07,0.0430521774585111,0.0533147319306205,0.0680895288448145,0.0795667365425537
"s11056","measurement~median_SST_2WeeksBefore + median_Photoperiod_2WeeksBefore + median_windBearing_2WeeksBefore + max_windSpeed_2WeeksBefore + max_windBearing_2WeeksBefore",0.13725538660683,"median_SST_2WeeksBefore ",0.0699467715924105," median_Photoperiod_2WeeksBefore ",0.0137544832434214," median_windBearing_2WeeksBefore ",0.0122396770843965," max_windSpeed_2WeeksBefore ",0.00705708312976882," max_windBearing_2WeeksBefore",0.000594055620489382,0.0700991476613951,0.0875472524523603,0.126322916017395,0.13725538660683
"s11350","measurement~ min_TidalHeight_2WeeksBefore + min_SST_2WeeksBefore +median_temperature_2WeeksBefore + median_dewPoint_2WeeksBefore + median_humidity_2WeeksBefore",0.084498077994314," min_TidalHeight_2WeeksBefore ",0.0363200209598042," min_SST_2WeeksBefore ",0.000300607864927997,"median_temperature_2WeeksBefore ",0.000272444474479724," median_dewPoint_2WeeksBefore ",4.13591800631607e-06," median_humidity_2WeeksBefore",1.19909657047067e-07,0.0366515668722595,0.0367455952957396,0.0382467358411915,0.0844980779943141
"s11798","measurement~max_PAR_2WeeksBefore + min_windSpeed_2WeeksBefore+ max_TidalHeight_2WeeksBefore + min_TidalHeight_2WeeksBefore + median_Photoperiod_2WeeksBefore ",0.0801133124864127,"max_PAR_2WeeksBefore ",0.0219320500409839," min_windSpeed_2WeeksBefore",0.0206229802856576," max_TidalHeight_2WeeksBefore ",0.00927658062099508," min_TidalHeight_2WeeksBefore ",0.00551039224029124," median_Photoperiod_2WeeksBefore ",0.00056785779202558,0.0356529495211633,0.0480128902746368,0.0507540047598567,0.0801133124864127
"s12112","measurement~ max_TidalHeight_2WeeksBefore +median_temperature_2WeeksBefore + min_TidalHeight_2WeeksBefore + median_Photoperiod_2WeeksBefore+ min_PAR_2WeeksBefore ",0.037519238733104," max_TidalHeight_2WeeksBefore ",0.0121334006329033,"median_temperature_2WeeksBefore ",0.00851253394076838," min_TidalHeight_2WeeksBefore ",0.00533054888633348," median_Photoperiod_2WeeksBefore",0.000924057171176981," min_PAR_2WeeksBefore ",0.000849368908318425,0.0199906535518387,0.022588274729482,0.026947891385034,0.0375192387331034
"s12754","measurement~ min_SST_2WeeksBefore + max_SST_2WeeksBefore + median_SST_2WeeksBefore +median_PAR_2WeeksBefore + median_windBearing_2WeeksBefore",0.371031158876764," min_SST_2WeeksBefore ",0.255895744479714," max_SST_2WeeksBefore ",0.253444725624654," median_SST_2WeeksBefore ",0.228722815042079,"median_PAR_2WeeksBefore ",0.0400843360986712," median_windBearing_2WeeksBefore",0.00392541694262874,0.265621789851122,0.307354669639255,0.352534080769571,0.371031158876764
"s12807","measurement~ median_windBearing_2WeeksBefore+max_temperature_2WeeksBefore + median_TidalHeight_2WeeksBefore + median_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore ",0.117854029590337," median_windBearing_2WeeksBefore",0.0441181187473279,"max_temperature_2WeeksBefore ",0.0271837003938974," median_TidalHeight_2WeeksBefore ",0.0150005172639326," median_PAR_2WeeksBefore ",0.000741237382300302," median_windSpeed_2WeeksBefore ",2.01688998083935e-05,0.0755501911002453,0.0833910026133254,0.0993531291097522,0.117854029590337
"s13004","measurement~ median_dewPoint_2WeeksBefore+max_temperature_2WeeksBefore + min_PAR_2WeeksBefore + max_PAR_2WeeksBefore + median_TidalHeight_2WeeksBefore ",0.26066259479296," median_dewPoint_2WeeksBefore",0.150396965219492,"max_temperature_2WeeksBefore ",0.15027780458799," min_PAR_2WeeksBefore ",0.10718278722068," max_PAR_2WeeksBefore ",0.0135625580061781," median_TidalHeight_2WeeksBefore ",0.00237251999247876,0.165187391966298,0.185949741140169,0.244723699429875,0.26066259479296
"s13398","measurement~ max_SST_2WeeksBefore +min_temperature_2WeeksBefore + median_SST_2WeeksBefore + median_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore",0.0729035795710023," max_SST_2WeeksBefore ",0.0283512183247245,"min_temperature_2WeeksBefore ",0.0230899103912608," median_SST_2WeeksBefore ",0.022686195568043," median_PAR_2WeeksBefore ",0.00278642853218781," median_windSpeed_2WeeksBefore",0.00189678469017166,0.0283871645116702,0.0340732832144317,0.0480954676480853,0.0729035795710023
