"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~max_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_TidalHeight_2WeeksBefore + min_humidity_2WeeksBefore + min_windBearing_2WeeksBefore",0.227778863378438,"max_temperature_2WeeksBefore ",0.166279960751201," median_PAR_2WeeksBefore ",0.0884050747661268," max_TidalHeight_2WeeksBefore ",0.0618202956911967," min_humidity_2WeeksBefore ",0.0209496527129869," min_windBearing_2WeeksBefore",0.00184766027517905,0.168103725059477,0.206033626394066,0.22043348686445,0.227778863378438
"t10392","measurement~ median_dewPoint_2WeeksBefore+min_temperature_2WeeksBefore + median_Photoperiod_2WeeksBefore + max_PAR_2WeeksBefore + min_PAR_2WeeksBefore ",0.20558225815346," median_dewPoint_2WeeksBefore",0.104772968423794,"min_temperature_2WeeksBefore ",0.0964330000136629," median_Photoperiod_2WeeksBefore ",0.0185505403476381," max_PAR_2WeeksBefore ",0.00408585198995887," min_PAR_2WeeksBefore ",0.00159636014746275,0.106538789685062,0.106569094797807,0.162883901165763,0.20558225815346
"t12214","measurement~ max_PAR_2WeeksBefore+ max_temperature_2WeeksBefore +median_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore ",0.168575448853615," max_PAR_2WeeksBefore",0.133593492344248," max_temperature_2WeeksBefore ",0.12686524796215,"median_temperature_2WeeksBefore ",0.122988155186835," min_temperature_2WeeksBefore ",0.110616044837221," median_PAR_2WeeksBefore ",0.0789308236985419,0.15358584931828,0.15530749431722,0.15615713191314,0.168575448853615
"t13307","measurement~ max_SST_2WeeksBefore + median_SST_2WeeksBefore +max_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore+ median_TidalHeight_2WeeksBefore ",0.177217613286584," max_SST_2WeeksBefore ",0.11181840195727," median_SST_2WeeksBefore ",0.0925951519967724,"max_PAR_2WeeksBefore ",0.00733607257298485," median_windSpeed_2WeeksBefore",0.00133306617253437," median_TidalHeight_2WeeksBefore ",8.53521492311965e-05,0.124387104194166,0.149240009049675,0.159953415206081,0.177217613286583
"t14585","measurement~ min_SST_2WeeksBefore +median_temperature_2WeeksBefore + min_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore + median_windBearing_2WeeksBefore",0.240892043504052," min_SST_2WeeksBefore ",0.182705735933396,"median_temperature_2WeeksBefore ",0.151210145462235," min_PAR_2WeeksBefore ",0.115904403917001," median_windSpeed_2WeeksBefore ",0.0634395853568555," median_windBearing_2WeeksBefore",0.000334961155666082,0.182973623584946,0.210605733053892,0.227203239366181,0.240892043504052
"t3260","measurement~min_SST_2WeeksBefore + min_TidalHeight_2WeeksBefore + min_windSpeed_2WeeksBefore+ median_Photoperiod_2WeeksBefore + max_windSpeed_2WeeksBefore ",0.201329703830964,"min_SST_2WeeksBefore ",0.115131413219003," min_TidalHeight_2WeeksBefore ",0.0747004879843001," min_windSpeed_2WeeksBefore",0.0184224728452163," median_Photoperiod_2WeeksBefore ",0.00839213585603158," max_windSpeed_2WeeksBefore ",0.00246769915215656,0.169393966097551,0.17680391677597,0.192486385932491,0.201329703830964
"t3536","measurement~median_SST_2WeeksBefore + max_dewPoint_2WeeksBefore + median_windSpeed_2WeeksBefore+ min_TidalHeight_2WeeksBefore + max_humidity_2WeeksBefore ",0.0612656505234491,"median_SST_2WeeksBefore ",0.0271279956459127," max_dewPoint_2WeeksBefore ",0.0250837159239124," median_windSpeed_2WeeksBefore",0.0116020414970817," min_TidalHeight_2WeeksBefore ",0.00423706247095039," max_humidity_2WeeksBefore ",0.00273198027612825,0.0275449329883306,0.0327328223542574,0.0339926507991883,0.0612656505234491
"t5033","measurement~ min_SST_2WeeksBefore + max_humidity_2WeeksBefore + min_windSpeed_2WeeksBefore + median_windBearing_2WeeksBefore+min_PAR_2WeeksBefore ",0.10184728543818," min_SST_2WeeksBefore ",0.0433552727130075," max_humidity_2WeeksBefore ",0.0255337683678853," min_windSpeed_2WeeksBefore ",0.00436840523846117," median_windBearing_2WeeksBefore",0.00402298464988331,"min_PAR_2WeeksBefore ",0.00116898726810454,0.051311356438892,0.0536598178057423,0.0639750429963419,0.10184728543818
"t8053","measurement~median_temperature_2WeeksBefore + max_PAR_2WeeksBefore + min_temperature_2WeeksBefore + median_TidalHeight_2WeeksBefore + min_windSpeed_2WeeksBefore",0.215782444964206,"median_temperature_2WeeksBefore ",0.163042895420763," max_PAR_2WeeksBefore ",0.143789655548275," min_temperature_2WeeksBefore ",0.141820190119108," median_TidalHeight_2WeeksBefore ",0.0031654236264484," min_windSpeed_2WeeksBefore",0.00135512145321108,0.184122811940483,0.187315000929992,0.201180015477544,0.215782444964206
"t8371","measurement~min_temperature_2WeeksBefore + min_SST_2WeeksBefore + min_windBearing_2WeeksBefore+ max_PAR_2WeeksBefore + max_windSpeed_2WeeksBefore ",0.225699867304185,"min_temperature_2WeeksBefore ",0.113484311181752," min_SST_2WeeksBefore ",0.0757521409514461," min_windBearing_2WeeksBefore",0.0148328811124159," max_PAR_2WeeksBefore ",0.0054288594560935," max_windSpeed_2WeeksBefore ",0.00381220975189801,0.121450710313841,0.132984024180102,0.183514439800686,0.225699867304185
