"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~median_temperature_2WeeksBefore + max_windBearing_2WeeksBefore + max_PAR_2WeeksBefore + min_windBearing_2WeeksBefore+ median_windSpeed_2WeeksBefore ",0.186903532686005,"median_temperature_2WeeksBefore ",0.0988024745482343," max_windBearing_2WeeksBefore ",0.0173918426107842," max_PAR_2WeeksBefore ",0.0120900388645425," min_windBearing_2WeeksBefore",0.00104401533411297," median_windSpeed_2WeeksBefore ",0.000399696323716797,0.122778926893299,0.131398726025692,0.148768472783122,0.186903532686005
"t10392","measurement~ max_SST_2WeeksBefore + median_SST_2WeeksBefore +max_temperature_2WeeksBefore + min_windBearing_2WeeksBefore+ median_TidalHeight_2WeeksBefore ",0.114540800983164," max_SST_2WeeksBefore ",0.0414836946981484," median_SST_2WeeksBefore ",0.0284504347511967,"max_temperature_2WeeksBefore ",0.00922680094998953," min_windBearing_2WeeksBefore",0.00120707482358813," median_TidalHeight_2WeeksBefore ",6.0006598119235e-05,0.0760482017390305,0.0941376927191548,0.096791962060188,0.114540800983164
"t12214","measurement~ max_dewPoint_2WeeksBefore + median_Photoperiod_2WeeksBefore + min_windSpeed_2WeeksBefore+max_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore ",0.146550778088525," max_dewPoint_2WeeksBefore ",0.112422626322498," median_Photoperiod_2WeeksBefore ",0.0945419667722504," min_windSpeed_2WeeksBefore",0.0221391543796034,"max_PAR_2WeeksBefore ",0.0210746280312217," median_windSpeed_2WeeksBefore ",0.000884248396014894,0.119959368610658,0.140521720617638,0.142206054180702,0.146550778088525
"t13307","measurement~ median_SST_2WeeksBefore + median_PAR_2WeeksBefore +median_temperature_2WeeksBefore + median_humidity_2WeeksBefore+ min_dewPoint_2WeeksBefore ",0.163205786675155," median_SST_2WeeksBefore ",0.105368745492693," median_PAR_2WeeksBefore ",0.0674947135783873,"median_temperature_2WeeksBefore ",0.0630398279555193," median_humidity_2WeeksBefore",0.0483362122784054," min_dewPoint_2WeeksBefore ",0.0169517581944961,0.10537103154561,0.120820772107652,0.160219910117311,0.163205786675155
"t14585","measurement~min_PAR_2WeeksBefore + min_SST_2WeeksBefore + median_windSpeed_2WeeksBefore + max_windSpeed_2WeeksBefore+ max_humidity_2WeeksBefore ",0.32240368218254,"min_PAR_2WeeksBefore ",0.216604155521397," min_SST_2WeeksBefore ",0.177401359138002," median_windSpeed_2WeeksBefore ",0.0429241669841635," max_windSpeed_2WeeksBefore",0.0151614731255133," max_humidity_2WeeksBefore ",0.00524918457703657,0.221907660333642,0.229706763441914,0.257057396887783,0.32240368218254
"t3260","measurement~ median_TidalHeight_2WeeksBefore +max_PAR_2WeeksBefore + min_windSpeed_2WeeksBefore+ min_SST_2WeeksBefore + max_humidity_2WeeksBefore ",0.18576697651931," median_TidalHeight_2WeeksBefore ",0.0489111032916289,"max_PAR_2WeeksBefore ",0.0468591117913684," min_windSpeed_2WeeksBefore",0.0432144807642996," min_SST_2WeeksBefore ",0.040591027545111," max_humidity_2WeeksBefore ",0.00390678500005191,0.138759998663382,0.141764244897407,0.174362226991107,0.18576697651931
"t3536","measurement~ max_humidity_2WeeksBefore+ min_SST_2WeeksBefore +max_PAR_2WeeksBefore + median_SST_2WeeksBefore + max_dewPoint_2WeeksBefore ",0.0455219646908737," max_humidity_2WeeksBefore",0.00839043431481222," min_SST_2WeeksBefore ",0.0068516450576341,"max_PAR_2WeeksBefore ",0.00168434557256562," median_SST_2WeeksBefore ",0.000282179449230513," max_dewPoint_2WeeksBefore ",0.000212734521316485,0.0334861983974829,0.0367572058077174,0.0388904581185185,0.0455219646908736
"t5033","measurement~ median_PAR_2WeeksBefore + max_SST_2WeeksBefore + median_humidity_2WeeksBefore+ min_PAR_2WeeksBefore +max_temperature_2WeeksBefore ",0.095634725550223," median_PAR_2WeeksBefore ",0.0265301870853898," max_SST_2WeeksBefore ",0.0196229451712572," median_humidity_2WeeksBefore",0.00454409184387505," min_PAR_2WeeksBefore ",0.00431087314578384,"max_temperature_2WeeksBefore ",0.00287945174965801,0.0269742208842542,0.0269783753593329,0.0785536428976771,0.0956347255502229
"t8053","measurement~median_dewPoint_2WeeksBefore + max_dewPoint_2WeeksBefore + min_windSpeed_2WeeksBefore + max_windBearing_2WeeksBefore+ max_windSpeed_2WeeksBefore ",0.0705178724344748,"median_dewPoint_2WeeksBefore ",0.046702162611621," max_dewPoint_2WeeksBefore ",0.0403636959094496," min_windSpeed_2WeeksBefore ",0.018636356554019," max_windBearing_2WeeksBefore",0.00634776947944594," max_windSpeed_2WeeksBefore ",0.00588697712700339,0.0468780524030429,0.0468802062767764,0.0581957456542239,0.0705178724344748
"t8371","measurement~ max_dewPoint_2WeeksBefore+ max_SST_2WeeksBefore + min_SST_2WeeksBefore +max_PAR_2WeeksBefore + min_TidalHeight_2WeeksBefore ",0.461278712609145," max_dewPoint_2WeeksBefore",0.107501473185636," max_SST_2WeeksBefore ",0.0645241841281064," min_SST_2WeeksBefore ",0.0201645349466837,"max_PAR_2WeeksBefore ",0.00350002999395153," min_TidalHeight_2WeeksBefore ",0.00226060075824576,0.107840052568489,0.144324030707939,0.291945362876348,0.461278712609144
"t8372","measurement~ median_PAR_2WeeksBefore + max_temperature_2WeeksBefore + max_PAR_2WeeksBefore+median_temperature_2WeeksBefore + min_temperature_2WeeksBefore ",0.0709722005594689," median_PAR_2WeeksBefore ",0.0305337151167778," max_temperature_2WeeksBefore ",0.0304179707064709," max_PAR_2WeeksBefore",0.0218416582048315,"median_temperature_2WeeksBefore ",0.0133344902570258," min_temperature_2WeeksBefore ",0.0130617028284944,0.0343605614606064,0.0351123814706836,0.060455930985584,0.0709722005594689
