"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ median_dewPoint_2WeeksBefore + min_windSpeed_2WeeksBefore+ max_SST_2WeeksBefore +max_PAR_2WeeksBefore + min_dewPoint_2WeeksBefore ",0.265013711045153," median_dewPoint_2WeeksBefore ",0.184761366773041," min_windSpeed_2WeeksBefore",0.1656352952488," max_SST_2WeeksBefore ",0.135160751071923,"max_PAR_2WeeksBefore ",0.0660192968926379," min_dewPoint_2WeeksBefore ",0.0520299343509001,0.219056375969001,0.227445845317868,0.241439323763747,0.265013711045153
"t10392","measurement~ min_windBearing_2WeeksBefore+median_PAR_2WeeksBefore + median_TidalHeight_2WeeksBefore + max_windBearing_2WeeksBefore + median_SST_2WeeksBefore ",0.243619804627813," min_windBearing_2WeeksBefore",0.202901648003543,"median_PAR_2WeeksBefore ",0.101360603953047," median_TidalHeight_2WeeksBefore ",0.0409077297353702," max_windBearing_2WeeksBefore ",0.0283543158622179," median_SST_2WeeksBefore ",0.027504393448097,0.22000295738753,0.224128563757823,0.226165913626761,0.243619804627813
"t12214","measurement~ median_Photoperiod_2WeeksBefore +median_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_windBearing_2WeeksBefore+ max_TidalHeight_2WeeksBefore ",0.214752047021993," median_Photoperiod_2WeeksBefore ",0.188250215841205,"median_temperature_2WeeksBefore ",0.10834284597062," min_temperature_2WeeksBefore ",0.0882465131398277," median_windBearing_2WeeksBefore",0.0100721686706916," max_TidalHeight_2WeeksBefore ",0.00802090205294625,0.190869695472465,0.199604038783936,0.202690245229923,0.214752047021992
"t13307","measurement~min_temperature_2WeeksBefore + max_PAR_2WeeksBefore + min_TidalHeight_2WeeksBefore + min_PAR_2WeeksBefore + median_TidalHeight_2WeeksBefore",0.139776139570973,"min_temperature_2WeeksBefore ",0.0334658744894556," max_PAR_2WeeksBefore ",0.0217629459104761," min_TidalHeight_2WeeksBefore ",0.0133525875645038," min_PAR_2WeeksBefore ",4.82039051022094e-05," median_TidalHeight_2WeeksBefore",3.19859569571602e-05,0.0351541006817568,0.049023886821237,0.117429116470839,0.139776139570973
"t14585","measurement~ max_windBearing_2WeeksBefore+ median_windSpeed_2WeeksBefore + min_temperature_2WeeksBefore + median_humidity_2WeeksBefore +max_temperature_2WeeksBefore ",0.163755151013124," max_windBearing_2WeeksBefore",0.0924260454000953," median_windSpeed_2WeeksBefore ",0.0378703061617128," min_temperature_2WeeksBefore ",0.0197848511903112," median_humidity_2WeeksBefore ",0.0140381257223288,"max_temperature_2WeeksBefore ",0.00768450221514813,0.11399443870296,0.14758410206534,0.156971485804407,0.163755151013124
"t3260","measurement~median_PAR_2WeeksBefore + min_windSpeed_2WeeksBefore+ max_SST_2WeeksBefore + max_PAR_2WeeksBefore + min_TidalHeight_2WeeksBefore ",0.257943103519315,"median_PAR_2WeeksBefore ",0.120153023417696," min_windSpeed_2WeeksBefore",0.119864683473628," max_SST_2WeeksBefore ",0.0706529145383456," max_PAR_2WeeksBefore ",0.023846484895746," min_TidalHeight_2WeeksBefore ",0.0159441411647501,0.151974541914186,0.152899183924365,0.199495254302006,0.257943103519315
"t3536","measurement~ min_SST_2WeeksBefore + max_humidity_2WeeksBefore + min_windSpeed_2WeeksBefore+median_SST_2WeeksBefore + max_dewPoint_2WeeksBefore ",0.303386644922114," min_SST_2WeeksBefore ",0.0452504320014551," max_humidity_2WeeksBefore ",0.0415972848375944," min_windSpeed_2WeeksBefore",0.0125481814095654,"median_SST_2WeeksBefore ",0.00489803624673826," max_dewPoint_2WeeksBefore ",0.000960600952797308,0.191925084090284,0.225790246545493,0.254873167648472,0.303386644922114
"t5033","measurement~ max_humidity_2WeeksBefore+ median_SST_2WeeksBefore +min_temperature_2WeeksBefore + median_humidity_2WeeksBefore + median_TidalHeight_2WeeksBefore ",0.133126497618678," max_humidity_2WeeksBefore",0.0715453975745188," median_SST_2WeeksBefore ",0.0333544677847163,"min_temperature_2WeeksBefore ",0.0189539689293706," median_humidity_2WeeksBefore ",0.00709645755923711," median_TidalHeight_2WeeksBefore ",0.00155786804828452,0.0731736111419862,0.0736332638063841,0.0757524775177042,0.133126497618678
"t8053","measurement~ min_PAR_2WeeksBefore +min_temperature_2WeeksBefore + max_TidalHeight_2WeeksBefore + max_humidity_2WeeksBefore + max_windBearing_2WeeksBefore",0.114129073141401," min_PAR_2WeeksBefore ",0.0401171807151247,"min_temperature_2WeeksBefore ",0.0309120307130217," max_TidalHeight_2WeeksBefore ",0.0192795798170834," max_humidity_2WeeksBefore ",0.0171794467732144," max_windBearing_2WeeksBefore",0.00553873745250868,0.0409977009825842,0.0652143557287538,0.0653138152080481,0.114129073141401
"t8371","measurement~ max_dewPoint_2WeeksBefore + max_SST_2WeeksBefore +max_PAR_2WeeksBefore + min_windSpeed_2WeeksBefore+ min_TidalHeight_2WeeksBefore ",0.629154086550916," max_dewPoint_2WeeksBefore ",0.115905786769951," max_SST_2WeeksBefore ",0.0905828482725045,"max_PAR_2WeeksBefore ",0.00788646523021031," min_windSpeed_2WeeksBefore",0.00360724710560259," min_TidalHeight_2WeeksBefore ",0.000387458895440234,0.117858765778765,0.276194557636316,0.327651351890669,0.629154086550916
