"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ max_windBearing_2WeeksBefore +median_temperature_2WeeksBefore + min_windSpeed_2WeeksBefore + median_windSpeed_2WeeksBefore + min_windBearing_2WeeksBefore",0.298770219118004," max_windBearing_2WeeksBefore ",0.114098029645219,"median_temperature_2WeeksBefore ",0.0825683129417757," min_windSpeed_2WeeksBefore ",0.00916953526033461," median_windSpeed_2WeeksBefore ",0.00842549891229932," min_windBearing_2WeeksBefore",0.000223215516214973,0.200614057865214,0.21909467002812,0.275308861877509,0.298770219118004
"t10392","measurement~ max_SST_2WeeksBefore +max_temperature_2WeeksBefore + max_PAR_2WeeksBefore + min_SST_2WeeksBefore + median_TidalHeight_2WeeksBefore",0.305497645852924," max_SST_2WeeksBefore ",0.125911140439894,"max_temperature_2WeeksBefore ",0.0400559914902343," max_PAR_2WeeksBefore ",0.0169547232817439," min_SST_2WeeksBefore ",0.0148817880070216," median_TidalHeight_2WeeksBefore",0.00124940141118165,0.186367775190869,0.190841498124108,0.235660769770735,0.305497645852924
"t12214","measurement~ median_Photoperiod_2WeeksBefore + min_windSpeed_2WeeksBefore+ max_humidity_2WeeksBefore +max_PAR_2WeeksBefore + median_TidalHeight_2WeeksBefore ",0.112193410557257," median_Photoperiod_2WeeksBefore ",0.0915848201329864," min_windSpeed_2WeeksBefore",0.0383570852313306," max_humidity_2WeeksBefore ",0.0219353653581342,"max_PAR_2WeeksBefore ",0.0202675688878306," median_TidalHeight_2WeeksBefore ",0.00831654564385081,0.0941972899183552,0.094515397132851,0.104235469071818,0.112193410557256
"t13307","measurement~ max_SST_2WeeksBefore + min_SST_2WeeksBefore +median_temperature_2WeeksBefore + min_TidalHeight_2WeeksBefore + max_TidalHeight_2WeeksBefore",0.367269912375399," max_SST_2WeeksBefore ",0.254164013193713," min_SST_2WeeksBefore ",0.127797627271263,"median_temperature_2WeeksBefore ",0.124002924738906," min_TidalHeight_2WeeksBefore ",0.0227902367619151," max_TidalHeight_2WeeksBefore",0.0168207079297324,0.259595299786838,0.303744176632816,0.341142950797587,0.367269912375399
"t14585","measurement~min_PAR_2WeeksBefore + max_dewPoint_2WeeksBefore + median_windSpeed_2WeeksBefore + median_TidalHeight_2WeeksBefore + max_windSpeed_2WeeksBefore",0.491845493297388,"min_PAR_2WeeksBefore ",0.340211205269358," max_dewPoint_2WeeksBefore ",0.158648835777921," median_windSpeed_2WeeksBefore ",0.0312547418633739," median_TidalHeight_2WeeksBefore ",0.0122397671274128," max_windSpeed_2WeeksBefore",0.00109231736324987,0.340644894084285,0.344828213425973,0.348509374414923,0.491845493297388
"t3260","measurement~ median_humidity_2WeeksBefore +min_temperature_2WeeksBefore + median_TidalHeight_2WeeksBefore + max_windBearing_2WeeksBefore+ median_dewPoint_2WeeksBefore ",0.591875650812707," median_humidity_2WeeksBefore ",0.261458131544531,"min_temperature_2WeeksBefore ",0.164939460686381," median_TidalHeight_2WeeksBefore ",0.161905060952722," max_windBearing_2WeeksBefore",0.0158587622745471," median_dewPoint_2WeeksBefore ",0.0126665867990711,0.262206323567852,0.5357360640394,0.567921030918178,0.591875650812708
"t3536","measurement~ min_humidity_2WeeksBefore + median_windSpeed_2WeeksBefore + min_windBearing_2WeeksBefore+min_temperature_2WeeksBefore + max_dewPoint_2WeeksBefore ",0.206488508368068," min_humidity_2WeeksBefore ",0.0753248889973415," median_windSpeed_2WeeksBefore ",0.0312652975340105," min_windBearing_2WeeksBefore",0.0182368397103257,"min_temperature_2WeeksBefore ",0.0123574031435482," max_dewPoint_2WeeksBefore ",0.00113530326711986,0.0756558432651744,0.120205440018182,0.122514986068913,0.206488508368068
"t5033","measurement~ max_SST_2WeeksBefore +max_temperature_2WeeksBefore + min_SST_2WeeksBefore + median_TidalHeight_2WeeksBefore+ min_TidalHeight_2WeeksBefore ",0.214868395071857," max_SST_2WeeksBefore ",0.0689289897914169,"max_temperature_2WeeksBefore ",0.0167490745039505," min_SST_2WeeksBefore ",0.00477404458523337," median_TidalHeight_2WeeksBefore",0.000113560276140788," min_TidalHeight_2WeeksBefore ",3.36863113996633e-06,0.118269807523388,0.149916554620606,0.209097336849039,0.214868395071857
"t8053","measurement~ max_PAR_2WeeksBefore +median_PAR_2WeeksBefore + median_Photoperiod_2WeeksBefore + min_PAR_2WeeksBefore + min_windBearing_2WeeksBefore",0.286222075342428," max_PAR_2WeeksBefore ",0.198171006623016,"median_PAR_2WeeksBefore ",0.1603789916322," median_Photoperiod_2WeeksBefore ",0.149257826856099," min_PAR_2WeeksBefore ",0.100516293304002," min_windBearing_2WeeksBefore",0.00326276374899509,0.203732822385511,0.265259612906834,0.274008355947871,0.286222075342428
"t8371","measurement~ median_Photoperiod_2WeeksBefore + median_dewPoint_2WeeksBefore + median_TidalHeight_2WeeksBefore +max_SST_2WeeksBefore + max_humidity_2WeeksBefore",0.462242304237104," median_Photoperiod_2WeeksBefore ",0.237657390233586," median_dewPoint_2WeeksBefore ",0.126697479604806," median_TidalHeight_2WeeksBefore ",0.0977042032415898,"max_SST_2WeeksBefore ",0.0973845063802654," max_humidity_2WeeksBefore",7.47100786451911e-05,0.237657407673044,0.263942986358059,0.265947406252896,0.462242304237104
