"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ min_TidalHeight_2WeeksBefore +max_temperature_2WeeksBefore + min_windBearing_2WeeksBefore+ min_humidity_2WeeksBefore + median_windSpeed_2WeeksBefore ",0.30411721277713," min_TidalHeight_2WeeksBefore ",0.161021613504901,"max_temperature_2WeeksBefore ",0.106700335347561," min_windBearing_2WeeksBefore",0.018548368419726," min_humidity_2WeeksBefore ",0.00118242544317077," median_windSpeed_2WeeksBefore ",0.000263240594892018,0.229689153558349,0.280347632285617,0.281472919105628,0.30411721277713
"t10392","measurement~max_SST_2WeeksBefore + median_TidalHeight_2WeeksBefore + median_Photoperiod_2WeeksBefore + max_windBearing_2WeeksBefore+ median_dewPoint_2WeeksBefore ",0.11248682177643,"max_SST_2WeeksBefore ",0.0182669589470178," median_TidalHeight_2WeeksBefore ",0.012165081327637," median_Photoperiod_2WeeksBefore ",0.0081910057468286," max_windBearing_2WeeksBefore",0.00629273353275826," median_dewPoint_2WeeksBefore ",0.000655564502257205,0.072714883609804,0.0727813073927368,0.0953583205694405,0.11248682177643
"t12214","measurement~ min_dewPoint_2WeeksBefore +max_TidalHeight_2WeeksBefore + min_humidity_2WeeksBefore + median_windSpeed_2WeeksBefore + min_windBearing_2WeeksBefore",0.483369543871314," min_dewPoint_2WeeksBefore ",0.256994116801459,"max_TidalHeight_2WeeksBefore ",0.139206504774267," min_humidity_2WeeksBefore ",0.0443692063117516," median_windSpeed_2WeeksBefore ",0.0349612511093513," min_windBearing_2WeeksBefore",0.00894348198871664,0.285057846076473,0.324592185688784,0.341903768586191,0.483369543871314
"t13307","measurement~max_SST_2WeeksBefore + min_SST_2WeeksBefore + median_humidity_2WeeksBefore + median_TidalHeight_2WeeksBefore + min_windBearing_2WeeksBefore",0.171469504736503,"max_SST_2WeeksBefore ",0.137117555716048," min_SST_2WeeksBefore ",0.0607090061817074," median_humidity_2WeeksBefore ",0.0598194596401606," median_TidalHeight_2WeeksBefore ",0.0139207944021449," min_windBearing_2WeeksBefore",0.011042336845805,0.144213004423451,0.150941182775221,0.166972041274718,0.171469504736503
"t14585","measurement~min_PAR_2WeeksBefore + min_SST_2WeeksBefore + median_windSpeed_2WeeksBefore + max_windSpeed_2WeeksBefore+ max_humidity_2WeeksBefore ",0.55075529727744,"min_PAR_2WeeksBefore ",0.376104329111924," min_SST_2WeeksBefore ",0.304292894148692," median_windSpeed_2WeeksBefore ",0.120415554797427," max_windSpeed_2WeeksBefore",0.065026664797329," max_humidity_2WeeksBefore ",0.0130971923479081,0.383713709189028,0.417985711370123,0.445901226312721,0.55075529727744
"t3260","measurement~max_PAR_2WeeksBefore + median_TidalHeight_2WeeksBefore + min_PAR_2WeeksBefore + max_dewPoint_2WeeksBefore + median_humidity_2WeeksBefore",0.532000999821877,"max_PAR_2WeeksBefore ",0.194422921912294," median_TidalHeight_2WeeksBefore ",0.0961758941138445," min_PAR_2WeeksBefore ",0.0644773614653246," max_dewPoint_2WeeksBefore ",0.0381875605807886," median_humidity_2WeeksBefore",0.0243063869049745,0.432047076844997,0.473023837710809,0.475075993649542,0.532000999821877
"t3536","measurement~ median_windBearing_2WeeksBefore+ min_TidalHeight_2WeeksBefore +max_temperature_2WeeksBefore + max_TidalHeight_2WeeksBefore + max_SST_2WeeksBefore ",0.0772185261858441," median_windBearing_2WeeksBefore",0.0310434621887376," min_TidalHeight_2WeeksBefore ",0.00571512310902403,"max_temperature_2WeeksBefore ",0.00397534531889945," max_TidalHeight_2WeeksBefore ",0.00101306736279584," max_SST_2WeeksBefore ",1.4198626562357e-05,0.0314116730221319,0.0379558944894761,0.0384886013807499,0.0772185261858441
"t5033","measurement~ median_windBearing_2WeeksBefore+ median_PAR_2WeeksBefore + min_temperature_2WeeksBefore +median_temperature_2WeeksBefore + min_humidity_2WeeksBefore ",0.135113185601914," median_windBearing_2WeeksBefore",0.0651509441157134," median_PAR_2WeeksBefore ",0.0299141072728298," min_temperature_2WeeksBefore ",0.00404926829871433,"median_temperature_2WeeksBefore ",0.00396985555206793," min_humidity_2WeeksBefore ",0.000471213785266168,0.0715443381473281,0.0721954101347284,0.122318667107829,0.135113185601915
"t8053","measurement~ max_PAR_2WeeksBefore + max_TidalHeight_2WeeksBefore +median_PAR_2WeeksBefore + min_SST_2WeeksBefore + median_TidalHeight_2WeeksBefore",0.295327001341852," max_PAR_2WeeksBefore ",0.259506476591502," max_TidalHeight_2WeeksBefore ",0.103894821304862,"median_PAR_2WeeksBefore ",0.0870602070876519," min_SST_2WeeksBefore ",0.0550015613403481," median_TidalHeight_2WeeksBefore",0.0233059834441963,0.269408181666883,0.280571952257927,0.294036431682234,0.295327001341852
"t8371","measurement~ max_dewPoint_2WeeksBefore+ max_SST_2WeeksBefore +max_PAR_2WeeksBefore + min_TidalHeight_2WeeksBefore + min_SST_2WeeksBefore ",0.652214249678712," max_dewPoint_2WeeksBefore",0.0891310106516786," max_SST_2WeeksBefore ",0.0556618883061792,"max_PAR_2WeeksBefore ",0.0136283233006379," min_TidalHeight_2WeeksBefore ",0.0104382474832085," min_SST_2WeeksBefore ",0.00996903773822145,0.0892155419242629,0.248551854164729,0.568734590621885,0.652214249678713
"t8372","measurement~ min_SST_2WeeksBefore + median_windBearing_2WeeksBefore+median_PAR_2WeeksBefore + median_dewPoint_2WeeksBefore + median_humidity_2WeeksBefore ",0.317870384107237," min_SST_2WeeksBefore ",0.0878849894594706," median_windBearing_2WeeksBefore",0.0688735503555713,"median_PAR_2WeeksBefore ",0.0592206519280334," median_dewPoint_2WeeksBefore ",0.0365101576622492," median_humidity_2WeeksBefore ",1.64297412507754e-08,0.135164698561849,0.210918506071652,0.237087527112954,0.317870384107237
