"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~min_temperature_2WeeksBefore + min_SST_2WeeksBefore + max_SST_2WeeksBefore + max_humidity_2WeeksBefore + median_windBearing_2WeeksBefore",0.207276550658333,"min_temperature_2WeeksBefore ",0.132594430103629," min_SST_2WeeksBefore ",0.122232964202411," max_SST_2WeeksBefore ",0.0806781455250018," max_humidity_2WeeksBefore ",0.0513424784036656," median_windBearing_2WeeksBefore",0.0119025162455739,0.133790959602791,0.160073347811014,0.182241231943363,0.207276550658333
"t10392","measurement~ min_windBearing_2WeeksBefore+median_PAR_2WeeksBefore + min_PAR_2WeeksBefore + min_SST_2WeeksBefore + median_windSpeed_2WeeksBefore ",0.190417472438679," min_windBearing_2WeeksBefore",0.154302001071989,"median_PAR_2WeeksBefore ",0.0289988423285142," min_PAR_2WeeksBefore ",0.0101150809765989," min_SST_2WeeksBefore ",0.00544178617046331," median_windSpeed_2WeeksBefore ",0.00159973922667483,0.156016719382567,0.157900302985495,0.189264468195557,0.190417472438679
"t12214","measurement~ median_Photoperiod_2WeeksBefore + min_windSpeed_2WeeksBefore+max_PAR_2WeeksBefore + max_humidity_2WeeksBefore + median_TidalHeight_2WeeksBefore ",0.195844006998679," median_Photoperiod_2WeeksBefore ",0.152291048373687," min_windSpeed_2WeeksBefore",0.0462222586568324,"max_PAR_2WeeksBefore ",0.0409293073541842," max_humidity_2WeeksBefore ",0.0344871926367072," median_TidalHeight_2WeeksBefore ",0.00631986059479578,0.152804655783696,0.18335334269775,0.188726742497463,0.195844006998679
"t13307","measurement~ min_SST_2WeeksBefore + max_humidity_2WeeksBefore + min_TidalHeight_2WeeksBefore + min_windBearing_2WeeksBefore+min_PAR_2WeeksBefore ",0.161281058572765," min_SST_2WeeksBefore ",0.114574371635195," max_humidity_2WeeksBefore ",0.0421077999408835," min_TidalHeight_2WeeksBefore ",0.00612313639386457," min_windBearing_2WeeksBefore",0.00378005130107269,"min_PAR_2WeeksBefore ",0.0005086545338776,0.123710373655755,0.127474835065953,0.13920826319919,0.161281058572765
"t14585","measurement~ min_TidalHeight_2WeeksBefore + median_TidalHeight_2WeeksBefore +min_PAR_2WeeksBefore + max_windSpeed_2WeeksBefore + min_windBearing_2WeeksBefore",0.273803949440936," min_TidalHeight_2WeeksBefore ",0.150216668206543," median_TidalHeight_2WeeksBefore ",0.0959658151488331,"min_PAR_2WeeksBefore ",0.0425913046293389," max_windSpeed_2WeeksBefore ",0.0219623053653264," min_windBearing_2WeeksBefore",0.000183446098501748,0.182394361608695,0.218225144588744,0.249313144420702,0.273803949440936
"t3260","measurement~median_SST_2WeeksBefore + median_windBearing_2WeeksBefore+ min_dewPoint_2WeeksBefore + median_humidity_2WeeksBefore + min_windSpeed_2WeeksBefore ",0.10479502940752,"median_SST_2WeeksBefore ",0.0456825185205389," median_windBearing_2WeeksBefore",0.00876599712556535," min_dewPoint_2WeeksBefore ",0.00660885077563659," median_humidity_2WeeksBefore ",0.00400373162929805," min_windSpeed_2WeeksBefore ",0.00265980503810426,0.0588478391426384,0.0833839764053524,0.09688021965933,0.10479502940752
"t3536","measurement~median_temperature_2WeeksBefore + min_temperature_2WeeksBefore + max_temperature_2WeeksBefore + max_PAR_2WeeksBefore+ median_PAR_2WeeksBefore ",0.127751606873412,"median_temperature_2WeeksBefore ",0.0864364475861313," min_temperature_2WeeksBefore ",0.0783989634031001," max_temperature_2WeeksBefore ",0.0415646158204372," max_PAR_2WeeksBefore",0.0222842885030641," median_PAR_2WeeksBefore ",0.0132237296788632,0.0867386621208889,0.112758969069561,0.113039225053068,0.127751606873412
"t5033","measurement~ max_humidity_2WeeksBefore + min_SST_2WeeksBefore + max_dewPoint_2WeeksBefore +median_temperature_2WeeksBefore + median_windBearing_2WeeksBefore",0.0842065291296298," max_humidity_2WeeksBefore ",0.0346565833370473," min_SST_2WeeksBefore ",0.0280078103996748," max_dewPoint_2WeeksBefore ",0.0185306702901349,"median_temperature_2WeeksBefore ",0.0178438453060015," median_windBearing_2WeeksBefore",0.000671127515361219,0.0468747063420075,0.0470441057535914,0.068189939135767,0.0842065291296297
"t8053","measurement~ median_SST_2WeeksBefore + min_PAR_2WeeksBefore + max_windBearing_2WeeksBefore+max_PAR_2WeeksBefore + min_windSpeed_2WeeksBefore ",0.141398384985604," median_SST_2WeeksBefore ",0.0645644881711228," min_PAR_2WeeksBefore ",0.0357405174267728," max_windBearing_2WeeksBefore",0.00578526581570545,"max_PAR_2WeeksBefore ",4.10338399679154e-05," min_windSpeed_2WeeksBefore ",3.35729801042313e-05,0.0741420427222808,0.102978972691699,0.124888673316035,0.141398384985604
"t8371","measurement~min_temperature_2WeeksBefore + median_SST_2WeeksBefore + min_SST_2WeeksBefore + max_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore",0.329673746248997,"min_temperature_2WeeksBefore ",0.0791218921022175," median_SST_2WeeksBefore ",0.0651409835253958," min_SST_2WeeksBefore ",0.0497673296196922," max_PAR_2WeeksBefore ",0.00510619807816334," median_windSpeed_2WeeksBefore",0.000317100846616105,0.0793815264701701,0.0926051501153539,0.245499382798567,0.329673746248997
"t8372","measurement~ median_PAR_2WeeksBefore + min_humidity_2WeeksBefore+ max_humidity_2WeeksBefore +min_temperature_2WeeksBefore + median_SST_2WeeksBefore ",0.105626981364472," median_PAR_2WeeksBefore ",0.0352861706716987," min_humidity_2WeeksBefore",0.0022425712956051," max_humidity_2WeeksBefore ",0.000901621208450337,"min_temperature_2WeeksBefore ",0.000693299199563787," median_SST_2WeeksBefore ",9.43684521760713e-05,0.0423874471039544,0.0548360771926669,0.0945204489977103,0.105626981364472
