"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ max_TidalHeight_2WeeksBefore + min_dewPoint_2WeeksBefore+ median_Photoperiod_2WeeksBefore +median_PAR_2WeeksBefore + min_PAR_2WeeksBefore ",0.112872517309796," max_TidalHeight_2WeeksBefore ",0.0431383174058196," min_dewPoint_2WeeksBefore",0.0143184685140013," median_Photoperiod_2WeeksBefore ",0.00312632902671046,"median_PAR_2WeeksBefore ",0.00148029918569238," min_PAR_2WeeksBefore ",0.00128202887628192,0.0520972723974933,0.0584631152131237,0.069051120194846,0.112872517309796
"t10392","measurement~ median_windBearing_2WeeksBefore+ min_humidity_2WeeksBefore +max_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore + median_Photoperiod_2WeeksBefore ",0.183698900616393," median_windBearing_2WeeksBefore",0.0517658302430855," min_humidity_2WeeksBefore ",0.0211465244435625,"max_PAR_2WeeksBefore ",0.0169893529219365," median_windSpeed_2WeeksBefore ",0.00337460130730007," median_Photoperiod_2WeeksBefore ",0.000232494439299383,0.137709574419022,0.150765506552334,0.167387287021657,0.183698900616393
"t12214","measurement~ min_windSpeed_2WeeksBefore+ min_temperature_2WeeksBefore + max_windSpeed_2WeeksBefore + max_PAR_2WeeksBefore +max_temperature_2WeeksBefore ",0.115725925570592," min_windSpeed_2WeeksBefore",0.0387412391382539," min_temperature_2WeeksBefore ",0.0250272725702587," max_windSpeed_2WeeksBefore ",0.00647474571326042," max_PAR_2WeeksBefore ",0.00574212016303381,"max_temperature_2WeeksBefore ",5.35713012271063e-05,0.0593539102095202,0.061044407609753,0.0981839574644543,0.115725925570592
"t13307","measurement~ median_windBearing_2WeeksBefore+median_PAR_2WeeksBefore + min_humidity_2WeeksBefore + max_TidalHeight_2WeeksBefore + min_SST_2WeeksBefore ",0.16934320297746," median_windBearing_2WeeksBefore",0.0529556666351378,"median_PAR_2WeeksBefore ",0.025591770738773," min_humidity_2WeeksBefore ",0.0242680366691112," max_TidalHeight_2WeeksBefore ",0.00114954738935297," min_SST_2WeeksBefore ",0.000385669050359222,0.0610753107385653,0.156362444834061,0.160466687643724,0.16934320297746
"t14585","measurement~min_temperature_2WeeksBefore + min_TidalHeight_2WeeksBefore + max_windSpeed_2WeeksBefore+ median_windSpeed_2WeeksBefore + min_humidity_2WeeksBefore ",0.298403526621674,"min_temperature_2WeeksBefore ",0.120438907738124," min_TidalHeight_2WeeksBefore ",0.11393780139219," max_windSpeed_2WeeksBefore",0.0489608065518624," median_windSpeed_2WeeksBefore ",0.00740564198968348," min_humidity_2WeeksBefore ",0.00163739411903681,0.199261852282085,0.214486266595609,0.263654527343711,0.298403526621674
"t3260","measurement~median_temperature_2WeeksBefore + min_windBearing_2WeeksBefore+ max_PAR_2WeeksBefore + min_temperature_2WeeksBefore + min_dewPoint_2WeeksBefore ",0.207434242432721,"median_temperature_2WeeksBefore ",0.0955027330488419," min_windBearing_2WeeksBefore",0.0458689573133031," max_PAR_2WeeksBefore ",0.0439548571067329," min_temperature_2WeeksBefore ",0.0197531500366355," min_dewPoint_2WeeksBefore ",0.0189616005967201,0.122348255286772,0.186727486757732,0.196955697833793,0.207434242432721
"t3536","measurement~ max_humidity_2WeeksBefore + median_SST_2WeeksBefore +median_PAR_2WeeksBefore + min_PAR_2WeeksBefore + min_windSpeed_2WeeksBefore",0.0417217695618818," max_humidity_2WeeksBefore ",0.0188726786176405," median_SST_2WeeksBefore ",0.00803144876896661,"median_PAR_2WeeksBefore ",0.000559495849452286," min_PAR_2WeeksBefore ",0.000452429241782988," min_windSpeed_2WeeksBefore",2.511006005287e-05,0.0319985750074726,0.0375459229813016,0.0384470968793642,0.0417217695618818
"t5033","measurement~ median_windBearing_2WeeksBefore + max_windBearing_2WeeksBefore+ min_humidity_2WeeksBefore +median_Photoperiod_2WeeksBefore + median_windSpeed_2WeeksBefore ",0.140368395163744," median_windBearing_2WeeksBefore ",0.0718937178294509," max_windBearing_2WeeksBefore",0.0701195846746041," min_humidity_2WeeksBefore ",0.00645779377778018,"median_Photoperiod_2WeeksBefore ",0.000391340768463474," median_windSpeed_2WeeksBefore ",0.000195114617503772,0.0756800854668518,0.13035504052445,0.130359869262624,0.140368395163745
"t8053","measurement~median_SST_2WeeksBefore + max_TidalHeight_2WeeksBefore + max_humidity_2WeeksBefore + max_windSpeed_2WeeksBefore + median_windBearing_2WeeksBefore",0.105927680276819,"median_SST_2WeeksBefore ",0.06329350017313," max_TidalHeight_2WeeksBefore ",0.0332132544217461," max_humidity_2WeeksBefore ",0.0239381193838315," max_windSpeed_2WeeksBefore ",0.0232112936302552," median_windBearing_2WeeksBefore",0.0110584205866502,0.0635983760046108,0.0801971899397664,0.0818369611454239,0.105927680276819
"t8371","measurement~ median_Photoperiod_2WeeksBefore + min_temperature_2WeeksBefore +median_temperature_2WeeksBefore + min_windBearing_2WeeksBefore+ median_SST_2WeeksBefore ",0.398473465231235," median_Photoperiod_2WeeksBefore ",0.19431201056081," min_temperature_2WeeksBefore ",0.129107838636797,"median_temperature_2WeeksBefore ",0.0239716484148308," min_windBearing_2WeeksBefore",0.0149106221956783," median_SST_2WeeksBefore ",0.0146170307026542,0.206152605678506,0.251786178676488,0.336152919416645,0.398473465231235
