"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ max_humidity_2WeeksBefore + min_temperature_2WeeksBefore + min_SST_2WeeksBefore + median_windBearing_2WeeksBefore+median_temperature_2WeeksBefore ",0.276827929883821," max_humidity_2WeeksBefore ",0.0877990656392161," min_temperature_2WeeksBefore ",0.0709780510835099," min_SST_2WeeksBefore ",0.054159511237399," median_windBearing_2WeeksBefore",0.0392692085229333,"median_temperature_2WeeksBefore ",0.0238825791627881,0.166653369417784,0.167349267313346,0.208025428241211,0.276827929883821
"t10392","measurement~ median_TidalHeight_2WeeksBefore + min_windSpeed_2WeeksBefore+ min_SST_2WeeksBefore +median_temperature_2WeeksBefore + min_temperature_2WeeksBefore ",0.159694831975597," median_TidalHeight_2WeeksBefore ",0.0954325198246779," min_windSpeed_2WeeksBefore",0.0281970956122728," min_SST_2WeeksBefore ",0.0106963567747946,"median_temperature_2WeeksBefore ",0.00344943156993687," min_temperature_2WeeksBefore ",9.56579175307838e-07,0.100285076749854,0.101342844541093,0.132730874428148,0.159694831975597
"t12214","measurement~max_PAR_2WeeksBefore + max_windBearing_2WeeksBefore + max_windSpeed_2WeeksBefore + min_windBearing_2WeeksBefore+ max_SST_2WeeksBefore ",0.251825395855191,"max_PAR_2WeeksBefore ",0.0390131333555591," max_windBearing_2WeeksBefore ",0.0337623731026298," max_windSpeed_2WeeksBefore ",0.0116134192666573," min_windBearing_2WeeksBefore",0.00926277991513895," max_SST_2WeeksBefore ",0.00179251631932293,0.0819938050355187,0.18340670081615,0.198686098494242,0.251825395855191
"t13307","measurement~ max_humidity_2WeeksBefore +median_temperature_2WeeksBefore + median_windSpeed_2WeeksBefore + median_TidalHeight_2WeeksBefore + max_windSpeed_2WeeksBefore",0.0943528613283681," max_humidity_2WeeksBefore ",0.020102383954277,"median_temperature_2WeeksBefore ",0.0190084487710109," median_windSpeed_2WeeksBefore ",0.00448959451746124," median_TidalHeight_2WeeksBefore ",0.00225479914724088," max_windSpeed_2WeeksBefore",0.00146752280723026,0.037304133971091,0.0494583438726211,0.0695970465612481,0.0943528613283682
"t14585","measurement~ min_TidalHeight_2WeeksBefore +min_temperature_2WeeksBefore + max_windSpeed_2WeeksBefore + min_windSpeed_2WeeksBefore+ median_Photoperiod_2WeeksBefore ",0.494211112139368," min_TidalHeight_2WeeksBefore ",0.26744912216511,"min_temperature_2WeeksBefore ",0.187678773203318," max_windSpeed_2WeeksBefore ",0.11616480901337," min_windSpeed_2WeeksBefore",0.0953175758517886," median_Photoperiod_2WeeksBefore ",0.0807338864005047,0.393119410137196,0.406293303985401,0.448374425598002,0.494211112139368
"t3260","measurement~ median_Photoperiod_2WeeksBefore + min_PAR_2WeeksBefore + max_windSpeed_2WeeksBefore+median_temperature_2WeeksBefore + max_humidity_2WeeksBefore ",0.158741324448542," median_Photoperiod_2WeeksBefore ",0.0141393210721755," min_PAR_2WeeksBefore ",0.010600135908691," max_windSpeed_2WeeksBefore",0.00476768376595116,"median_temperature_2WeeksBefore ",0.00271821557425103," max_humidity_2WeeksBefore ",0.000527618091815592,0.0436323633185957,0.0510038099841443,0.0974917027325257,0.158741324448542
"t3536","measurement~ max_humidity_2WeeksBefore + median_SST_2WeeksBefore +median_PAR_2WeeksBefore + min_PAR_2WeeksBefore + min_windSpeed_2WeeksBefore",0.291192972647019," max_humidity_2WeeksBefore ",0.141566919989488," median_SST_2WeeksBefore ",0.0506174533640892,"median_PAR_2WeeksBefore ",0.00562928110246583," min_PAR_2WeeksBefore ",0.000321510870265069," min_windSpeed_2WeeksBefore",2.13375214913999e-05,0.224010405097325,0.271120892581546,0.274286816884324,0.291192972647019
"t5033","measurement~ max_temperature_2WeeksBefore + median_PAR_2WeeksBefore + min_temperature_2WeeksBefore +median_temperature_2WeeksBefore + max_PAR_2WeeksBefore",0.0178162260703248," max_temperature_2WeeksBefore ",0.0101579937370797," median_PAR_2WeeksBefore ",0.00991630194201695," min_temperature_2WeeksBefore ",0.00188874820598521,"median_temperature_2WeeksBefore ",0.000862617827403437," max_PAR_2WeeksBefore",0.000846355687092477,0.0151614324726264,0.0161942403594673,0.0169644418116214,0.0178162260703248
"t8053","measurement~median_temperature_2WeeksBefore + min_temperature_2WeeksBefore + max_PAR_2WeeksBefore+ median_PAR_2WeeksBefore + max_temperature_2WeeksBefore ",0.092082254342396,"median_temperature_2WeeksBefore ",0.0628252203791207," min_temperature_2WeeksBefore ",0.009265221801091," max_PAR_2WeeksBefore",0.00361707660626664," median_PAR_2WeeksBefore ",0.00271755949737631," max_temperature_2WeeksBefore ",0.00194337528220579,0.0761880165973961,0.0765864050169922,0.0793790867247413,0.092082254342396
"t8371","measurement~ median_Photoperiod_2WeeksBefore +median_SST_2WeeksBefore + min_windBearing_2WeeksBefore+ min_TidalHeight_2WeeksBefore + min_SST_2WeeksBefore ",0.50110598373719," median_Photoperiod_2WeeksBefore ",0.260338964097183,"median_SST_2WeeksBefore ",0.0498029405623348," min_windBearing_2WeeksBefore",0.0151334265651355," min_TidalHeight_2WeeksBefore ",0.0092474924376208," min_SST_2WeeksBefore ",0.00342112458543808,0.271101577450275,0.390264052634736,0.419602812401083,0.50110598373719
"t8372","measurement~median_PAR_2WeeksBefore + min_windSpeed_2WeeksBefore+ min_humidity_2WeeksBefore + median_windSpeed_2WeeksBefore + median_SST_2WeeksBefore ",0.128389785354901,"median_PAR_2WeeksBefore ",0.0549536976917996," min_windSpeed_2WeeksBefore",0.0249210813489582," min_humidity_2WeeksBefore ",0.00935548916511338," median_windSpeed_2WeeksBefore ",0.00597400656218286," median_SST_2WeeksBefore ",0.00527461702271924,0.0603911568324095,0.0629516220329708,0.0995345322928585,0.128389785354901
