"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ max_TidalHeight_2WeeksBefore + min_dewPoint_2WeeksBefore+median_PAR_2WeeksBefore + median_TidalHeight_2WeeksBefore + median_Photoperiod_2WeeksBefore ",0.264074250254728," max_TidalHeight_2WeeksBefore ",0.0897235932182558," min_dewPoint_2WeeksBefore",0.0356024399335823,"median_PAR_2WeeksBefore ",0.0091181612673699," median_TidalHeight_2WeeksBefore ",0.00691861102532189," median_Photoperiod_2WeeksBefore ",0.00141432388258987,0.111787626679572,0.131457203394945,0.163468149151169,0.264074250254728
"t10392","measurement~ median_windBearing_2WeeksBefore+ min_humidity_2WeeksBefore +max_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore + median_Photoperiod_2WeeksBefore ",0.408527992666848," median_windBearing_2WeeksBefore",0.153223800438205," min_humidity_2WeeksBefore ",0.0456191721385943,"max_PAR_2WeeksBefore ",0.0338624939015475," median_windSpeed_2WeeksBefore ",0.00469842640715219," median_Photoperiod_2WeeksBefore ",0.000730537041173966,0.323663332041095,0.34393037759201,0.379470692670201,0.408527992666847
"t12214","measurement~ max_TidalHeight_2WeeksBefore + min_temperature_2WeeksBefore + min_TidalHeight_2WeeksBefore +median_temperature_2WeeksBefore + median_Photoperiod_2WeeksBefore",0.176031974271329," max_TidalHeight_2WeeksBefore ",0.0593321764582673," min_temperature_2WeeksBefore ",0.0394337914227862," min_TidalHeight_2WeeksBefore ",0.0377052860340656,"median_temperature_2WeeksBefore ",0.015816314457752," median_Photoperiod_2WeeksBefore",0.00714903113029311,0.0778887305203247,0.0783048854270231,0.123056151252591,0.176031974271329
"t13307","measurement~ min_humidity_2WeeksBefore+median_PAR_2WeeksBefore + median_SST_2WeeksBefore + max_SST_2WeeksBefore + min_SST_2WeeksBefore ",0.307046935396728," min_humidity_2WeeksBefore",0.0673553463959736,"median_PAR_2WeeksBefore ",0.0611002346547864," median_SST_2WeeksBefore ",0.0198269212274494," max_SST_2WeeksBefore ",0.0031801955634706," min_SST_2WeeksBefore ",4.51322633220111e-05,0.15303756340686,0.160674043330008,0.181651733261813,0.307046935396728
"t14585","measurement~median_temperature_2WeeksBefore + min_dewPoint_2WeeksBefore + max_windSpeed_2WeeksBefore + max_windBearing_2WeeksBefore+ median_windSpeed_2WeeksBefore ",0.393214045463781,"median_temperature_2WeeksBefore ",0.193037687295377," min_dewPoint_2WeeksBefore ",0.106609895944376," max_windSpeed_2WeeksBefore ",0.0451273670358801," max_windBearing_2WeeksBefore",0.0143219558551702," median_windSpeed_2WeeksBefore ",0.00650740054090752,0.219805318461456,0.246039850287948,0.268098298362161,0.393214045463781
"t3260","measurement~median_temperature_2WeeksBefore + min_windBearing_2WeeksBefore+ max_PAR_2WeeksBefore + median_humidity_2WeeksBefore + max_windBearing_2WeeksBefore ",0.496038708607152,"median_temperature_2WeeksBefore ",0.210572626348179," min_windBearing_2WeeksBefore",0.194238397634394," max_PAR_2WeeksBefore ",0.0982051536752973," median_humidity_2WeeksBefore ",0.0828529283670235," max_windBearing_2WeeksBefore ",0.00458694682599866,0.350022020663806,0.468612038638341,0.46863819247943,0.496038708607152
"t3536","measurement~ min_TidalHeight_2WeeksBefore + max_SST_2WeeksBefore +min_temperature_2WeeksBefore + median_Photoperiod_2WeeksBefore + max_windSpeed_2WeeksBefore",0.393673152006678," min_TidalHeight_2WeeksBefore ",0.277494721928664," max_SST_2WeeksBefore ",0.209663679765802,"min_temperature_2WeeksBefore ",0.0931659440505806," median_Photoperiod_2WeeksBefore ",0.0771819709685791," max_windSpeed_2WeeksBefore",0.0567836638697026,0.317972081009456,0.341028793665982,0.351763332817003,0.393673152006678
"t5033","measurement~ max_windBearing_2WeeksBefore+ median_windBearing_2WeeksBefore + min_humidity_2WeeksBefore +min_TidalHeight_2WeeksBefore + median_windSpeed_2WeeksBefore ",0.238612579636457," max_windBearing_2WeeksBefore",0.122692699490915," median_windBearing_2WeeksBefore ",0.117713657030179," min_humidity_2WeeksBefore ",0.0213192660253316,"min_TidalHeight_2WeeksBefore ",0.000682203302715735," median_windSpeed_2WeeksBefore ",0.000356754396875575,0.129280791065711,0.219726542438225,0.225496726827394,0.238612579636457
"t8053","measurement~median_SST_2WeeksBefore + median_dewPoint_2WeeksBefore + median_windBearing_2WeeksBefore + median_windSpeed_2WeeksBefore + max_windBearing_2WeeksBefore",0.307088983825442,"median_SST_2WeeksBefore ",0.189956935144234," median_dewPoint_2WeeksBefore ",0.0889482204108149," median_windBearing_2WeeksBefore ",0.0195648782547874," median_windSpeed_2WeeksBefore ",0.0141392227815902," max_windBearing_2WeeksBefore",8.60553038066201e-06,0.209928980545534,0.224420527083416,0.235964559185824,0.307088983825442
"t8371","measurement~ min_temperature_2WeeksBefore + median_Photoperiod_2WeeksBefore +median_temperature_2WeeksBefore + median_SST_2WeeksBefore + median_humidity_2WeeksBefore",0.459111906357987," min_temperature_2WeeksBefore ",0.22264076867449," median_Photoperiod_2WeeksBefore ",0.174066947813543,"median_temperature_2WeeksBefore ",0.0362260460170252," median_SST_2WeeksBefore ",0.0352341381859096," median_humidity_2WeeksBefore",0.00146741727271854,0.250462790974045,0.317338025153699,0.399094301150869,0.459111906357987
