"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ min_dewPoint_2WeeksBefore + median_windBearing_2WeeksBefore+max_PAR_2WeeksBefore + min_windSpeed_2WeeksBefore + min_humidity_2WeeksBefore ",0.281368328054589," min_dewPoint_2WeeksBefore ",0.0784541181248497," median_windBearing_2WeeksBefore",0.0438612702263334,"max_PAR_2WeeksBefore ",0.0117059145392273," min_windSpeed_2WeeksBefore ",0.00753618743646802," min_humidity_2WeeksBefore ",0.00157672851160622,0.149612661718332,0.170376206550499,0.268038009250414,0.281368328054589
"t10392","measurement~ median_windBearing_2WeeksBefore+min_TidalHeight_2WeeksBefore + min_humidity_2WeeksBefore + max_humidity_2WeeksBefore + median_windSpeed_2WeeksBefore ",0.22842129497893," median_windBearing_2WeeksBefore",0.040663871552741,"min_TidalHeight_2WeeksBefore ",0.0356950481360483," min_humidity_2WeeksBefore ",0.0239779070098033," max_humidity_2WeeksBefore ",0.0098626688036544," median_windSpeed_2WeeksBefore ",0.0049470135684248,0.0632180944565615,0.193948132205134,0.214450206612018,0.22842129497893
"t12214","measurement~ min_windSpeed_2WeeksBefore + min_dewPoint_2WeeksBefore +median_PAR_2WeeksBefore + median_windBearing_2WeeksBefore+ max_windSpeed_2WeeksBefore ",0.235812174348949," min_windSpeed_2WeeksBefore ",0.057768997570289," min_dewPoint_2WeeksBefore ",0.0525639053015684,"median_PAR_2WeeksBefore ",0.0451647912828472," median_windBearing_2WeeksBefore",0.000457575491382103," max_windSpeed_2WeeksBefore ",1.2468694635625e-05,0.0959276417548669,0.190426961145346,0.206028114722414,0.235812174348949
"t13307","measurement~ median_windBearing_2WeeksBefore+median_PAR_2WeeksBefore + min_humidity_2WeeksBefore + min_SST_2WeeksBefore + max_TidalHeight_2WeeksBefore ",0.253279744909678," median_windBearing_2WeeksBefore",0.10182380174308,"median_PAR_2WeeksBefore ",0.0331868288280997," min_humidity_2WeeksBefore ",0.0190953697187456," min_SST_2WeeksBefore ",0.00524707962915893," max_TidalHeight_2WeeksBefore ",0.00126357792008166,0.108759282777905,0.229167357782385,0.234228035731559,0.253279744909678
"t14585","measurement~ min_TidalHeight_2WeeksBefore +min_temperature_2WeeksBefore + max_windSpeed_2WeeksBefore+ median_windSpeed_2WeeksBefore + min_humidity_2WeeksBefore ",0.435338858186221," min_TidalHeight_2WeeksBefore ",0.163384097527852,"min_temperature_2WeeksBefore ",0.159116845283482," max_windSpeed_2WeeksBefore",0.0782304522376073," median_windSpeed_2WeeksBefore ",0.0199652981997286," min_humidity_2WeeksBefore ",0.0032441204960198,0.273610138713355,0.287552935126675,0.387226049589817,0.435338858186222
"t3260","measurement~median_temperature_2WeeksBefore + max_PAR_2WeeksBefore + min_windBearing_2WeeksBefore+ min_dewPoint_2WeeksBefore + min_temperature_2WeeksBefore ",0.642273681060619,"median_temperature_2WeeksBefore ",0.234747298690995," max_PAR_2WeeksBefore ",0.166912033837368," min_windBearing_2WeeksBefore",0.0903457040620615," min_dewPoint_2WeeksBefore ",0.0655503119759629," min_temperature_2WeeksBefore ",0.0287690979943447,0.517634859879849,0.534678868963359,0.548420859079449,0.642273681060619
"t3536","measurement~ median_windBearing_2WeeksBefore+max_PAR_2WeeksBefore + min_humidity_2WeeksBefore + median_windSpeed_2WeeksBefore + median_Photoperiod_2WeeksBefore ",0.0877591817017181," median_windBearing_2WeeksBefore",0.0388479692347108,"max_PAR_2WeeksBefore ",0.00589422380449023," min_humidity_2WeeksBefore ",0.00244600362900393," median_windSpeed_2WeeksBefore ",0.0012652235076655," median_Photoperiod_2WeeksBefore ",0.000839772155219203,0.0433128126102819,0.0726754296993567,0.08207550474477,0.0877591817017182
"t5033","measurement~ median_windBearing_2WeeksBefore+ min_SST_2WeeksBefore + min_TidalHeight_2WeeksBefore +min_PAR_2WeeksBefore + min_humidity_2WeeksBefore ",0.193257518415582," median_windBearing_2WeeksBefore",0.116340281640462," min_SST_2WeeksBefore ",0.00495131891966344," min_TidalHeight_2WeeksBefore ",0.00372765040534211,"min_PAR_2WeeksBefore ",0.00230019741859824," min_humidity_2WeeksBefore ",0.00160080615056849,0.116508526881657,0.116536994440161,0.116913264631245,0.193257518415582
"t8053","measurement~ min_PAR_2WeeksBefore + min_TidalHeight_2WeeksBefore + median_SST_2WeeksBefore + max_dewPoint_2WeeksBefore+min_temperature_2WeeksBefore ",0.174634896708619," min_PAR_2WeeksBefore ",0.0542187826907668," min_TidalHeight_2WeeksBefore ",0.0262559362146532," median_SST_2WeeksBefore ",0.0210475275066291," max_dewPoint_2WeeksBefore",0.00942226904085097,"min_temperature_2WeeksBefore ",0.001451574055491,0.0619097801052872,0.0620868081357734,0.166688697849794,0.174634896708619
"t8371","measurement~median_Photoperiod_2WeeksBefore + max_windBearing_2WeeksBefore + min_windBearing_2WeeksBefore+ median_windSpeed_2WeeksBefore + median_humidity_2WeeksBefore ",0.583513931516546,"median_Photoperiod_2WeeksBefore ",0.237783366057941," max_windBearing_2WeeksBefore ",0.0414899245564127," min_windBearing_2WeeksBefore",0.0169252928730938," median_windSpeed_2WeeksBefore ",0.0130227877084025," median_humidity_2WeeksBefore ",0.000166537584194582,0.244971394509319,0.375874947067287,0.46265081710183,0.583513931516546
"t8372","measurement~ median_windBearing_2WeeksBefore +max_PAR_2WeeksBefore + min_windSpeed_2WeeksBefore + max_windBearing_2WeeksBefore+ median_Photoperiod_2WeeksBefore ",0.43156173905828," median_windBearing_2WeeksBefore ",0.0915628769581716,"max_PAR_2WeeksBefore ",0.0782004377870399," min_windSpeed_2WeeksBefore ",0.0254739420985034," max_windBearing_2WeeksBefore",0.00974437260307255," median_Photoperiod_2WeeksBefore ",0.000717161353987646,0.178849189889053,0.285980519192749,0.346618738388091,0.43156173905828
