"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ max_humidity_2WeeksBefore +max_temperature_2WeeksBefore + median_TidalHeight_2WeeksBefore + max_PAR_2WeeksBefore + max_windBearing_2WeeksBefore",0.146752869469928," max_humidity_2WeeksBefore ",0.0747593412854291,"max_temperature_2WeeksBefore ",0.0473744415917606," median_TidalHeight_2WeeksBefore ",0.0390757180474516," max_PAR_2WeeksBefore ",0.00735999828546581," max_windBearing_2WeeksBefore",0.00029528967283791,0.0768522302654945,0.0868957172946498,0.14489064067953,0.146752869469928
"t10392","measurement~min_temperature_2WeeksBefore + min_SST_2WeeksBefore + median_TidalHeight_2WeeksBefore+ median_PAR_2WeeksBefore + min_PAR_2WeeksBefore ",0.298952370338445,"min_temperature_2WeeksBefore ",0.110082441392482," min_SST_2WeeksBefore ",0.0655902648749112," median_TidalHeight_2WeeksBefore",0.0331405488460107," median_PAR_2WeeksBefore ",0.0302327651567516," min_PAR_2WeeksBefore ",0.00267655713685173,0.125834411298879,0.155422509803057,0.226801551034256,0.298952370338445
"t12214","measurement~ median_humidity_2WeeksBefore + median_windSpeed_2WeeksBefore + median_windBearing_2WeeksBefore+ max_humidity_2WeeksBefore +median_dewPoint_2WeeksBefore ",0.264609797694116," median_humidity_2WeeksBefore ",0.0410898838917764," median_windSpeed_2WeeksBefore ",0.0301746740492449," median_windBearing_2WeeksBefore",0.0159665122535343," max_humidity_2WeeksBefore ",0.00516361807753478,"median_dewPoint_2WeeksBefore ",0.00338918554557279,0.04642649977404,0.12144659875757,0.156774109045419,0.264609797694116
"t13307","measurement~ median_windBearing_2WeeksBefore+median_temperature_2WeeksBefore + max_PAR_2WeeksBefore + median_PAR_2WeeksBefore + min_PAR_2WeeksBefore ",0.151609585801025," median_windBearing_2WeeksBefore",0.0337166320544638,"median_temperature_2WeeksBefore ",0.0301143148555934," max_PAR_2WeeksBefore ",0.015003130522314," median_PAR_2WeeksBefore ",0.00939702277956028," min_PAR_2WeeksBefore ",0.00011310014543244,0.0431451764972696,0.0505746145472425,0.102166759509746,0.151609585801025
"t14585","measurement~ min_windBearing_2WeeksBefore+ max_dewPoint_2WeeksBefore +median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + median_PAR_2WeeksBefore ",0.186643871932205," min_windBearing_2WeeksBefore",0.139439789436007," max_dewPoint_2WeeksBefore ",0.0684954298970525,"median_temperature_2WeeksBefore ",0.0407576664006025," max_temperature_2WeeksBefore ",0.0172317949128526," median_PAR_2WeeksBefore ",0.0108876807583008,0.14012193802031,0.140124201295583,0.140647321424674,0.186643871932205
"t3260","measurement~ max_SST_2WeeksBefore + max_humidity_2WeeksBefore+median_temperature_2WeeksBefore + max_dewPoint_2WeeksBefore + max_TidalHeight_2WeeksBefore ",0.254525514212642," max_SST_2WeeksBefore ",0.0750027015053561," max_humidity_2WeeksBefore",0.0642813167276634,"median_temperature_2WeeksBefore ",0.0583599661112816," max_dewPoint_2WeeksBefore ",0.0542160800538284," max_TidalHeight_2WeeksBefore ",0.00998389793556777,0.0858669183857921,0.130878627540154,0.168768669900857,0.254525514212642
"t3536","measurement~max_temperature_2WeeksBefore + median_windSpeed_2WeeksBefore + min_PAR_2WeeksBefore + max_windBearing_2WeeksBefore+ median_Photoperiod_2WeeksBefore ",0.3289642600637,"max_temperature_2WeeksBefore ",0.0719071188642511," median_windSpeed_2WeeksBefore ",0.0608199607304708," min_PAR_2WeeksBefore ",0.048067833226025," max_windBearing_2WeeksBefore",0.0198128177147476," median_Photoperiod_2WeeksBefore ",2.8852649962714e-05,0.135108009251336,0.25763309991856,0.299688002768102,0.328964260063699
"t5033","measurement~median_temperature_2WeeksBefore + median_dewPoint_2WeeksBefore + max_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_windSpeed_2WeeksBefore",0.138665158750083,"median_temperature_2WeeksBefore ",0.0320298887869281," median_dewPoint_2WeeksBefore ",0.0137942050551077," max_temperature_2WeeksBefore ",0.0129917034729516," median_PAR_2WeeksBefore ",0.00786877874011943," max_windSpeed_2WeeksBefore",0.00681900839379272,0.0749105798403475,0.0772723228387527,0.13300928954353,0.138665158750083
"t8053","measurement~ max_windBearing_2WeeksBefore + median_TidalHeight_2WeeksBefore +max_TidalHeight_2WeeksBefore + max_windSpeed_2WeeksBefore + min_windBearing_2WeeksBefore",0.117869011367276," max_windBearing_2WeeksBefore ",0.0138699544859681," median_TidalHeight_2WeeksBefore ",0.00598941239408539,"max_TidalHeight_2WeeksBefore ",0.00157990429713309," max_windSpeed_2WeeksBefore ",0.000320473797319431," min_windBearing_2WeeksBefore",2.35593359840358e-05,0.0141334273547818,0.0639246315389803,0.0854770445119866,0.117869011367276
"t8371","measurement~ median_windSpeed_2WeeksBefore+ max_PAR_2WeeksBefore + max_humidity_2WeeksBefore +min_temperature_2WeeksBefore + max_SST_2WeeksBefore ",0.684935664479891," median_windSpeed_2WeeksBefore",0.307225689534086," max_PAR_2WeeksBefore ",0.132087835982456," max_humidity_2WeeksBefore ",0.0765458108697342,"min_temperature_2WeeksBefore ",0.00997810813552875," max_SST_2WeeksBefore ",0.00252425072807494,0.367372439945961,0.431410585254312,0.549323040928855,0.684935664479891
