"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ max_dewPoint_2WeeksBefore + max_windBearing_2WeeksBefore+ max_windSpeed_2WeeksBefore +median_Photoperiod_2WeeksBefore + min_humidity_2WeeksBefore ",0.586115897009004," max_dewPoint_2WeeksBefore ",0.292255098810327," max_windBearing_2WeeksBefore",0.288991057698419," max_windSpeed_2WeeksBefore ",0.272378875627446,"median_Photoperiod_2WeeksBefore ",0.195822333198569," min_humidity_2WeeksBefore ",0.129892607620824,0.389882250432539,0.39013620185372,0.406495850956421,0.586115897009004
"t10392","measurement~ max_TidalHeight_2WeeksBefore + median_windSpeed_2WeeksBefore+max_temperature_2WeeksBefore + median_dewPoint_2WeeksBefore + median_TidalHeight_2WeeksBefore ",0.317110318627209," max_TidalHeight_2WeeksBefore ",0.0360995158245863," median_windSpeed_2WeeksBefore",0.00398780246915598,"max_temperature_2WeeksBefore ",0.00395119359370493," median_dewPoint_2WeeksBefore ",0.00216737056445228," median_TidalHeight_2WeeksBefore ",7.81055892984181e-06,0.0362682741837169,0.106104099044984,0.3034961314969,0.317110318627209
"t12214","measurement~median_SST_2WeeksBefore + max_humidity_2WeeksBefore + median_Photoperiod_2WeeksBefore + min_dewPoint_2WeeksBefore + min_humidity_2WeeksBefore",0.333186921339118,"median_SST_2WeeksBefore ",0.299504170541375," max_humidity_2WeeksBefore ",0.0900793097862205," median_Photoperiod_2WeeksBefore ",0.0591559905518339," min_dewPoint_2WeeksBefore ",0.0196804362267461," min_humidity_2WeeksBefore",0.0090526080961693,0.312467223122857,0.312473247710245,0.329271645497938,0.333186921339119
"t13307","measurement~median_temperature_2WeeksBefore + median_SST_2WeeksBefore + min_windBearing_2WeeksBefore+ max_windBearing_2WeeksBefore + max_TidalHeight_2WeeksBefore ",0.424563940038844,"median_temperature_2WeeksBefore ",0.0837651916104209," median_SST_2WeeksBefore ",0.0554335514131603," min_windBearing_2WeeksBefore",0.0110581980471334," max_windBearing_2WeeksBefore ",0.00554374667513011," max_TidalHeight_2WeeksBefore ",0.00292177820473162,0.149253442034573,0.232810811205076,0.399257162142965,0.424563940038844
"t14585","measurement~ median_windSpeed_2WeeksBefore + min_windSpeed_2WeeksBefore +max_SST_2WeeksBefore + max_TidalHeight_2WeeksBefore + max_windBearing_2WeeksBefore",0.592027847358022," median_windSpeed_2WeeksBefore ",0.435350799919622," min_windSpeed_2WeeksBefore ",0.131858534208464,"max_SST_2WeeksBefore ",0.113384870314759," max_TidalHeight_2WeeksBefore ",0.00160973258863616," max_windBearing_2WeeksBefore",0.00151203374486334,0.466672873461173,0.529536013995561,0.529630158840431,0.592027847358022
"t3260","measurement~ median_humidity_2WeeksBefore + max_windBearing_2WeeksBefore+ max_humidity_2WeeksBefore +min_PAR_2WeeksBefore + max_SST_2WeeksBefore ",0.413095635843955," median_humidity_2WeeksBefore ",0.255072978299509," max_windBearing_2WeeksBefore",0.101979249766905," max_humidity_2WeeksBefore ",0.0921036696285919,"min_PAR_2WeeksBefore ",0.047129982827013," max_SST_2WeeksBefore ",0.000740785522765716,0.302653836811069,0.314366017254587,0.316564857508554,0.413095635843955
"t3536","measurement~median_temperature_2WeeksBefore + max_SST_2WeeksBefore + min_windBearing_2WeeksBefore+ max_windBearing_2WeeksBefore + max_TidalHeight_2WeeksBefore ",0.558783416763936,"median_temperature_2WeeksBefore ",0.092278890303191," max_SST_2WeeksBefore ",0.0398319084088337," min_windBearing_2WeeksBefore",0.0179835703074834," max_windBearing_2WeeksBefore ",0.0109382189381637," max_TidalHeight_2WeeksBefore ",0.0039702964354686,0.226315920911557,0.281606983787778,0.514623490762595,0.558783416763936
"t5033","measurement~ min_temperature_2WeeksBefore +median_temperature_2WeeksBefore + median_windSpeed_2WeeksBefore + max_windBearing_2WeeksBefore+ max_windSpeed_2WeeksBefore ",0.317665854015739," min_temperature_2WeeksBefore ",0.193131909497217,"median_temperature_2WeeksBefore ",0.133075644334102," median_windSpeed_2WeeksBefore ",0.0726067069851147," max_windBearing_2WeeksBefore",0.0187546113360984," max_windSpeed_2WeeksBefore ",0.012138346542623,0.257008408815119,0.268510016475833,0.313290487268205,0.317665854015739
"t8053","measurement~ median_TidalHeight_2WeeksBefore +max_SST_2WeeksBefore + max_dewPoint_2WeeksBefore + median_windBearing_2WeeksBefore + min_windBearing_2WeeksBefore",0.470955197140083," median_TidalHeight_2WeeksBefore ",0.383013155808249,"max_SST_2WeeksBefore ",0.364125645193995," max_dewPoint_2WeeksBefore ",0.358978487500019," median_windBearing_2WeeksBefore ",0.283710421137799," min_windBearing_2WeeksBefore",0.0422408177507904,0.385432676112418,0.395123952812943,0.466761293475117,0.470955197140083
"t8371","measurement~ max_humidity_2WeeksBefore+median_temperature_2WeeksBefore + median_Photoperiod_2WeeksBefore + max_PAR_2WeeksBefore + min_dewPoint_2WeeksBefore ",0.457255047757827," max_humidity_2WeeksBefore",0.154959613946421,"median_temperature_2WeeksBefore ",0.0922573535812986," median_Photoperiod_2WeeksBefore ",0.0407831130237117," max_PAR_2WeeksBefore ",0.0159483509850025," min_dewPoint_2WeeksBefore ",0.00829089961599516,0.155097317916009,0.209329934832779,0.287706861102223,0.457255047757827
