"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ max_SST_2WeeksBefore + min_SST_2WeeksBefore +median_temperature_2WeeksBefore + max_windSpeed_2WeeksBefore+ median_windSpeed_2WeeksBefore ",0.22418817956821," max_SST_2WeeksBefore ",0.146254322816809," min_SST_2WeeksBefore ",0.0934805262027661,"median_temperature_2WeeksBefore ",0.0826393349030876," max_windSpeed_2WeeksBefore",0.0291309787491657," median_windSpeed_2WeeksBefore ",0.015975496017746,0.18920889997235,0.203939916484771,0.210039290310504,0.22418817956821
"t10392","measurement~ max_dewPoint_2WeeksBefore + max_windBearing_2WeeksBefore+min_PAR_2WeeksBefore + max_windSpeed_2WeeksBefore + min_windSpeed_2WeeksBefore ",0.171482637107475," max_dewPoint_2WeeksBefore ",0.0500379813960665," max_windBearing_2WeeksBefore",0.0163686259536184,"min_PAR_2WeeksBefore ",0.00115802759712466," max_windSpeed_2WeeksBefore ",0.000815192506188235," min_windSpeed_2WeeksBefore ",1.38591692777461e-06,0.0542869233035029,0.0581148158966491,0.150457225523432,0.171482637107475
"t12214","measurement~ max_SST_2WeeksBefore + median_SST_2WeeksBefore + median_dewPoint_2WeeksBefore+ min_PAR_2WeeksBefore +max_PAR_2WeeksBefore ",0.487801419849483," max_SST_2WeeksBefore ",0.274432486902743," median_SST_2WeeksBefore ",0.270465409388137," median_dewPoint_2WeeksBefore",0.230377266228791," min_PAR_2WeeksBefore ",0.139282840944594,"max_PAR_2WeeksBefore ",0.0415928853216888,0.274488660962257,0.303931692597825,0.483665127235804,0.487801419849483
"t13307","measurement~ min_dewPoint_2WeeksBefore + median_TidalHeight_2WeeksBefore +max_temperature_2WeeksBefore + min_PAR_2WeeksBefore + max_windBearing_2WeeksBefore",0.145731187832578," min_dewPoint_2WeeksBefore ",0.038441908019631," median_TidalHeight_2WeeksBefore ",0.0231480360593038,"max_temperature_2WeeksBefore ",0.016167203834049," min_PAR_2WeeksBefore ",0.0121666337947392," max_windBearing_2WeeksBefore",0.00438173383337999,0.069738345640514,0.069831068058249,0.0700019446519441,0.145731187832578
"t14585","measurement~ median_windSpeed_2WeeksBefore +median_temperature_2WeeksBefore + median_windBearing_2WeeksBefore + max_windSpeed_2WeeksBefore + min_windBearing_2WeeksBefore",0.323212102353488," median_windSpeed_2WeeksBefore ",0.236394300152546,"median_temperature_2WeeksBefore ",0.121872047402406," median_windBearing_2WeeksBefore ",0.0652285636221888," max_windSpeed_2WeeksBefore ",0.0254335126619285," min_windBearing_2WeeksBefore",0.020866236671335,0.304803264488032,0.310494934811068,0.310532757701317,0.323212102353488
"t3260","measurement~ median_windBearing_2WeeksBefore+ max_humidity_2WeeksBefore +min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + min_SST_2WeeksBefore ",0.590156811878445," median_windBearing_2WeeksBefore",0.365517231775675," max_humidity_2WeeksBefore ",0.206869731142983,"min_temperature_2WeeksBefore ",0.154287780351971," median_PAR_2WeeksBefore ",0.0310050941690516," min_SST_2WeeksBefore ",0.0212112303942776,0.425633489653777,0.505813479913689,0.534208867388115,0.590156811878445
"t3536","measurement~ max_SST_2WeeksBefore + median_SST_2WeeksBefore + median_windBearing_2WeeksBefore+max_temperature_2WeeksBefore + max_PAR_2WeeksBefore ",0.137052231125104," max_SST_2WeeksBefore ",0.0565228735672631," median_SST_2WeeksBefore ",0.0466611914169016," median_windBearing_2WeeksBefore",0.0342019512716922,"max_temperature_2WeeksBefore ",0.0136039700752807," max_PAR_2WeeksBefore ",0.00646698772532932,0.0928717772452844,0.115131461766621,0.123934103784015,0.137052231125104
"t5033","measurement~ median_humidity_2WeeksBefore + median_windSpeed_2WeeksBefore +median_PAR_2WeeksBefore + max_TidalHeight_2WeeksBefore + max_windBearing_2WeeksBefore",0.312122603949809," median_humidity_2WeeksBefore ",0.192425384168765," median_windSpeed_2WeeksBefore ",0.159898570777137,"median_PAR_2WeeksBefore ",0.0172837449495872," max_TidalHeight_2WeeksBefore ",0.00239648565338426," max_windBearing_2WeeksBefore",5.44984632698262e-06,0.227413296425374,0.229057771240351,0.238053626348971,0.312122603949809
"t8053","measurement~ median_TidalHeight_2WeeksBefore + max_windSpeed_2WeeksBefore+ median_Photoperiod_2WeeksBefore +min_TidalHeight_2WeeksBefore + median_windSpeed_2WeeksBefore ",0.696380275338494," median_TidalHeight_2WeeksBefore ",0.667536711776954," max_windSpeed_2WeeksBefore",0.284650181904131," median_Photoperiod_2WeeksBefore ",0.177836238500495,"min_TidalHeight_2WeeksBefore ",0.00158999951917574," median_windSpeed_2WeeksBefore ",5.54218381324348e-05,0.676109261914558,0.683627389913449,0.695455229216059,0.696380275338495
"t8371","measurement~ median_Photoperiod_2WeeksBefore + median_windSpeed_2WeeksBefore + median_windBearing_2WeeksBefore+max_PAR_2WeeksBefore + min_dewPoint_2WeeksBefore ",0.708138281804874," median_Photoperiod_2WeeksBefore ",0.196650497882807," median_windSpeed_2WeeksBefore ",0.0982551169144642," median_windBearing_2WeeksBefore",0.0379467702165048,"max_PAR_2WeeksBefore ",0.01237292910439," min_dewPoint_2WeeksBefore ",7.93322931408426e-05,0.429099897969223,0.48754108509688,0.706503823819614,0.708138281804874
