"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ max_dewPoint_2WeeksBefore +max_temperature_2WeeksBefore + max_TidalHeight_2WeeksBefore + min_SST_2WeeksBefore + min_windSpeed_2WeeksBefore",0.447344009945541," max_dewPoint_2WeeksBefore ",0.264046713715254,"max_temperature_2WeeksBefore ",0.257609380180349," max_TidalHeight_2WeeksBefore ",0.229308940302925," min_SST_2WeeksBefore ",0.1642097296999," min_windSpeed_2WeeksBefore",0.0162987989556068,0.287722259618329,0.418908486947758,0.426430206791098,0.447344009945541
"t10392","measurement~min_temperature_2WeeksBefore + median_dewPoint_2WeeksBefore+ median_Photoperiod_2WeeksBefore + max_PAR_2WeeksBefore + min_PAR_2WeeksBefore ",0.479951064812509,"min_temperature_2WeeksBefore ",0.162127114843874," median_dewPoint_2WeeksBefore",0.161034209624865," median_Photoperiod_2WeeksBefore ",0.0280334056006659," max_PAR_2WeeksBefore ",0.00424438155948293," min_PAR_2WeeksBefore ",0.00051218851371699,0.171198698609345,0.171294888865557,0.328637876251407,0.479951064812509
"t12214","measurement~max_PAR_2WeeksBefore + max_dewPoint_2WeeksBefore + median_TidalHeight_2WeeksBefore + min_windSpeed_2WeeksBefore+ median_Photoperiod_2WeeksBefore ",0.336629482449451,"max_PAR_2WeeksBefore ",0.28043486823696," max_dewPoint_2WeeksBefore ",0.218473699630044," median_TidalHeight_2WeeksBefore ",0.0603256436528967," min_windSpeed_2WeeksBefore",0.00117510688756927," median_Photoperiod_2WeeksBefore ",0.000131281415592807,0.289767526236388,0.319539006715462,0.328945871407671,0.33662948244945
"t13307","measurement~ max_SST_2WeeksBefore + median_humidity_2WeeksBefore+max_PAR_2WeeksBefore + min_TidalHeight_2WeeksBefore + median_TidalHeight_2WeeksBefore ",0.532729846484408," max_SST_2WeeksBefore ",0.297716750045058," median_humidity_2WeeksBefore",0.012806979591899,"max_PAR_2WeeksBefore ",0.0116469639169817," min_TidalHeight_2WeeksBefore ",0.00637681913846352," median_TidalHeight_2WeeksBefore ",0.00114080197437373,0.300619238557355,0.421670258205057,0.425971504219851,0.532729846484408
"t14585","measurement~ min_PAR_2WeeksBefore +median_temperature_2WeeksBefore + median_SST_2WeeksBefore + median_TidalHeight_2WeeksBefore + median_windBearing_2WeeksBefore",0.41938706871161," min_PAR_2WeeksBefore ",0.319455351979114,"median_temperature_2WeeksBefore ",0.185013192411014," median_SST_2WeeksBefore ",0.173535798630552," median_TidalHeight_2WeeksBefore ",0.00404937131201499," median_windBearing_2WeeksBefore",0.00130421501202883,0.326004310101095,0.370189943939614,0.384509503877729,0.41938706871161
"t3260","measurement~ min_SST_2WeeksBefore + min_TidalHeight_2WeeksBefore + max_TidalHeight_2WeeksBefore + max_windSpeed_2WeeksBefore+max_PAR_2WeeksBefore ",0.406764864727449," min_SST_2WeeksBefore ",0.145620732607396," min_TidalHeight_2WeeksBefore ",0.121394490950441," max_TidalHeight_2WeeksBefore ",0.0441109894959841," max_windSpeed_2WeeksBefore",0.0319356782790547,"max_PAR_2WeeksBefore ",1.00452852288939e-06,0.268238101389289,0.268238386923474,0.390356912665986,0.406764864727449
"t3536","measurement~ min_TidalHeight_2WeeksBefore + min_PAR_2WeeksBefore +median_PAR_2WeeksBefore + min_dewPoint_2WeeksBefore + max_windSpeed_2WeeksBefore",0.202115881652544," min_TidalHeight_2WeeksBefore ",0.103931900508322," min_PAR_2WeeksBefore ",0.0506086498693262,"median_PAR_2WeeksBefore ",0.0261019788677528," min_dewPoint_2WeeksBefore ",0.00286230226619362," max_windSpeed_2WeeksBefore",0.00149233790354796,0.157399966724704,0.163668093926755,0.184418681178134,0.202115881652544
"t5033","measurement~ max_SST_2WeeksBefore + min_SST_2WeeksBefore + max_dewPoint_2WeeksBefore +min_PAR_2WeeksBefore + max_windBearing_2WeeksBefore",0.260125297353793," max_SST_2WeeksBefore ",0.140033433936458," min_SST_2WeeksBefore ",0.0977422980711904," max_dewPoint_2WeeksBefore ",0.0682832187060921,"min_PAR_2WeeksBefore ",0.00235869183080523," max_windBearing_2WeeksBefore",0.000199590287226679,0.14153342561977,0.167259197297252,0.229652451124133,0.260125297353793
"t8053","measurement~ median_SST_2WeeksBefore + max_PAR_2WeeksBefore + max_SST_2WeeksBefore +median_PAR_2WeeksBefore + median_windBearing_2WeeksBefore",0.400008214103014," median_SST_2WeeksBefore ",0.280475772854861," max_PAR_2WeeksBefore ",0.268073266924879," max_SST_2WeeksBefore ",0.238800013730563,"median_PAR_2WeeksBefore ",0.123437302960887," median_windBearing_2WeeksBefore",0.00115710215011164,0.336426287815954,0.361584152330992,0.389846707825309,0.400008214103015
"t8371","measurement~ min_temperature_2WeeksBefore +median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",0.252629041141619," min_temperature_2WeeksBefore ",0.206727585181099,"median_temperature_2WeeksBefore ",0.158275819823691," max_temperature_2WeeksBefore ",0.125112918604859," median_PAR_2WeeksBefore ",0.108286767117944," max_PAR_2WeeksBefore",0.0626183687323101,0.228978031580007,0.239282332318369,0.243389918554608,0.252629041141619
