"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ min_temperature_2WeeksBefore +max_temperature_2WeeksBefore + max_windBearing_2WeeksBefore+ max_dewPoint_2WeeksBefore + median_PAR_2WeeksBefore ",0.0775592142173596," min_temperature_2WeeksBefore ",0.0331163750521039,"max_temperature_2WeeksBefore ",0.0171093678860593," max_windBearing_2WeeksBefore",0.00513262279770794," max_dewPoint_2WeeksBefore ",0.00120392943747319," median_PAR_2WeeksBefore ",0.000210352124787592,0.0685151629443352,0.0685781646288659,0.0764064909876445,0.0775592142173596
"t10392","measurement~median_PAR_2WeeksBefore + max_PAR_2WeeksBefore + min_PAR_2WeeksBefore + max_windBearing_2WeeksBefore+ min_windSpeed_2WeeksBefore ",0.24153958980658,"median_PAR_2WeeksBefore ",0.196740958347899," max_PAR_2WeeksBefore ",0.156120938544696," min_PAR_2WeeksBefore ",0.0707910686841666," max_windBearing_2WeeksBefore",0.0409047542452091," min_windSpeed_2WeeksBefore ",0.00342508282788025,0.200965718174978,0.213014741757811,0.231109038098171,0.24153958980658
"t12214","measurement~ median_windBearing_2WeeksBefore+median_temperature_2WeeksBefore + max_TidalHeight_2WeeksBefore + median_SST_2WeeksBefore + min_SST_2WeeksBefore ",0.0789868126735995," median_windBearing_2WeeksBefore",0.0134385491572263,"median_temperature_2WeeksBefore ",0.00207639258513484," max_TidalHeight_2WeeksBefore ",0.0016918410485634," median_SST_2WeeksBefore ",6.9698463665107e-05," min_SST_2WeeksBefore ",2.91793607780983e-05,0.0392139870657805,0.044108690227999,0.0729004747492367,0.0789868126735994
"t13307","measurement~ median_humidity_2WeeksBefore + min_PAR_2WeeksBefore +min_temperature_2WeeksBefore + min_windBearing_2WeeksBefore+ median_Photoperiod_2WeeksBefore ",0.287187962559748," median_humidity_2WeeksBefore ",0.0591578393885997," min_PAR_2WeeksBefore ",0.0283174986410698,"min_temperature_2WeeksBefore ",0.0251826055299062," min_windBearing_2WeeksBefore",0.00692964271284232," median_Photoperiod_2WeeksBefore ",0.00281671194582533,0.0618081291142145,0.147319510055856,0.278198285368413,0.287187962559748
"t14585","measurement~ min_PAR_2WeeksBefore + median_dewPoint_2WeeksBefore + median_windBearing_2WeeksBefore+ min_humidity_2WeeksBefore +max_PAR_2WeeksBefore ",0.203599755591182," min_PAR_2WeeksBefore ",0.0453910654447065," median_dewPoint_2WeeksBefore ",0.0330447081950424," median_windBearing_2WeeksBefore",0.0211803396859169," min_humidity_2WeeksBefore ",0.000249145162481808,"max_PAR_2WeeksBefore ",1.11735248423413e-05,0.100688497508723,0.10822292492925,0.175731212864407,0.203599755591181
"t3260","measurement~min_SST_2WeeksBefore + median_dewPoint_2WeeksBefore + min_dewPoint_2WeeksBefore + median_windBearing_2WeeksBefore + max_windBearing_2WeeksBefore",0.267118501695956,"min_SST_2WeeksBefore ",0.219260795386483," median_dewPoint_2WeeksBefore ",0.209342318846555," min_dewPoint_2WeeksBefore ",0.167716448963185," median_windBearing_2WeeksBefore ",0.062589231545984," max_windBearing_2WeeksBefore",0.00427136702924031,0.220486838830608,0.220900924116373,0.255714874397867,0.267118501695956
"t3536","measurement~ median_TidalHeight_2WeeksBefore + max_windBearing_2WeeksBefore +max_TidalHeight_2WeeksBefore + min_windBearing_2WeeksBefore+ median_windBearing_2WeeksBefore ",0.140292194699093," median_TidalHeight_2WeeksBefore ",0.0809340798258819," max_windBearing_2WeeksBefore ",0.0529227482591218,"max_TidalHeight_2WeeksBefore ",0.0349461008378152," min_windBearing_2WeeksBefore",0.0054985526967984," median_windBearing_2WeeksBefore ",0.00181885367401186,0.100113549443754,0.103795582444937,0.126876324263273,0.140292194699093
"t5033","measurement~max_PAR_2WeeksBefore + min_humidity_2WeeksBefore + median_Photoperiod_2WeeksBefore + max_TidalHeight_2WeeksBefore + min_windSpeed_2WeeksBefore",0.159946806675933,"max_PAR_2WeeksBefore ",0.0399168516592316," min_humidity_2WeeksBefore ",0.0147365734549255," median_Photoperiod_2WeeksBefore ",0.00245048134319288," max_TidalHeight_2WeeksBefore ",0.00175784674249732," min_windSpeed_2WeeksBefore",0.000266602481618221,0.0399550768772363,0.147510937494225,0.155110139501525,0.159946806675933
"t8053","measurement~median_temperature_2WeeksBefore + max_humidity_2WeeksBefore + min_windBearing_2WeeksBefore+ median_windBearing_2WeeksBefore + min_SST_2WeeksBefore ",0.133238010779415,"median_temperature_2WeeksBefore ",0.0637836756274534," max_humidity_2WeeksBefore ",0.0380360936880694," min_windBearing_2WeeksBefore",0.0148979236650078," median_windBearing_2WeeksBefore ",0.00904861922280169," min_SST_2WeeksBefore ",0.00874822140010223,0.0643059483567837,0.064306368899938,0.0807370793881175,0.133238010779415
"t8371","measurement~ median_Photoperiod_2WeeksBefore + min_humidity_2WeeksBefore +min_TidalHeight_2WeeksBefore + min_dewPoint_2WeeksBefore + max_windBearing_2WeeksBefore",0.268711793736983," median_Photoperiod_2WeeksBefore ",0.0919667780588465," min_humidity_2WeeksBefore ",0.0835712713315165,"min_TidalHeight_2WeeksBefore ",0.0537211713405319," min_dewPoint_2WeeksBefore ",0.0397798176410975," max_windBearing_2WeeksBefore",0.0129309903268036,0.115424224756923,0.139412987046937,0.198764368796407,0.268711793736983
