"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~min_temperature_2WeeksBefore + min_dewPoint_2WeeksBefore + max_PAR_2WeeksBefore + min_windSpeed_2WeeksBefore+ max_dewPoint_2WeeksBefore ",0.178131186156654,"min_temperature_2WeeksBefore ",0.0583444983495637," min_dewPoint_2WeeksBefore ",0.00153712526084754," max_PAR_2WeeksBefore ",0.00051958465831358," min_windSpeed_2WeeksBefore",0.00051655680709199," max_dewPoint_2WeeksBefore ",0.000439938970286969,0.0880633176993311,0.091252564890426,0.0965211375954393,0.178131186156654
"t10392","measurement~max_temperature_2WeeksBefore + max_dewPoint_2WeeksBefore + median_windBearing_2WeeksBefore + max_windBearing_2WeeksBefore+ min_temperature_2WeeksBefore ",0.264779712261793,"max_temperature_2WeeksBefore ",0.0700930329725193," max_dewPoint_2WeeksBefore ",0.0461701046337579," median_windBearing_2WeeksBefore ",0.0307358381971636," max_windBearing_2WeeksBefore",0.027840659597683," min_temperature_2WeeksBefore ",0.00704780986610767,0.0773141755418859,0.100614782281468,0.211415572321263,0.264779712261793
"t12214","measurement~ max_PAR_2WeeksBefore + median_windBearing_2WeeksBefore+ min_dewPoint_2WeeksBefore +median_temperature_2WeeksBefore + min_windSpeed_2WeeksBefore ",0.114061385306289," max_PAR_2WeeksBefore ",0.0482072157059932," median_windBearing_2WeeksBefore",0.0228445224321204," min_dewPoint_2WeeksBefore ",0.00394385256822471,"median_temperature_2WeeksBefore ",0.0039037762370166," min_windSpeed_2WeeksBefore ",6.99682968535333e-05,0.0484699351961226,0.0520594081394851,0.112991693859568,0.114061385306288
"t13307","measurement~min_PAR_2WeeksBefore + max_windBearing_2WeeksBefore + median_humidity_2WeeksBefore + min_humidity_2WeeksBefore + min_windBearing_2WeeksBefore",0.152059162627195,"min_PAR_2WeeksBefore ",0.071825896149677," max_windBearing_2WeeksBefore ",0.0679383638198572," median_humidity_2WeeksBefore ",0.039767558481732," min_humidity_2WeeksBefore ",0.0219610391776814," min_windBearing_2WeeksBefore",0.00425879071578831,0.104193204998234,0.109660594662705,0.115431332046127,0.152059162627195
"t14585","measurement~ median_TidalHeight_2WeeksBefore + max_TidalHeight_2WeeksBefore +median_temperature_2WeeksBefore + max_windBearing_2WeeksBefore+ max_temperature_2WeeksBefore ",0.18601963447127," median_TidalHeight_2WeeksBefore ",0.0971543469409839," max_TidalHeight_2WeeksBefore ",0.0712298223599576,"median_temperature_2WeeksBefore ",0.042838286652004," max_windBearing_2WeeksBefore",0.00799557332741846," max_temperature_2WeeksBefore ",0.00716479373636975,0.0974679519073954,0.0991881559548043,0.181536873175429,0.186019634471271
"t3260","measurement~ min_SST_2WeeksBefore + median_windBearing_2WeeksBefore+ max_dewPoint_2WeeksBefore + min_dewPoint_2WeeksBefore +max_temperature_2WeeksBefore ",0.166956612427431," min_SST_2WeeksBefore ",0.0854074187935818," median_windBearing_2WeeksBefore",0.0650257507343341," max_dewPoint_2WeeksBefore ",0.0648428822937912," min_dewPoint_2WeeksBefore ",0.0344692779197778,"max_temperature_2WeeksBefore ",0.0055971553063058,0.127300224380539,0.15619776071445,0.157998997659778,0.166956612427431
"t3536","measurement~ max_windBearing_2WeeksBefore + max_humidity_2WeeksBefore + min_windBearing_2WeeksBefore+min_PAR_2WeeksBefore + median_Photoperiod_2WeeksBefore ",0.62579441779318," max_windBearing_2WeeksBefore ",0.198887946743669," max_humidity_2WeeksBefore ",0.132480659671765," min_windBearing_2WeeksBefore",0.0597008004513932,"min_PAR_2WeeksBefore ",0.0560239028381161," median_Photoperiod_2WeeksBefore ",0.00235923347330308,0.260308232819759,0.463275443047732,0.559170011723713,0.62579441779318
"t5033","measurement~ min_temperature_2WeeksBefore +max_temperature_2WeeksBefore + min_windBearing_2WeeksBefore+ median_PAR_2WeeksBefore + min_SST_2WeeksBefore ",0.172774980038471," min_temperature_2WeeksBefore ",0.0367809007894238,"max_temperature_2WeeksBefore ",0.0338961503829044," min_windBearing_2WeeksBefore",0.00609686844330094," median_PAR_2WeeksBefore ",0.000673412081943693," min_SST_2WeeksBefore ",3.67465565178469e-05,0.105765068533225,0.106413362715544,0.114085910869031,0.172774980038471
"t8053","measurement~min_temperature_2WeeksBefore + min_PAR_2WeeksBefore + min_TidalHeight_2WeeksBefore + median_windBearing_2WeeksBefore+ min_humidity_2WeeksBefore ",0.393435688746375,"min_temperature_2WeeksBefore ",0.183430466412084," min_PAR_2WeeksBefore ",0.107801234859643," min_TidalHeight_2WeeksBefore ",0.0167342319552084," median_windBearing_2WeeksBefore",0.0160033233213864," min_humidity_2WeeksBefore ",0.00202042934090404,0.28974974717112,0.291340769427579,0.354140710298164,0.393435688746375
"t8371","measurement~max_temperature_2WeeksBefore + max_PAR_2WeeksBefore + median_Photoperiod_2WeeksBefore + max_SST_2WeeksBefore + max_windBearing_2WeeksBefore",0.755084733884086,"max_temperature_2WeeksBefore ",0.357244640212866," max_PAR_2WeeksBefore ",0.184214038350301," median_Photoperiod_2WeeksBefore ",0.139896456338019," max_SST_2WeeksBefore ",0.103548049926319," max_windBearing_2WeeksBefore",0.0165080828838107,0.470178653894768,0.479359144609809,0.538662888934319,0.755084733884086
