"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ min_windSpeed_2WeeksBefore+ min_SST_2WeeksBefore +min_PAR_2WeeksBefore + max_TidalHeight_2WeeksBefore + max_windSpeed_2WeeksBefore ",0.246935402598735," min_windSpeed_2WeeksBefore",0.186267875953801," min_SST_2WeeksBefore ",0.133437167288085,"min_PAR_2WeeksBefore ",0.106655708508312," max_TidalHeight_2WeeksBefore ",0.053143827297005," max_windSpeed_2WeeksBefore ",0.010498926012926,0.205354185832557,0.210311729205475,0.227100371480123,0.246935402598735
"t10392","measurement~ median_PAR_2WeeksBefore + max_PAR_2WeeksBefore + median_TidalHeight_2WeeksBefore + max_windBearing_2WeeksBefore+median_temperature_2WeeksBefore ",0.763277271909644," median_PAR_2WeeksBefore ",0.715884533050407," max_PAR_2WeeksBefore ",0.551431791846206," median_TidalHeight_2WeeksBefore ",0.45204758606109," max_windBearing_2WeeksBefore",0.206707360665041,"median_temperature_2WeeksBefore ",0.0482871116425849,0.723154140232712,0.75009105118902,0.755041247960326,0.763277271909644
"t12214","measurement~ median_windBearing_2WeeksBefore + min_PAR_2WeeksBefore + max_PAR_2WeeksBefore + max_windBearing_2WeeksBefore+median_temperature_2WeeksBefore ",0.177295568516616," median_windBearing_2WeeksBefore ",0.0136439025407679," min_PAR_2WeeksBefore ",0.00996905693084018," max_PAR_2WeeksBefore ",0.00453933485314135," max_windBearing_2WeeksBefore",0.00346506300114619,"median_temperature_2WeeksBefore ",0.000336039827107053,0.0412733699399913,0.0769390885014107,0.0906652953759555,0.177295568516616
"t13307","measurement~ max_SST_2WeeksBefore + median_dewPoint_2WeeksBefore+ min_SST_2WeeksBefore + min_PAR_2WeeksBefore +max_temperature_2WeeksBefore ",0.699002045478417," max_SST_2WeeksBefore ",0.460916306480106," median_dewPoint_2WeeksBefore",0.355321355861052," min_SST_2WeeksBefore ",0.194881232506627," min_PAR_2WeeksBefore ",0.0926904403649449,"max_temperature_2WeeksBefore ",0.0730346272461748,0.562329496012862,0.593921373573825,0.684139481125056,0.699002045478417
"t14585","measurement~ max_temperature_2WeeksBefore +median_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",0.306684695576816," max_temperature_2WeeksBefore ",0.158806106335205,"median_temperature_2WeeksBefore ",0.100629295138751," min_temperature_2WeeksBefore ",0.036949784339698," median_PAR_2WeeksBefore ",0.0359490339421374," max_PAR_2WeeksBefore",0.0034770854264259,0.231173078851299,0.289403171643019,0.29452668112985,0.306684695576816
"t3260","measurement~ max_humidity_2WeeksBefore + max_dewPoint_2WeeksBefore + min_dewPoint_2WeeksBefore + min_humidity_2WeeksBefore+max_SST_2WeeksBefore ",0.279661984846393," max_humidity_2WeeksBefore ",0.199840889516202," max_dewPoint_2WeeksBefore ",0.167890398305952," min_dewPoint_2WeeksBefore ",0.0833268151859186," min_humidity_2WeeksBefore",0.0760043260582491,"max_SST_2WeeksBefore ",0.000752638667622071,0.207817491778263,0.20920138314818,0.230228820803354,0.279661984846393
"t3536","measurement~max_temperature_2WeeksBefore + min_dewPoint_2WeeksBefore + median_Photoperiod_2WeeksBefore + median_windBearing_2WeeksBefore + max_windBearing_2WeeksBefore",0.258852984052815,"max_temperature_2WeeksBefore ",0.150674908066619," min_dewPoint_2WeeksBefore ",0.0400418045252287," median_Photoperiod_2WeeksBefore ",0.0193282441647956," median_windBearing_2WeeksBefore ",0.00966978268757044," max_windBearing_2WeeksBefore",0.00033622579647132,0.153169886125056,0.194093277171194,0.257203789596826,0.258852984052815
"t5033","measurement~ min_PAR_2WeeksBefore + min_humidity_2WeeksBefore+max_PAR_2WeeksBefore + median_dewPoint_2WeeksBefore + min_SST_2WeeksBefore ",0.235620141165799," min_PAR_2WeeksBefore ",0.157808840132209," min_humidity_2WeeksBefore",0.107865081171342,"max_PAR_2WeeksBefore ",0.0471988999789456," median_dewPoint_2WeeksBefore ",0.0246228022703694," min_SST_2WeeksBefore ",0.00360124622967884,0.19421502398734,0.195769312311351,0.19661605848769,0.235620141165799
"t8053","measurement~ median_dewPoint_2WeeksBefore +min_SST_2WeeksBefore + min_humidity_2WeeksBefore + min_windBearing_2WeeksBefore+ median_humidity_2WeeksBefore ",0.139650064901293," median_dewPoint_2WeeksBefore ",0.0406425439546544,"min_SST_2WeeksBefore ",0.0229802428589196," min_humidity_2WeeksBefore ",0.0105230619023582," min_windBearing_2WeeksBefore",0.00822340218129364," median_humidity_2WeeksBefore ",0.00703474610495089,0.0491143005406549,0.0835666313617701,0.0881472008695271,0.139650064901293
"t8371","measurement~ median_dewPoint_2WeeksBefore + median_windBearing_2WeeksBefore+ min_TidalHeight_2WeeksBefore +min_SST_2WeeksBefore + max_windSpeed_2WeeksBefore ",0.493015219938724," median_dewPoint_2WeeksBefore ",0.142659047665659," median_windBearing_2WeeksBefore",0.120654591429802," min_TidalHeight_2WeeksBefore ",0.0609865279157554,"min_SST_2WeeksBefore ",0.0503732859465073," max_windSpeed_2WeeksBefore ",0.0142944644931028,0.152252293239176,0.153986527813082,0.468388826698975,0.493015219938723
