"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ median_windBearing_2WeeksBefore + min_windBearing_2WeeksBefore+ min_SST_2WeeksBefore +median_SST_2WeeksBefore + max_windBearing_2WeeksBefore ",0.232711079800344," median_windBearing_2WeeksBefore ",0.0132204351686252," min_windBearing_2WeeksBefore",0.00387780787999286," min_SST_2WeeksBefore ",0.0014043334708309,"median_SST_2WeeksBefore ",0.00100504112861859," max_windBearing_2WeeksBefore ",0.000202908098913969,0.041979583870853,0.0848440532524208,0.176517184296068,0.232711079800344
"t10392","measurement~median_PAR_2WeeksBefore + max_PAR_2WeeksBefore + min_PAR_2WeeksBefore + max_windBearing_2WeeksBefore+ min_windSpeed_2WeeksBefore ",0.415053931845905,"median_PAR_2WeeksBefore ",0.331368509536149," max_PAR_2WeeksBefore ",0.237173169054313," min_PAR_2WeeksBefore ",0.143764315736542," max_windBearing_2WeeksBefore",0.0260734465212261," min_windSpeed_2WeeksBefore ",0.00644593693490673,0.33670403389007,0.366767963604649,0.372150978036524,0.415053931845905
"t12214","measurement~ median_windBearing_2WeeksBefore + min_windBearing_2WeeksBefore+ min_SST_2WeeksBefore +median_SST_2WeeksBefore + max_windBearing_2WeeksBefore ",0.128007054869599," median_windBearing_2WeeksBefore ",0.00727214609412716," min_windBearing_2WeeksBefore",0.00213306030161473," min_SST_2WeeksBefore ",0.000772479728125093,"median_SST_2WeeksBefore ",0.000552841553602267," max_windBearing_2WeeksBefore ",0.000111613371281895,0.0230916503871222,0.0466700484968734,0.0970965581656012,0.128007054869599
"t13307","measurement~max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + max_dewPoint_2WeeksBefore+ max_TidalHeight_2WeeksBefore + median_SST_2WeeksBefore ",0.572614388553555,"max_temperature_2WeeksBefore ",0.0881521213368612," min_temperature_2WeeksBefore ",0.070384101731488," max_dewPoint_2WeeksBefore",0.0304975006092715," max_TidalHeight_2WeeksBefore ",0.0042971915175802," median_SST_2WeeksBefore ",0.00221326911806302,0.238755116533914,0.444009757735049,0.48901708076492,0.572614388553555
"t14585","measurement~ min_SST_2WeeksBefore + min_windSpeed_2WeeksBefore+ median_Photoperiod_2WeeksBefore +max_temperature_2WeeksBefore + max_windSpeed_2WeeksBefore ",0.452534671245284," min_SST_2WeeksBefore ",0.163553873047497," min_windSpeed_2WeeksBefore",0.138572891364867," median_Photoperiod_2WeeksBefore ",0.0906415485985413,"max_temperature_2WeeksBefore ",0.0461758023718443," max_windSpeed_2WeeksBefore ",0.000143944602361841,0.267499178498649,0.26805194728626,0.388318973724972,0.452534671245284
"t3260","measurement~min_SST_2WeeksBefore + median_dewPoint_2WeeksBefore + min_dewPoint_2WeeksBefore + median_windBearing_2WeeksBefore + min_windBearing_2WeeksBefore",0.72363545017135,"min_SST_2WeeksBefore ",0.56623078106055," median_dewPoint_2WeeksBefore ",0.527709644661145," min_dewPoint_2WeeksBefore ",0.44616891433521," median_windBearing_2WeeksBefore ",0.097879697470411," min_windBearing_2WeeksBefore",0.0961627221932952,0.566550630778589,0.566802055539172,0.666667399652173,0.72363545017135
"t3536","measurement~ max_windSpeed_2WeeksBefore+ min_humidity_2WeeksBefore + min_temperature_2WeeksBefore + min_SST_2WeeksBefore +median_temperature_2WeeksBefore ",0.152838582014634," max_windSpeed_2WeeksBefore",0.0262388349404512," min_humidity_2WeeksBefore ",0.011753726338067," min_temperature_2WeeksBefore ",0.0056098110672012," min_SST_2WeeksBefore ",0.00208463477821902,"median_temperature_2WeeksBefore ",0.000163291474283965,0.0306805488531517,0.0562851793719569,0.0572741742600667,0.152838582014634
"t5033","measurement~ max_windSpeed_2WeeksBefore + min_PAR_2WeeksBefore + median_windBearing_2WeeksBefore+max_temperature_2WeeksBefore + min_SST_2WeeksBefore ",0.351393017160188," max_windSpeed_2WeeksBefore ",0.0558683929069594," min_PAR_2WeeksBefore ",0.0539670201569476," median_windBearing_2WeeksBefore",0.0503895274331021,"max_temperature_2WeeksBefore ",0.0481328273800185," min_SST_2WeeksBefore ",0.00451687154387953,0.0747106318061646,0.246795287768423,0.250115859862887,0.351393017160188
"t8053","measurement~ median_windBearing_2WeeksBefore+ median_dewPoint_2WeeksBefore +min_SST_2WeeksBefore + min_dewPoint_2WeeksBefore + max_TidalHeight_2WeeksBefore ",0.129561571129649," median_windBearing_2WeeksBefore",0.0433825389546039," median_dewPoint_2WeeksBefore ",0.0341074471202082,"min_SST_2WeeksBefore ",0.019311969997884," min_dewPoint_2WeeksBefore ",0.00841193926240866," max_TidalHeight_2WeeksBefore ",0.00812151039750576,0.0584717180400105,0.0625985563629189,0.117201786292182,0.129561571129649
"t8371","measurement~ min_humidity_2WeeksBefore + median_dewPoint_2WeeksBefore +max_temperature_2WeeksBefore + median_windBearing_2WeeksBefore+ min_SST_2WeeksBefore ",0.464773296165367," min_humidity_2WeeksBefore ",0.131643384309961," median_dewPoint_2WeeksBefore ",0.131397368078325,"max_temperature_2WeeksBefore ",0.11689376778955," median_windBearing_2WeeksBefore",0.104807136415978," min_SST_2WeeksBefore ",0.0557399830853387,0.136719567797183,0.195212669438032,0.238560283874288,0.464773296165367
