"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~max_temperature_2WeeksBefore + max_dewPoint_2WeeksBefore+ min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + min_TidalHeight_2WeeksBefore ",0.242745955196323,"max_temperature_2WeeksBefore ",0.161077384148502," max_dewPoint_2WeeksBefore",0.151914737027403," min_temperature_2WeeksBefore ",0.135185205929452," median_PAR_2WeeksBefore ",0.060719544314552," min_TidalHeight_2WeeksBefore ",0.0265254746337025,0.172586775533346,0.176427332658727,0.196351102212654,0.242745955196323
"t10392","measurement~ min_SST_2WeeksBefore + median_dewPoint_2WeeksBefore +max_PAR_2WeeksBefore + min_PAR_2WeeksBefore + max_windSpeed_2WeeksBefore",0.372497392646419," min_SST_2WeeksBefore ",0.229809685112567," median_dewPoint_2WeeksBefore ",0.202242509199901,"max_PAR_2WeeksBefore ",0.00874413644067735," min_PAR_2WeeksBefore ",0.00436113330594137," max_windSpeed_2WeeksBefore",0.000340665369631932,0.231039374207315,0.287145011594473,0.35975696285045,0.372497392646419
"t12214","measurement~ max_dewPoint_2WeeksBefore +min_SST_2WeeksBefore + min_windSpeed_2WeeksBefore+ max_humidity_2WeeksBefore + median_TidalHeight_2WeeksBefore ",0.364664384482279," max_dewPoint_2WeeksBefore ",0.237312079033137,"min_SST_2WeeksBefore ",0.113539383896523," min_windSpeed_2WeeksBefore",0.0206095479546927," max_humidity_2WeeksBefore ",0.0180618166483844," median_TidalHeight_2WeeksBefore ",0.00382033921539811,0.273195995866956,0.315106387050267,0.327169102589689,0.364664384482279
"t13307","measurement~ max_SST_2WeeksBefore + min_SST_2WeeksBefore + median_SST_2WeeksBefore +min_temperature_2WeeksBefore + median_windBearing_2WeeksBefore",0.252449111590642," max_SST_2WeeksBefore ",0.152736163140629," min_SST_2WeeksBefore ",0.133058229108875," median_SST_2WeeksBefore ",0.124222508029154,"min_temperature_2WeeksBefore ",0.0934735702917877," median_windBearing_2WeeksBefore",0.000185468389183525,0.152916732935416,0.205595470943413,0.230887602781374,0.252449111590642
"t14585","measurement~ min_SST_2WeeksBefore +median_temperature_2WeeksBefore + median_windSpeed_2WeeksBefore + min_PAR_2WeeksBefore + median_windBearing_2WeeksBefore",0.463625024087128," min_SST_2WeeksBefore ",0.373274892469934,"median_temperature_2WeeksBefore ",0.300978525883037," median_windSpeed_2WeeksBefore ",0.175730008728181," min_PAR_2WeeksBefore ",0.132625310532925," median_windBearing_2WeeksBefore",0.00436655740362066,0.375248358761951,0.427593338650287,0.441155826488016,0.463625024087128
"t3260","measurement~ min_SST_2WeeksBefore + min_TidalHeight_2WeeksBefore+max_temperature_2WeeksBefore + max_PAR_2WeeksBefore + min_PAR_2WeeksBefore ",0.477504097161458," min_SST_2WeeksBefore ",0.296546573783945," min_TidalHeight_2WeeksBefore",0.17588718629363,"max_temperature_2WeeksBefore ",0.107422859959609," max_PAR_2WeeksBefore ",0.105080732327308," min_PAR_2WeeksBefore ",0.0640219882305228,0.40917611514743,0.425957051049841,0.462751553476504,0.477504097161458
"t3536","measurement~ median_windBearing_2WeeksBefore+ max_PAR_2WeeksBefore +max_temperature_2WeeksBefore + median_dewPoint_2WeeksBefore + median_SST_2WeeksBefore ",0.0562466816042788," median_windBearing_2WeeksBefore",0.030898692775025," max_PAR_2WeeksBefore ",0.0014689416614454,"max_temperature_2WeeksBefore ",0.00075960915011936," median_dewPoint_2WeeksBefore ",8.07883367437593e-05," median_SST_2WeeksBefore ",3.68142346987039e-05,0.0321484172374199,0.0390574252591999,0.0409970985091962,0.0562466816042788
"t5033","measurement~ max_SST_2WeeksBefore + min_SST_2WeeksBefore + median_SST_2WeeksBefore +median_PAR_2WeeksBefore + median_windBearing_2WeeksBefore",0.153849427189051," max_SST_2WeeksBefore ",0.0821230266338653," min_SST_2WeeksBefore ",0.0688137648450272," median_SST_2WeeksBefore ",0.0680156645231491,"median_PAR_2WeeksBefore ",0.021928422588884," median_windBearing_2WeeksBefore",0.00926254646632307,0.0821337802014082,0.101699487695898,0.109091928382927,0.153849427189051
"t8053","measurement~ max_PAR_2WeeksBefore +median_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_TidalHeight_2WeeksBefore + min_windSpeed_2WeeksBefore",0.661550317912988," max_PAR_2WeeksBefore ",0.532075237758294,"median_temperature_2WeeksBefore ",0.291025606935797," min_temperature_2WeeksBefore ",0.270631723272531," median_TidalHeight_2WeeksBefore ",0.0674830919016709," min_windSpeed_2WeeksBefore",0.0092256889443015,0.536532984628113,0.536648093574619,0.607918784616545,0.661550317912988
"t8371","measurement~ min_temperature_2WeeksBefore + max_temperature_2WeeksBefore +median_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",0.224747568811843," min_temperature_2WeeksBefore ",0.106605018162386," max_temperature_2WeeksBefore ",0.07378782867467,"median_temperature_2WeeksBefore ",0.0696740051573982," median_PAR_2WeeksBefore ",0.0169153587976196," max_PAR_2WeeksBefore",0.000192962171557585,0.107952462777272,0.15852418111989,0.169868478571914,0.224747568811843
