"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~max_temperature_2WeeksBefore + max_PAR_2WeeksBefore + max_windSpeed_2WeeksBefore + max_TidalHeight_2WeeksBefore + min_windBearing_2WeeksBefore",0.277780632638331,"max_temperature_2WeeksBefore ",0.233541334886145," max_PAR_2WeeksBefore ",0.180607429968757," max_windSpeed_2WeeksBefore ",0.0953150359910256," max_TidalHeight_2WeeksBefore ",0.0627440300435779," min_windBearing_2WeeksBefore",9.94344977577456e-05,0.237111268454174,0.264625571318189,0.27436224105787,0.277780632638331
"t10392","measurement~ max_humidity_2WeeksBefore+max_temperature_2WeeksBefore + median_Photoperiod_2WeeksBefore + max_PAR_2WeeksBefore + min_PAR_2WeeksBefore ",0.256798497020953," max_humidity_2WeeksBefore",0.113082989999282,"max_temperature_2WeeksBefore ",0.106579253346874," median_Photoperiod_2WeeksBefore ",0.0475077702032043," max_PAR_2WeeksBefore ",0.00613002604980624," min_PAR_2WeeksBefore ",0.000241143570505933,0.168067422889271,0.176864977328751,0.218692975553768,0.256798497020953
"t12214","measurement~ max_PAR_2WeeksBefore + max_SST_2WeeksBefore +median_temperature_2WeeksBefore + min_windSpeed_2WeeksBefore+ median_Photoperiod_2WeeksBefore ",0.312410386801017," max_PAR_2WeeksBefore ",0.18145225839337," max_SST_2WeeksBefore ",0.166154166365985,"median_temperature_2WeeksBefore ",0.159522372613205," min_windSpeed_2WeeksBefore",0.0575200959089061," median_Photoperiod_2WeeksBefore ",0.0475162564630237,0.211617313871246,0.21727925701333,0.223073246285558,0.312410386801017
"t13307","measurement~ max_humidity_2WeeksBefore + max_SST_2WeeksBefore + median_SST_2WeeksBefore +median_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore",0.342426585241513," max_humidity_2WeeksBefore ",0.266566758445671," max_SST_2WeeksBefore ",0.107438907203286," median_SST_2WeeksBefore ",0.0919277213611057,"median_PAR_2WeeksBefore ",0.0229802866788394," median_windSpeed_2WeeksBefore",7.52637720539549e-05,0.277766700880146,0.289917747546251,0.294234500337714,0.342426585241513
"t14585","measurement~ max_SST_2WeeksBefore +median_temperature_2WeeksBefore + min_humidity_2WeeksBefore + median_Photoperiod_2WeeksBefore + max_windSpeed_2WeeksBefore",0.291526335904904," max_SST_2WeeksBefore ",0.194725484098895,"median_temperature_2WeeksBefore ",0.193085364717115," min_humidity_2WeeksBefore ",0.101634172753073," median_Photoperiod_2WeeksBefore ",0.0636386546341125," max_windSpeed_2WeeksBefore",0.0090798106303956,0.196203031727978,0.208016215499031,0.221404410034719,0.291526335904902
"t3260","measurement~ max_SST_2WeeksBefore + median_humidity_2WeeksBefore + max_humidity_2WeeksBefore+ median_TidalHeight_2WeeksBefore +median_PAR_2WeeksBefore ",0.336919952623081," max_SST_2WeeksBefore ",0.179102424537439," median_humidity_2WeeksBefore ",0.171466875783062," max_humidity_2WeeksBefore",0.104116200809346," median_TidalHeight_2WeeksBefore ",0.0617306434863071,"median_PAR_2WeeksBefore ",0.0309875854076228,0.298803900249319,0.303847223014449,0.321285200813239,0.336919952623081
"t3536","measurement~ median_SST_2WeeksBefore + median_windSpeed_2WeeksBefore+median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + median_humidity_2WeeksBefore ",0.121951809589285," median_SST_2WeeksBefore ",0.0607794610966802," median_windSpeed_2WeeksBefore",0.05594488802329,"median_temperature_2WeeksBefore ",0.050514950409349," max_temperature_2WeeksBefore ",0.0261433072535934," median_humidity_2WeeksBefore ",0.000386746084474371,0.0845063044404722,0.0851438172197257,0.0904111801373183,0.121951809589286
"t5033","measurement~ max_humidity_2WeeksBefore +max_SST_2WeeksBefore + median_windBearing_2WeeksBefore + max_TidalHeight_2WeeksBefore + min_windBearing_2WeeksBefore",0.211836184393627," max_humidity_2WeeksBefore ",0.158011763307223,"max_SST_2WeeksBefore ",0.0674818094624288," median_windBearing_2WeeksBefore ",0.0152425757287192," max_TidalHeight_2WeeksBefore ",0.00552525898241928," min_windBearing_2WeeksBefore",0.00112660236539395,0.166073731572404,0.185028738923178,0.200325986544497,0.211836184393627
"t8053","measurement~ median_dewPoint_2WeeksBefore + median_SST_2WeeksBefore +max_PAR_2WeeksBefore + max_windBearing_2WeeksBefore+ min_windSpeed_2WeeksBefore ",0.317489388173425," median_dewPoint_2WeeksBefore ",0.271455564333932," median_SST_2WeeksBefore ",0.248158180580974,"max_PAR_2WeeksBefore ",0.235082833856838," max_windBearing_2WeeksBefore",0.188551568887359," min_windSpeed_2WeeksBefore ",0.0940644738362396,0.272117568722105,0.306743555581369,0.31014225711731,0.317489388173425
"t8371","measurement~ min_SST_2WeeksBefore +max_SST_2WeeksBefore + min_windSpeed_2WeeksBefore + median_windBearing_2WeeksBefore+ min_TidalHeight_2WeeksBefore ",0.321755783924149," min_SST_2WeeksBefore ",0.151807383396334,"max_SST_2WeeksBefore ",0.0969063069503996," min_windSpeed_2WeeksBefore ",0.0322058232710139," median_windBearing_2WeeksBefore",0.01357118004263," min_TidalHeight_2WeeksBefore ",0.00273406497454749,0.192420444658334,0.198772889806004,0.254784488047862,0.321755783924149
