"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ min_SST_2WeeksBefore + min_temperature_2WeeksBefore +median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + max_TidalHeight_2WeeksBefore",0.28724350099362," min_SST_2WeeksBefore ",0.172961643936961," min_temperature_2WeeksBefore ",0.167675842630344,"median_temperature_2WeeksBefore ",0.122653308707428," max_temperature_2WeeksBefore ",0.111066248915272," max_TidalHeight_2WeeksBefore",7.56116912967309e-07,0.174261232467638,0.252649146843544,0.267037691608745,0.28724350099362
"t10392","measurement~ max_humidity_2WeeksBefore + median_dewPoint_2WeeksBefore +min_temperature_2WeeksBefore + max_windSpeed_2WeeksBefore+ min_PAR_2WeeksBefore ",0.265496908163447," max_humidity_2WeeksBefore ",0.214143882353991," median_dewPoint_2WeeksBefore ",0.0617980954365046,"min_temperature_2WeeksBefore ",0.0615304669697413," max_windSpeed_2WeeksBefore",0.019763707997032," min_PAR_2WeeksBefore ",0.00149951886903535,0.224178000510788,0.241766313010146,0.251577071217046,0.265496908163447
"t12214","measurement~ max_SST_2WeeksBefore +max_temperature_2WeeksBefore + min_dewPoint_2WeeksBefore + median_humidity_2WeeksBefore + max_windBearing_2WeeksBefore",0.37260394841925," max_SST_2WeeksBefore ",0.184449040254843,"max_temperature_2WeeksBefore ",0.162718852146232," min_dewPoint_2WeeksBefore ",0.160693720336651," median_humidity_2WeeksBefore ",0.0367671229558595," max_windBearing_2WeeksBefore",0.0064270239048901,0.184810163638108,0.185361910460646,0.303957128645215,0.37260394841925
"t13307","measurement~max_temperature_2WeeksBefore + max_humidity_2WeeksBefore + max_windBearing_2WeeksBefore + max_PAR_2WeeksBefore + min_windBearing_2WeeksBefore",0.259906905685602,"max_temperature_2WeeksBefore ",0.136156932576981," max_humidity_2WeeksBefore ",0.134149763416563," max_windBearing_2WeeksBefore ",0.02008491997124," max_PAR_2WeeksBefore ",0.00994170460554716," min_windBearing_2WeeksBefore",0.00356360621678119,0.203700420536018,0.205493943351727,0.255365019426115,0.259906905685602
"t14585","measurement~ median_TidalHeight_2WeeksBefore + min_SST_2WeeksBefore +max_temperature_2WeeksBefore + min_windBearing_2WeeksBefore+ max_SST_2WeeksBefore ",0.488498181770579," median_TidalHeight_2WeeksBefore ",0.206077877265661," min_SST_2WeeksBefore ",0.0392405443182536,"max_temperature_2WeeksBefore ",0.0368103521161866," min_windBearing_2WeeksBefore",0.0176757180157297," max_SST_2WeeksBefore ",0.0152388108720878,0.2471989724233,0.306124777251868,0.321294790757486,0.488498181770578
"t3260","measurement~ median_SST_2WeeksBefore +median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_windSpeed_2WeeksBefore+ median_windSpeed_2WeeksBefore ",0.179489026660455," median_SST_2WeeksBefore ",0.0501132073637686,"median_temperature_2WeeksBefore ",0.0340621789421356," max_temperature_2WeeksBefore ",0.0254166788754293," min_windSpeed_2WeeksBefore",0.0148165693327642," median_windSpeed_2WeeksBefore ",0.00539756499573001,0.0924630268924959,0.135745976194795,0.150428770062451,0.179489026660455
"t3536","measurement~median_temperature_2WeeksBefore + min_temperature_2WeeksBefore + max_temperature_2WeeksBefore + max_PAR_2WeeksBefore+ median_PAR_2WeeksBefore ",0.353726803858891,"median_temperature_2WeeksBefore ",0.183998312692262," min_temperature_2WeeksBefore ",0.159112761360107," max_temperature_2WeeksBefore ",0.0996301410003133," max_PAR_2WeeksBefore",0.0778404640303152," median_PAR_2WeeksBefore ",0.0282009989584249,0.188878003439729,0.262357198814715,0.311022170078452,0.353726803858891
"t5033","measurement~ max_humidity_2WeeksBefore + median_dewPoint_2WeeksBefore +min_temperature_2WeeksBefore + median_TidalHeight_2WeeksBefore + median_windBearing_2WeeksBefore",0.183889126469413," max_humidity_2WeeksBefore ",0.137762377786254," median_dewPoint_2WeeksBefore ",0.0157742658222364,"min_temperature_2WeeksBefore ",0.0145750060587012," median_TidalHeight_2WeeksBefore ",0.00477373277006772," median_windBearing_2WeeksBefore",0.000875661919488635,0.137766710936551,0.159133965469333,0.180862906754744,0.183889126469413
"t8053","measurement~ median_SST_2WeeksBefore + median_dewPoint_2WeeksBefore + min_dewPoint_2WeeksBefore + min_windSpeed_2WeeksBefore+max_PAR_2WeeksBefore ",0.258582445293861," median_SST_2WeeksBefore ",0.128773265840251," median_dewPoint_2WeeksBefore ",0.0794848709952268," min_dewPoint_2WeeksBefore ",0.0602646319451556," min_windSpeed_2WeeksBefore",0.0260878466460752,"max_PAR_2WeeksBefore ",0.000633027734980492,0.206923576118994,0.211688612865414,0.231213248190852,0.258582445293861
"t8371","measurement~ min_temperature_2WeeksBefore +median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + max_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore",0.324626383767389," min_temperature_2WeeksBefore ",0.0682411349167915,"median_temperature_2WeeksBefore ",0.0568901736054973," max_temperature_2WeeksBefore ",0.0165432227584315," max_PAR_2WeeksBefore ",0.00426545816393332," median_windSpeed_2WeeksBefore",1.05865674402292e-05,0.0719109802001404,0.176937148229688,0.19067175958357,0.324626383767389
