"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ max_dewPoint_2WeeksBefore + max_windSpeed_2WeeksBefore + max_TidalHeight_2WeeksBefore +min_SST_2WeeksBefore + median_windBearing_2WeeksBefore",0.690031496133664," max_dewPoint_2WeeksBefore ",0.427929400357426," max_windSpeed_2WeeksBefore ",0.297408985616635," max_TidalHeight_2WeeksBefore ",0.288488978891821,"min_SST_2WeeksBefore ",0.219688412973618," median_windBearing_2WeeksBefore",0.0867016836274086,0.43342578858803,0.58625729913596,0.617928480693998,0.690031496133665
"t10392","measurement~min_temperature_2WeeksBefore + max_windBearing_2WeeksBefore+ max_windSpeed_2WeeksBefore + min_TidalHeight_2WeeksBefore + min_windSpeed_2WeeksBefore ",0.694718596773805,"min_temperature_2WeeksBefore ",0.265795282535302," max_windBearing_2WeeksBefore",0.0338224812574124," max_windSpeed_2WeeksBefore ",0.021318947963363," min_TidalHeight_2WeeksBefore ",0.0121822182475727," min_windSpeed_2WeeksBefore ",0.00753232389862191,0.341889003900519,0.585606499376369,0.635959216227643,0.694718596773805
"t12214","measurement~ max_PAR_2WeeksBefore + max_dewPoint_2WeeksBefore+min_temperature_2WeeksBefore + max_TidalHeight_2WeeksBefore + median_Photoperiod_2WeeksBefore ",0.413125071610197," max_PAR_2WeeksBefore ",0.3680472793185," max_dewPoint_2WeeksBefore",0.333014998716134,"min_temperature_2WeeksBefore ",0.268169375979338," max_TidalHeight_2WeeksBefore ",0.134087366451898," median_Photoperiod_2WeeksBefore ",0.0389727760791849,0.383516713887212,0.384664455479243,0.39716798193525,0.413125071610197
"t13307","measurement~ max_SST_2WeeksBefore + min_humidity_2WeeksBefore+ median_TidalHeight_2WeeksBefore + min_PAR_2WeeksBefore +max_PAR_2WeeksBefore ",0.698445145400374," max_SST_2WeeksBefore ",0.365365914365824," min_humidity_2WeeksBefore",0.0739166551038366," median_TidalHeight_2WeeksBefore ",0.0387778098073186," min_PAR_2WeeksBefore ",0.0373745962465318,"max_PAR_2WeeksBefore ",0.0124468701050475,0.460708944634324,0.515299292192974,0.520767895046406,0.698445145400374
"t14585","measurement~ max_humidity_2WeeksBefore +max_temperature_2WeeksBefore + min_windSpeed_2WeeksBefore + max_PAR_2WeeksBefore + median_windBearing_2WeeksBefore",0.630220516508412," max_humidity_2WeeksBefore ",0.280531579906836,"max_temperature_2WeeksBefore ",0.256181810644648," min_windSpeed_2WeeksBefore ",0.107633423591553," max_PAR_2WeeksBefore ",0.0202636692290059," median_windBearing_2WeeksBefore",0.00306861721994644,0.42226501674277,0.484955686512405,0.611178596559929,0.630220516508412
"t3260","measurement~ median_humidity_2WeeksBefore + max_humidity_2WeeksBefore+ min_PAR_2WeeksBefore + max_dewPoint_2WeeksBefore +max_PAR_2WeeksBefore ",0.557826061108599," median_humidity_2WeeksBefore ",0.402268797935056," max_humidity_2WeeksBefore",0.201903177232686," min_PAR_2WeeksBefore ",0.0809112411711523," max_dewPoint_2WeeksBefore ",0.0377784320414157,"max_PAR_2WeeksBefore ",0.0173858860357511,0.403612164056102,0.40362026786551,0.482192764507433,0.557826061108599
"t3536","measurement~ min_windSpeed_2WeeksBefore+ median_TidalHeight_2WeeksBefore + max_windSpeed_2WeeksBefore + max_dewPoint_2WeeksBefore +max_temperature_2WeeksBefore ",0.456125811533444," min_windSpeed_2WeeksBefore",0.26007535024383," median_TidalHeight_2WeeksBefore ",0.240834951424609," max_windSpeed_2WeeksBefore ",0.0630068323587293," max_dewPoint_2WeeksBefore ",0.0301239302074711,"max_temperature_2WeeksBefore ",0.0283895963661433,0.411983540344495,0.43702732788994,0.442265358900786,0.456125811533444
"t5033","measurement~ max_humidity_2WeeksBefore +median_temperature_2WeeksBefore + max_windSpeed_2WeeksBefore + min_windSpeed_2WeeksBefore+ min_PAR_2WeeksBefore ",0.383908898331152," max_humidity_2WeeksBefore ",0.29603767826383,"median_temperature_2WeeksBefore ",0.146416914758671," max_windSpeed_2WeeksBefore ",0.0160905205182734," min_windSpeed_2WeeksBefore",0.0126575905361381," min_PAR_2WeeksBefore ",0.000793712137595189,0.329950392518448,0.344062221373621,0.372966723452506,0.383908898331152
"t8053","measurement~ median_dewPoint_2WeeksBefore +median_SST_2WeeksBefore + max_windBearing_2WeeksBefore+ median_humidity_2WeeksBefore + median_TidalHeight_2WeeksBefore ",0.459954446092996," median_dewPoint_2WeeksBefore ",0.355421095263229,"median_SST_2WeeksBefore ",0.34817689293274," max_windBearing_2WeeksBefore",0.33944965437606," median_humidity_2WeeksBefore ",0.00483025705491661," median_TidalHeight_2WeeksBefore ",0.00362565967724669,0.359668819333805,0.420944801686073,0.449598837105572,0.459954446092996
"t8371","measurement~ min_SST_2WeeksBefore + max_SST_2WeeksBefore +median_PAR_2WeeksBefore + median_windBearing_2WeeksBefore+ median_humidity_2WeeksBefore ",0.529363812566118," min_SST_2WeeksBefore ",0.277312561009191," max_SST_2WeeksBefore ",0.163355525547526,"median_PAR_2WeeksBefore ",0.135257775624974," median_windBearing_2WeeksBefore",0.014431544675628," median_humidity_2WeeksBefore ",0.00537293322118721,0.340606412917846,0.356414492713838,0.416444196606015,0.529363812566118
