"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ max_dewPoint_2WeeksBefore +min_SST_2WeeksBefore + median_TidalHeight_2WeeksBefore + max_windBearing_2WeeksBefore + min_windBearing_2WeeksBefore",0.315888771450645," max_dewPoint_2WeeksBefore ",0.218604865465433,"min_SST_2WeeksBefore ",0.127900257953893," median_TidalHeight_2WeeksBefore ",0.0627504649565808," max_windBearing_2WeeksBefore ",0.0562657361131927," min_windBearing_2WeeksBefore",0.00630067532036505,0.241528223038173,0.273686832045035,0.306332970050822,0.315888771450645
"t10392","measurement~max_temperature_2WeeksBefore + median_Photoperiod_2WeeksBefore + max_PAR_2WeeksBefore + min_PAR_2WeeksBefore + max_windSpeed_2WeeksBefore",0.424171358506266,"max_temperature_2WeeksBefore ",0.185310806921841," median_Photoperiod_2WeeksBefore ",0.0886169471841557," max_PAR_2WeeksBefore ",0.0147279160484348," min_PAR_2WeeksBefore ",0.00391853723388239," max_windSpeed_2WeeksBefore",0.0034757899951271,0.221549447389745,0.336787018233776,0.407714022190345,0.424171358506266
"t12214","measurement~ max_temperature_2WeeksBefore + max_PAR_2WeeksBefore+median_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore ",0.31876072631007," max_temperature_2WeeksBefore ",0.299937038758928," max_PAR_2WeeksBefore",0.248847316013792,"median_temperature_2WeeksBefore ",0.243757519752437," min_temperature_2WeeksBefore ",0.220862608021568," median_PAR_2WeeksBefore ",0.218509874184271,0.309695287448435,0.311438076049261,0.316255745242036,0.31876072631007
"t13307","measurement~ max_humidity_2WeeksBefore + max_SST_2WeeksBefore +median_temperature_2WeeksBefore + min_windBearing_2WeeksBefore+ median_windSpeed_2WeeksBefore ",0.616073663544765," max_humidity_2WeeksBefore ",0.488200303816025," max_SST_2WeeksBefore ",0.143649384138454,"median_temperature_2WeeksBefore ",0.108841533572641," min_windBearing_2WeeksBefore",0.00413504594878539," median_windSpeed_2WeeksBefore ",4.41631894934559e-06,0.493960526606889,0.498331686617283,0.498617688550895,0.616073663544765
"t14585","measurement~min_SST_2WeeksBefore + median_windSpeed_2WeeksBefore + max_humidity_2WeeksBefore + max_windSpeed_2WeeksBefore + min_windSpeed_2WeeksBefore",0.611018617956749,"min_SST_2WeeksBefore ",0.463670589296671," median_windSpeed_2WeeksBefore ",0.300806019764435," max_humidity_2WeeksBefore ",0.145131017575569," max_windSpeed_2WeeksBefore ",0.00315523390682567," min_windSpeed_2WeeksBefore",0.00109002276133623,0.531246220756834,0.531390591785367,0.567411950141586,0.611018617956749
"t3260","measurement~ max_SST_2WeeksBefore +max_temperature_2WeeksBefore + median_humidity_2WeeksBefore + median_TidalHeight_2WeeksBefore + max_windBearing_2WeeksBefore",0.784334835628325," max_SST_2WeeksBefore ",0.515457469052494,"max_temperature_2WeeksBefore ",0.333438491002216," median_humidity_2WeeksBefore ",0.289946598747651," median_TidalHeight_2WeeksBefore ",0.110462745635935," max_windBearing_2WeeksBefore",0.0798536747788479,0.565282800028748,0.720072326644729,0.755471416112918,0.784334835628325
"t3536","measurement~ max_humidity_2WeeksBefore + max_dewPoint_2WeeksBefore + max_windSpeed_2WeeksBefore+min_TidalHeight_2WeeksBefore + median_Photoperiod_2WeeksBefore ",0.119847151503273," max_humidity_2WeeksBefore ",0.0599923105206614," max_dewPoint_2WeeksBefore ",0.0353041366266849," max_windSpeed_2WeeksBefore",0.0310630098125993,"min_TidalHeight_2WeeksBefore ",0.0218650508874237," median_Photoperiod_2WeeksBefore ",0.0109275004948139,0.0749589101804897,0.0925117477365686,0.105718162938859,0.119847151503273
"t5033","measurement~ max_humidity_2WeeksBefore +max_SST_2WeeksBefore + median_windBearing_2WeeksBefore + max_TidalHeight_2WeeksBefore + min_windBearing_2WeeksBefore",0.346122806768025," max_humidity_2WeeksBefore ",0.24254933495912,"max_SST_2WeeksBefore ",0.0954870128315867," median_windBearing_2WeeksBefore ",0.0285637432796328," max_TidalHeight_2WeeksBefore ",0.0110776672734017," min_windBearing_2WeeksBefore",0.002148200559606,0.252598392004108,0.292707056606378,0.322188503453915,0.346122806768025
"t8053","measurement~ max_PAR_2WeeksBefore +max_temperature_2WeeksBefore + min_dewPoint_2WeeksBefore + min_SST_2WeeksBefore + median_windBearing_2WeeksBefore",0.744156156603879," max_PAR_2WeeksBefore ",0.725645756789659,"max_temperature_2WeeksBefore ",0.569889805876646," min_dewPoint_2WeeksBefore ",0.535081048920859," min_SST_2WeeksBefore ",0.308294919288126," median_windBearing_2WeeksBefore",0.0166310263160383,0.739657103899632,0.74027657919889,0.741394465893935,0.744156156603879
"t8371","measurement~ min_SST_2WeeksBefore +max_temperature_2WeeksBefore + max_dewPoint_2WeeksBefore + min_humidity_2WeeksBefore+ median_humidity_2WeeksBefore ",0.544954242979487," min_SST_2WeeksBefore ",0.151567337286297,"max_temperature_2WeeksBefore ",0.0826619785590047," max_dewPoint_2WeeksBefore ",0.0743329465541357," min_humidity_2WeeksBefore",0.0212917646594898," median_humidity_2WeeksBefore ",0.0081032922036392,0.163372929089649,0.190698883837368,0.232882504488508,0.544954242979487
