"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ SST_13DaysBefore+min_TidalProp_1DaysBefore + max_windSpeed_2DaysBefore + max_TidalHeight_8DaysBefore + range_TidalHeight_8DaysBefore ",0.247201302804064," SST_13DaysBefore",0.140291109246727,"min_TidalProp_1DaysBefore ",0.0938158898671291," max_windSpeed_2DaysBefore ",0.0137666852465793," max_TidalHeight_8DaysBefore ",0.00677471862105372," range_TidalHeight_8DaysBefore ",0.00659798550206653,0.209805795993659,0.209984442697783,0.221684381137184,0.247201302804064
"t10392","measurement~ SST_4DaysBefore + max_windBearing_1DaysBefore + median_temperature_3DaysBefore + median_TidalHeight_4DaysBefore+max_humidity_1DaysBefore ",0.235836733501379," SST_4DaysBefore ",0.119015225651255," max_windBearing_1DaysBefore ",0.0976405460673294," median_temperature_3DaysBefore ",0.0605454201088155," median_TidalHeight_4DaysBefore",0.00940731776953035,"max_humidity_1DaysBefore ",0.0065443884171016,0.172463994481662,0.190127903533788,0.216681198300847,0.23583673350138
"t12214","measurement~ max_temperature_8DaysBefore + min_dewPoint_10DaysBefore + median_windSpeed_13DaysBefore+median_humidity_2DaysBefore + median_TidalProp_6DaysBefore ",0.238997506972517," max_temperature_8DaysBefore ",0.131474510285691," min_dewPoint_10DaysBefore ",0.0417574751267529," median_windSpeed_13DaysBefore",0.03326825944676,"median_humidity_2DaysBefore ",0.0298157737918613," median_TidalProp_6DaysBefore ",0.00434510898590284,0.13795060752196,0.179097865152274,0.214014475945438,0.238997506972517
"t13307","measurement~ SST_4DaysBefore + min_windSpeed_14DaysBefore+max_dewPoint_3DaysBefore + median_TidalHeight_7DaysBefore + max_windSpeed_14DaysBefore ",0.230642576269746," SST_4DaysBefore ",0.11597866130872," min_windSpeed_14DaysBefore",0.0713872864638463,"max_dewPoint_3DaysBefore ",0.0490798809031428," median_TidalHeight_7DaysBefore ",0.0176768394111188," max_windSpeed_14DaysBefore ",0.00141127266573579,0.136603972647129,0.181807075650787,0.204642368468349,0.230642576269746
"t14585","measurement~median_temperature_4DaysBefore + SST_9DaysBefore + max_temperature_9DaysBefore + median_humidity_13DaysBefore+ min_TidalProp_7DaysBefore ",0.301423594712879,"median_temperature_4DaysBefore ",0.168339569272207," SST_9DaysBefore ",0.154073676463692," max_temperature_9DaysBefore ",0.0853054801012512," median_humidity_13DaysBefore",0.0382493894202252," min_TidalProp_7DaysBefore ",0.0286785273080786,0.172113171321969,0.218048254040021,0.248341114136163,0.301423594712878
"t3260","measurement~ min_TidalHeight_1DaysBefore + SST_9DaysBefore + median_windBearing_12DaysBefore+min_windSpeed_0DaysBefore + min_humidity_2DaysBefore ",0.228962858113833," min_TidalHeight_1DaysBefore ",0.110778606780801," SST_9DaysBefore ",0.0915353734638728," median_windBearing_12DaysBefore",0.00704457271539798,"min_windSpeed_0DaysBefore ",0.00583249028568115," min_humidity_2DaysBefore ",0.00193044646510528,0.181108237111757,0.190372326503598,0.198116961356282,0.228962858113833
"t3536","measurement~median_temperature_0DaysBefore + max_TidalHeight_0DaysBefore + max_temperature_0DaysBefore + median_windSpeed_9DaysBefore+ max_windBearing_0DaysBefore ",0.0695863101061877,"median_temperature_0DaysBefore ",0.020466385156719," max_TidalHeight_0DaysBefore ",0.0139579467447427," max_temperature_0DaysBefore ",0.0113913426197012," median_windSpeed_9DaysBefore",0.00640893559879875," max_windBearing_0DaysBefore ",0.000151672065034561,0.0319365981921929,0.0492332156101267,0.0565844617946544,0.0695863101061878
"t5033","measurement~ SST_4DaysBefore + max_windBearing_14DaysBefore+SST_2DaysBefore + median_humidity_2DaysBefore + median_windBearing_5DaysBefore ",0.130667445741222," SST_4DaysBefore ",0.058090246916886," max_windBearing_14DaysBefore",0.0465208671019737,"SST_2DaysBefore ",0.0360855468583099," median_humidity_2DaysBefore ",0.00411941376911906," median_windBearing_5DaysBefore ",0.0010242876848216,0.0829151706902821,0.104531319100053,0.111492661860743,0.130667445741222
"t8053","measurement~median_dewPoint_3DaysBefore + min_windSpeed_6DaysBefore + median_humidity_9DaysBefore + range_TidalProp_11DaysBefore+ min_humidity_5DaysBefore ",0.236968563657534,"median_dewPoint_3DaysBefore ",0.142737269762486," min_windSpeed_6DaysBefore ",0.0715685663573962," median_humidity_9DaysBefore ",0.052182254236348," range_TidalProp_11DaysBefore",0.0040027825270155," min_humidity_5DaysBefore ",0.000841790643746712,0.170242586720669,0.21801550890091,0.226894276203053,0.236968563657534
"t8371","measurement~ min_temperature_12DaysBefore+ median_TidalHeight_6DaysBefore +Photoperiod_0DaysBefore + PAR_11DaysBefore + max_TidalProp_6DaysBefore ",0.31651067916902," min_temperature_12DaysBefore",0.118900382611041," median_TidalHeight_6DaysBefore ",0.0828220519192132,"Photoperiod_0DaysBefore ",0.0768805302016923," PAR_11DaysBefore ",0.0123540829962715," max_TidalProp_6DaysBefore ",0.0116308262853609,0.194023711586775,0.210447754431637,0.225964476114354,0.316510679169021
"t8372","measurement~max_humidity_3DaysBefore + max_temperature_7DaysBefore + SST_7DaysBefore + median_temperature_9DaysBefore + max_temperature_9DaysBefore",0.166713793795166,"max_humidity_3DaysBefore ",0.0256225905277549," max_temperature_7DaysBefore ",0.00338959142614297," SST_7DaysBefore ",0.00237658002203957," median_temperature_9DaysBefore ",0.00203661946251153," max_temperature_9DaysBefore",4.97885007726834e-05,0.0280776572517855,0.0283021415837926,0.138435937341687,0.166713793795166
