"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ SST_5DaysBefore + min_windSpeed_8DaysBefore+median_windSpeed_0DaysBefore + median_windBearing_4DaysBefore + median_humidity_6DaysBefore ",0.214028573864672," SST_5DaysBefore ",0.0940213547284277," min_windSpeed_8DaysBefore",0.0246009108274301,"median_windSpeed_0DaysBefore ",0.020099745607603," median_windBearing_4DaysBefore ",0.0163778471916996," median_humidity_6DaysBefore ",0.013665645774782,0.107333069579256,0.199202075416423,0.211548344719155,0.214028573864672
"t10392","measurement~ min_windSpeed_10DaysBefore +median_windBearing_0DaysBefore + PAR_11DaysBefore + Photoperiod_14DaysBefore+ max_TidalHeight_1DaysBefore ",0.138345233348176," min_windSpeed_10DaysBefore ",0.078436948784912,"median_windBearing_0DaysBefore ",0.0415839024363583," PAR_11DaysBefore ",0.0165937035702035," Photoperiod_14DaysBefore",0.0135984731196194," max_TidalHeight_1DaysBefore ",0.00748614335231222,0.0876539384665754,0.0900412088072442,0.0983416192258681,0.138345233348176
"t12214","measurement~ max_dewPoint_7DaysBefore +max_temperature_0DaysBefore + max_temperature_1DaysBefore + max_humidity_0DaysBefore + max_windSpeed_12DaysBefore",0.189282358172475," max_dewPoint_7DaysBefore ",0.136844184573838,"max_temperature_0DaysBefore ",0.0729816615321171," max_temperature_1DaysBefore ",0.0381494216203031," max_humidity_0DaysBefore ",0.00504786313477035," max_windSpeed_12DaysBefore",0.000723113775662777,0.136985063525618,0.160822242943898,0.178661239701108,0.189282358172475
"t13307","measurement~ SST_11DaysBefore +PAR_4DaysBefore + max_humidity_13DaysBefore+ max_dewPoint_10DaysBefore + max_windBearing_8DaysBefore ",0.199096730056494," SST_11DaysBefore ",0.138507012598941,"PAR_4DaysBefore ",0.0644509091012869," max_humidity_13DaysBefore",0.0362682400733653," max_dewPoint_10DaysBefore ",0.0233960522990681," max_windBearing_8DaysBefore ",0.00892364909076759,0.141454473722557,0.142396692950571,0.181920523484017,0.199096730056494
"t14585","measurement~ median_temperature_4DaysBefore +max_dewPoint_3DaysBefore + max_humidity_11DaysBefore + max_windBearing_8DaysBefore + median_TidalHeight_14DaysBefore",0.361120501146167," median_temperature_4DaysBefore ",0.186441117718354,"max_dewPoint_3DaysBefore ",0.0833988884199458," max_humidity_11DaysBefore ",0.00233298015591839," max_windBearing_8DaysBefore ",0.00170341286298528," median_TidalHeight_14DaysBefore",0.000341338956663401,0.20327642108836,0.319483610970558,0.333868867536144,0.361120501146167
"t3260","measurement~ median_TidalProp_9DaysBefore + PAR_11DaysBefore + min_humidity_12DaysBefore + median_dewPoint_14DaysBefore+median_windBearing_7DaysBefore ",0.201670438539508," median_TidalProp_9DaysBefore ",0.0609783249009336," PAR_11DaysBefore ",0.0531890650539758," min_humidity_12DaysBefore ",0.0390182360755571," median_dewPoint_14DaysBefore",0.0120520384496079,"median_windBearing_7DaysBefore ",4.83190149333834e-05,0.151678243462198,0.153653577399381,0.183769882391362,0.201670438539508
"t3536","measurement~ range_TidalProp_7DaysBefore+ PAR_7DaysBefore + max_TidalHeight_4DaysBefore + max_windBearing_3DaysBefore +PAR_0DaysBefore ",0.0573537060644165," range_TidalProp_7DaysBefore",0.01724132762446," PAR_7DaysBefore ",0.00992178871386998," max_TidalHeight_4DaysBefore ",0.00690668430720374," max_windBearing_3DaysBefore ",0.000414094862768754,"PAR_0DaysBefore ",1.55019744205534e-05,0.0354547987719346,0.0434909673239533,0.0478381295730745,0.0573537060644164
"t5033","measurement~ max_windBearing_14DaysBefore+ median_dewPoint_7DaysBefore + max_temperature_0DaysBefore + max_humidity_10DaysBefore +median_temperature_0DaysBefore ",0.126101441611049," max_windBearing_14DaysBefore",0.0455282126689477," median_dewPoint_7DaysBefore ",0.0176180826090733," max_temperature_0DaysBefore ",0.00994347821726453," max_humidity_10DaysBefore ",0.00965528550985763,"median_temperature_0DaysBefore ",0.00592838920233142,0.0520593081749462,0.052093762210943,0.0880710782047325,0.126101441611049
"t8053","measurement~ max_dewPoint_12DaysBefore + SST_7DaysBefore +min_dewPoint_5DaysBefore + min_humidity_9DaysBefore + min_TidalHeight_14DaysBefore",0.0827066219808259," max_dewPoint_12DaysBefore ",0.0571640771242413," SST_7DaysBefore ",0.0282817856321575,"min_dewPoint_5DaysBefore ",0.0278004940588076," min_humidity_9DaysBefore ",0.00207858235097684," min_TidalHeight_14DaysBefore",0.000948142908547502,0.05767066694545,0.0637719942798544,0.0796531446243434,0.0827066219808258
"t8371","measurement~ min_temperature_9DaysBefore + max_windSpeed_11DaysBefore+ min_temperature_8DaysBefore + max_TidalProp_6DaysBefore +median_windSpeed_4DaysBefore ",0.496119321018271," min_temperature_9DaysBefore ",0.136649455560464," max_windSpeed_11DaysBefore",0.0632387000064503," min_temperature_8DaysBefore ",0.0615727926831014," max_TidalProp_6DaysBefore ",0.00459309897170664,"median_windSpeed_4DaysBefore ",0.00256332714983224,0.336334818907699,0.423664283500367,0.466981059393252,0.49611932101827
"t8372","measurement~ SST_7DaysBefore + PAR_4DaysBefore + min_TidalProp_8DaysBefore +median_windBearing_3DaysBefore + median_temperature_9DaysBefore",0.272596666805885," SST_7DaysBefore ",0.0881277955305522," PAR_4DaysBefore ",0.0503303696315698," min_TidalProp_8DaysBefore ",0.0108599354142027,"median_windBearing_3DaysBefore ",0.00463499038032029," median_temperature_9DaysBefore",0.00195928191219944,0.0899660634964584,0.0982630250287483,0.116176359786419,0.272596666805885
