"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~Photoperiod_0DaysBefore + min_temperature_2DaysBefore + PAR_2DaysBefore + PAR_8DaysBefore+ median_windBearing_6DaysBefore ",0.282700179374716,"Photoperiod_0DaysBefore ",0.182713029217918," min_temperature_2DaysBefore ",0.17418886222253," PAR_2DaysBefore ",0.153467471352518," PAR_8DaysBefore",0.112964449302936," median_windBearing_6DaysBefore ",0.0334137267193271,0.227000806284834,0.256200354355072,0.268375155680427,0.282700179374716
"t10392","measurement~ min_dewPoint_3DaysBefore +PAR_1DaysBefore + min_windBearing_12DaysBefore+ median_TidalHeight_5DaysBefore + median_dewPoint_12DaysBefore ",0.338516678111999," min_dewPoint_3DaysBefore ",0.210819419656887,"PAR_1DaysBefore ",0.0902217832493495," min_windBearing_12DaysBefore",0.026621550507512," median_TidalHeight_5DaysBefore ",0.00168083306824658," median_dewPoint_12DaysBefore ",8.42815085346969e-06,0.222674283379147,0.223824493254314,0.224382519642683,0.338516678111999
"t12214","measurement~ Photoperiod_14DaysBefore + min_temperature_7DaysBefore +min_windBearing_3DaysBefore + PAR_8DaysBefore + min_windBearing_14DaysBefore",0.339848425544762," Photoperiod_14DaysBefore ",0.191742054621447," min_temperature_7DaysBefore ",0.132473308666739,"min_windBearing_3DaysBefore ",0.079847960191377," PAR_8DaysBefore ",0.0379834009954467," min_windBearing_14DaysBefore",1.09815682057532e-06,0.200088109805646,0.229050125939594,0.284119973931834,0.339848425544762
"t13307","measurement~ min_windSpeed_14DaysBefore+ max_dewPoint_13DaysBefore + min_dewPoint_12DaysBefore +max_windSpeed_4DaysBefore + median_TidalHeight_6DaysBefore ",0.177923631870865," min_windSpeed_14DaysBefore",0.0566630082946279," max_dewPoint_13DaysBefore ",0.0527531959438296," min_dewPoint_12DaysBefore ",0.00148968818640979,"max_windSpeed_4DaysBefore ",0.000476011335248367," median_TidalHeight_6DaysBefore ",1.50019472061753e-05,0.108976617651805,0.143892126409714,0.170608043493653,0.177923631870865
"t14585","measurement~ max_windBearing_11DaysBefore + PAR_10DaysBefore + max_dewPoint_13DaysBefore + max_humidity_14DaysBefore+median_dewPoint_4DaysBefore ",0.202710214631077," max_windBearing_11DaysBefore ",0.0943879015664165," PAR_10DaysBefore ",0.0442002577049255," max_dewPoint_13DaysBefore ",0.02237172850319," max_humidity_14DaysBefore",0.0076253550002866,"median_dewPoint_4DaysBefore ",4.40255912772874e-05,0.12870124114329,0.131005344358681,0.169156440295677,0.202710214631077
"t3260","measurement~ PAR_8DaysBefore + min_humidity_7DaysBefore + median_humidity_8DaysBefore +min_TidalProp_4DaysBefore + max_windSpeed_11DaysBefore",0.28128284675525," PAR_8DaysBefore ",0.158882991551068," min_humidity_7DaysBefore ",0.0567848738416331," median_humidity_8DaysBefore ",0.0347690711477913,"min_TidalProp_4DaysBefore ",0.0155824419919987," max_windSpeed_11DaysBefore",0.00211059102331353,0.207255902652753,0.228773595667925,0.269209358017041,0.28128284675525
"t3536","measurement~ range_TidalProp_8DaysBefore + PAR_7DaysBefore + min_TidalHeight_9DaysBefore +PAR_0DaysBefore + max_windBearing_9DaysBefore",0.350701995803316," range_TidalProp_8DaysBefore ",0.0797327918130622," PAR_7DaysBefore ",0.0608166746814611," min_TidalHeight_9DaysBefore ",0.0156131133358733,"PAR_0DaysBefore ",0.0015509850622168," max_windBearing_9DaysBefore",3.46354097474115e-06,0.211849044738288,0.272536590025561,0.321765863205099,0.350701995803316
"t5033","measurement~ min_windSpeed_14DaysBefore+ PAR_8DaysBefore + median_TidalHeight_6DaysBefore + range_TidalProp_11DaysBefore +median_windSpeed_0DaysBefore ",0.183224817530421," min_windSpeed_14DaysBefore",0.0542762765955239," PAR_8DaysBefore ",0.0307003499868986," median_TidalHeight_6DaysBefore ",0.0110468752387718," range_TidalProp_11DaysBefore ",0.00238031441066631,"median_windSpeed_0DaysBefore ",0.000789316772184851,0.0697063441276878,0.112563400231092,0.164458230403704,0.183224817530421
"t8053","measurement~min_windSpeed_3DaysBefore + min_windBearing_12DaysBefore+ max_humidity_8DaysBefore + SST_5DaysBefore + max_temperature_8DaysBefore ",0.150384686560764,"min_windSpeed_3DaysBefore ",0.0761437214801403," min_windBearing_12DaysBefore",0.0449957504064718," max_humidity_8DaysBefore ",0.0432496468050796," SST_5DaysBefore ",0.0378402035852173," max_temperature_8DaysBefore ",0.0312114652087326,0.0913403723129557,0.135128116329104,0.138714957005423,0.150384686560764
"t8371","measurement~ median_TidalHeight_6DaysBefore + PAR_5DaysBefore + min_windSpeed_9DaysBefore+median_TidalHeight_4DaysBefore + min_TidalProp_7DaysBefore ",0.636647676117829," median_TidalHeight_6DaysBefore ",0.251304814567879," PAR_5DaysBefore ",0.125424504707233," min_windSpeed_9DaysBefore",0.0592716701010027,"median_TidalHeight_4DaysBefore ",0.0521922325968952," min_TidalProp_7DaysBefore ",0.0299531661904923,0.388717952965693,0.396209789194644,0.490362149806075,0.636647676117829
"t8372","measurement~ PAR_4DaysBefore +median_windBearing_1DaysBefore + max_humidity_13DaysBefore+ SST_9DaysBefore + min_temperature_8DaysBefore ",0.43325124687407," PAR_4DaysBefore ",0.11559873068784,"median_windBearing_1DaysBefore ",0.0648706452795464," max_humidity_13DaysBefore",0.06288743273543," SST_9DaysBefore ",0.0547852303779911," min_temperature_8DaysBefore ",9.76111625645688e-06,0.245665511536266,0.247183331799536,0.247196511929447,0.43325124687407
