"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ min_windSpeed_5DaysBefore+ median_windBearing_3DaysBefore +median_temperature_0DaysBefore + median_humidity_1DaysBefore + min_windSpeed_4DaysBefore ",0.358023670283365," min_windSpeed_5DaysBefore",0.156361236305175," median_windBearing_3DaysBefore ",0.0938330072546351,"median_temperature_0DaysBefore ",0.0934258810575114," median_humidity_1DaysBefore ",0.0476551617386669," min_windSpeed_4DaysBefore ",0.00598085318662487,0.23403243033243,0.299329166461924,0.314548891242729,0.358023670283365
"t10392","measurement~ min_windSpeed_10DaysBefore + SST_12DaysBefore+ SST_10DaysBefore + median_TidalHeight_3DaysBefore +min_temperature_3DaysBefore ",0.368236194718251," min_windSpeed_10DaysBefore ",0.24054209357769," SST_12DaysBefore",0.123291718614794," SST_10DaysBefore ",0.113732500342847," median_TidalHeight_3DaysBefore ",0.0141347545244605,"min_temperature_3DaysBefore ",0.00774284268988779,0.283203903543831,0.289549616242401,0.312750209426277,0.368236194718251
"t12214","measurement~ SST_9DaysBefore + min_windBearing_9DaysBefore + min_windBearing_11DaysBefore+ max_dewPoint_5DaysBefore +PAR_0DaysBefore ",0.202098222972217," SST_9DaysBefore ",0.086978736950349," min_windBearing_9DaysBefore ",0.0545769975756268," min_windBearing_11DaysBefore",0.0413006291159978," max_dewPoint_5DaysBefore ",0.0211769972324326,"PAR_0DaysBefore ",0.00423466043846935,0.133104040945348,0.151692344620634,0.193513578966739,0.202098222972216
"t13307","measurement~ SST_10DaysBefore+ median_humidity_3DaysBefore + median_temperature_7DaysBefore +median_windSpeed_0DaysBefore + max_windSpeed_4DaysBefore ",0.449109814734034," SST_10DaysBefore",0.246104141241023," median_humidity_3DaysBefore ",0.17257865549411," median_temperature_7DaysBefore ",0.105144932809569,"median_windSpeed_0DaysBefore ",0.0996508821506272," max_windSpeed_4DaysBefore ",0.0134521192710295,0.289540495081676,0.39668624632403,0.430888258553151,0.449109814734034
"t14585","measurement~median_temperature_4DaysBefore + max_TidalProp_8DaysBefore + PAR_6DaysBefore + max_humidity_11DaysBefore + median_windBearing_12DaysBefore",0.559275481946959,"median_temperature_4DaysBefore ",0.285737927452769," max_TidalProp_8DaysBefore ",0.12131631920552," PAR_6DaysBefore ",0.102859025997671," max_humidity_11DaysBefore ",0.0172782554728927," median_windBearing_12DaysBefore",0.00258444518409443,0.393037807655261,0.442296530929145,0.55059173392192,0.55927548194696
"t3260","measurement~ max_TidalHeight_4DaysBefore +PAR_0DaysBefore + max_humidity_4DaysBefore + median_windSpeed_2DaysBefore + min_windSpeed_8DaysBefore",0.625540453111898," max_TidalHeight_4DaysBefore ",0.394693611250847,"PAR_0DaysBefore ",0.0915085400331968," max_humidity_4DaysBefore ",0.0881084584599348," median_windSpeed_2DaysBefore ",0.0800904607200557," min_windSpeed_8DaysBefore",0.0075379764230236,0.447768574759984,0.507187172153381,0.610795185749662,0.625540453111898
"t3536","measurement~ median_windSpeed_11DaysBefore + max_temperature_13DaysBefore + min_TidalHeight_14DaysBefore+ SST_4DaysBefore +min_temperature_4DaysBefore ",0.304588232408377," median_windSpeed_11DaysBefore ",0.0976268280628396," max_temperature_13DaysBefore ",0.0325384701790017," min_TidalHeight_14DaysBefore",0.0267094976555113," SST_4DaysBefore ",0.0251408412965874,"min_temperature_4DaysBefore ",0.00151307366162901,0.117941090100028,0.140953226920458,0.141074002925339,0.304588232408377
"t5033","measurement~ min_windSpeed_10DaysBefore +median_humidity_1DaysBefore + max_windBearing_4DaysBefore + min_windBearing_12DaysBefore+ max_windBearing_12DaysBefore ",0.283133385031983," min_windSpeed_10DaysBefore ",0.134999119508326,"median_humidity_1DaysBefore ",0.0932910080383586," max_windBearing_4DaysBefore ",0.0646985392523154," min_windBearing_12DaysBefore",0.0309823809527774," max_windBearing_12DaysBefore ",0.0270724786568676,0.183594023746702,0.20721551462464,0.268289829714022,0.283133385031983
"t8053","measurement~ min_temperature_11DaysBefore+ PAR_9DaysBefore + min_temperature_10DaysBefore +max_temperature_5DaysBefore + median_TidalProp_5DaysBefore ",0.373735876949531," min_temperature_11DaysBefore",0.226994457548022," PAR_9DaysBefore ",0.20200423816723," min_temperature_10DaysBefore ",0.168610924221567,"max_temperature_5DaysBefore ",0.0965566222591938," median_TidalProp_5DaysBefore ",0.000117696105481878,0.273441136719349,0.277719651144772,0.348645805679851,0.373735876949531
"t8371","measurement~ min_temperature_9DaysBefore +max_humidity_4DaysBefore + max_windBearing_4DaysBefore + min_temperature_6DaysBefore + max_windSpeed_11DaysBefore",0.631738789028398," min_temperature_9DaysBefore ",0.208358125792677,"max_humidity_4DaysBefore ",0.0511473517349059," max_windBearing_4DaysBefore ",0.0465311897816343," min_temperature_6DaysBefore ",0.0332108314227782," max_windSpeed_11DaysBefore",0.0189861622711445,0.413571478359106,0.474585405783615,0.56837786903123,0.631738789028397
"t8372","measurement~ SST_7DaysBefore +max_windBearing_5DaysBefore + max_humidity_13DaysBefore+ median_temperature_9DaysBefore + median_dewPoint_11DaysBefore ",0.453564821030968," SST_7DaysBefore ",0.116535846034205,"max_windBearing_5DaysBefore ",0.0330263502600942," max_humidity_13DaysBefore",0.00570444914661057," median_temperature_9DaysBefore ",0.00184497351028379," median_dewPoint_11DaysBefore ",0.000293822240615046,0.127420060531761,0.127463362000195,0.291296102580877,0.453564821030968
