"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ max_dewPoint_13DaysBefore+ median_temperature_5DaysBefore + min_windSpeed_0DaysBefore +median_windSpeed_0DaysBefore + max_windBearing_2DaysBefore ",0.359786480972482," max_dewPoint_13DaysBefore",0.117685680627494," median_temperature_5DaysBefore ",0.082161463023446," min_windSpeed_0DaysBefore ",0.0552173267591337,"median_windSpeed_0DaysBefore ",0.0420298953347615," max_windBearing_2DaysBefore ",0.0148601662256973,0.1247272761593,0.151384389020835,0.330908317375603,0.359786480972482
"t10392","measurement~median_windSpeed_3DaysBefore + SST_12DaysBefore + max_windSpeed_11DaysBefore + max_dewPoint_12DaysBefore + min_TidalProp_14DaysBefore",0.156882488896274,"median_windSpeed_3DaysBefore ",0.0716822733058753," SST_12DaysBefore ",0.0258184815325778," max_windSpeed_11DaysBefore ",0.00716091269687304," max_dewPoint_12DaysBefore ",0.00427416129888143," min_TidalProp_14DaysBefore",0.00154944755988697,0.09630138289251,0.113558613496425,0.148631886689059,0.156882488896274
"t12214","measurement~min_TidalProp_0DaysBefore + min_windSpeed_5DaysBefore + max_windSpeed_0DaysBefore + median_temperature_10DaysBefore+ min_windBearing_6DaysBefore ",0.522106602305408,"min_TidalProp_0DaysBefore ",0.268215819808678," min_windSpeed_5DaysBefore ",0.207097686322386," max_windSpeed_0DaysBefore ",0.161397267621776," median_temperature_10DaysBefore",0.11949355586892," min_windBearing_6DaysBefore ",0.00391169780802469,0.364989302786814,0.403851769606406,0.504363930847384,0.522106602305407
"t13307","measurement~ SST_11DaysBefore + PAR_6DaysBefore + median_dewPoint_3DaysBefore +median_humidity_0DaysBefore + median_windBearing_13DaysBefore",0.233710016945624," SST_11DaysBefore ",0.173762032294885," PAR_6DaysBefore ",0.0923104422718793," median_dewPoint_3DaysBefore ",0.0319853075029829,"median_humidity_0DaysBefore ",0.00528923147163069," median_windBearing_13DaysBefore",2.04305053560905e-05,0.181342187139369,0.216882577447712,0.224810185885001,0.233710016945624
"t14585","measurement~ median_temperature_4DaysBefore +max_temperature_0DaysBefore + max_temperature_9DaysBefore+ min_windBearing_5DaysBefore + max_windBearing_4DaysBefore ",0.644401110871289," median_temperature_4DaysBefore ",0.326107103213973,"max_temperature_0DaysBefore ",0.112230083031333," max_temperature_9DaysBefore",0.0646464293631994," min_windBearing_5DaysBefore ",0.00527732305563204," max_windBearing_4DaysBefore ",0.000187007445012908,0.455433366169542,0.55931426374236,0.581355644252799,0.644401110871289
"t3260","measurement~PAR_1DaysBefore + min_humidity_4DaysBefore + max_humidity_10DaysBefore+ max_dewPoint_2DaysBefore + median_dewPoint_1DaysBefore ",0.592546848034032,"PAR_1DaysBefore ",0.194159988479939," min_humidity_4DaysBefore ",0.0871708392579452," max_humidity_10DaysBefore",0.0318597284127433," max_dewPoint_2DaysBefore ",0.0260333145482176," median_dewPoint_1DaysBefore ",0.0142357333449963,0.292814231452899,0.460606073041166,0.548805670009584,0.592546848034032
"t3536","measurement~ max_windBearing_14DaysBefore+ median_windBearing_6DaysBefore + max_windBearing_9DaysBefore +median_temperature_6DaysBefore + min_temperature_13DaysBefore ",0.0970365223996079," max_windBearing_14DaysBefore",0.0549176582111628," median_windBearing_6DaysBefore ",0.0302497978386901," max_windBearing_9DaysBefore ",0.00463608494609445,"median_temperature_6DaysBefore ",0.00176166320690404," min_temperature_13DaysBefore ",0.00147257734816559,0.0680730381839784,0.0882302070006088,0.0888720343164855,0.097036522399608
"t5033","measurement~ max_windBearing_14DaysBefore+ PAR_6DaysBefore + max_temperature_9DaysBefore +min_temperature_0DaysBefore + max_dewPoint_4DaysBefore ",0.187559701819901," max_windBearing_14DaysBefore",0.12265572414421," PAR_6DaysBefore ",0.0356639364329962," max_temperature_9DaysBefore ",0.00609891543935196,"min_temperature_0DaysBefore ",0.000447611933195813," max_dewPoint_4DaysBefore ",0.000157077034802281,0.125132053394814,0.127165042634598,0.173798002763629,0.187559701819901
"t8053","measurement~ PAR_9DaysBefore +median_humidity_2DaysBefore + range_TidalProp_4DaysBefore + min_windSpeed_11DaysBefore + min_windBearing_13DaysBefore",0.305743511244585," PAR_9DaysBefore ",0.147637266485604,"median_humidity_2DaysBefore ",0.0670513400371405," range_TidalProp_4DaysBefore ",0.060618000588668," min_windSpeed_11DaysBefore ",0.00251025128116741," min_windBearing_13DaysBefore",0.000835949949414974,0.212923014738074,0.264302784302146,0.270843975371024,0.305743511244585
"t8371","measurement~ median_TidalHeight_6DaysBefore + PAR_6DaysBefore + min_humidity_0DaysBefore + min_TidalProp_6DaysBefore+PAR_0DaysBefore ",0.660378822754302," median_TidalHeight_6DaysBefore ",0.234773752393049," PAR_6DaysBefore ",0.127409901606104," min_humidity_0DaysBefore ",0.0592706673463757," min_TidalProp_6DaysBefore",0.0310007710294587,"PAR_0DaysBefore ",0.0185064327391762,0.361329031611681,0.499873301030083,0.609123891010969,0.660378822754302
"t8372","measurement~ SST_8DaysBefore +PAR_5DaysBefore + median_temperature_7DaysBefore + max_TidalHeight_9DaysBefore + max_humidity_10DaysBefore",0.455070072463257," SST_8DaysBefore ",0.114070870274987,"PAR_5DaysBefore ",0.0656099394633365," median_temperature_7DaysBefore ",0.0278946317605735," max_TidalHeight_9DaysBefore ",0.0229071937881234," max_humidity_10DaysBefore",0.0151446113167819,0.115327440278276,0.219680401717935,0.308583168507337,0.455070072463257
