"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ SST_14DaysBefore+ PAR_2DaysBefore + median_dewPoint_2DaysBefore +median_dewPoint_1DaysBefore + max_windBearing_10DaysBefore ",0.28338344388618," SST_14DaysBefore",0.146729963287987," PAR_2DaysBefore ",0.0854450947317444," median_dewPoint_2DaysBefore ",0.0840020233831186,"median_dewPoint_1DaysBefore ",0.0529594162432252," max_windBearing_10DaysBefore ",0.0136488597139641,0.174528313050369,0.183368765052306,0.24480955425726,0.28338344388618
"t10392","measurement~min_dewPoint_3DaysBefore + min_windBearing_5DaysBefore + min_dewPoint_13DaysBefore+ max_windSpeed_8DaysBefore + median_dewPoint_12DaysBefore ",0.26347929159164,"min_dewPoint_3DaysBefore ",0.0578689015684906," min_windBearing_5DaysBefore ",0.0454889308377652," min_dewPoint_13DaysBefore",0.0288727192030167," max_windSpeed_8DaysBefore ",0.0132160803453721," median_dewPoint_12DaysBefore ",0.0106399417555907,0.103884365424329,0.10585328131792,0.125674682136615,0.26347929159164
"t12214","measurement~ Photoperiod_14DaysBefore + PAR_9DaysBefore + median_windBearing_11DaysBefore +median_humidity_4DaysBefore + median_windBearing_14DaysBefore",0.272798474890718," Photoperiod_14DaysBefore ",0.170857355081871," PAR_9DaysBefore ",0.0699495448144451," median_windBearing_11DaysBefore ",0.0162426860883142,"median_humidity_4DaysBefore ",0.00940341810713486," median_windBearing_14DaysBefore",0.00791228795865317,0.190946913104957,0.223877291523536,0.232032175125203,0.272798474890718
"t13307","measurement~ SST_8DaysBefore +median_dewPoint_0DaysBefore + min_windBearing_4DaysBefore + max_TidalProp_1DaysBefore + max_TidalProp_11DaysBefore",0.190848628916448," SST_8DaysBefore ",0.122268675208089,"median_dewPoint_0DaysBefore ",0.0596599717845287," min_windBearing_4DaysBefore ",0.0154039079073609," max_TidalProp_1DaysBefore ",0.00898436477256915," max_TidalProp_11DaysBefore",0.00400386466541833,0.143822243645461,0.154140034221105,0.161822414514476,0.190848628916448
"t14585","measurement~ median_TidalProp_4DaysBefore +max_windBearing_0DaysBefore + max_windBearing_1DaysBefore + median_TidalHeight_1DaysBefore + median_windSpeed_8DaysBefore",0.398875818392429," median_TidalProp_4DaysBefore ",0.14319305951869,"max_windBearing_0DaysBefore ",0.0911300907145349," max_windBearing_1DaysBefore ",0.0125572454212828," median_TidalHeight_1DaysBefore ",0.00936374484745846," median_windSpeed_8DaysBefore",0.00788277269265927,0.198558976625617,0.292386520464943,0.357986914472592,0.398875818392429
"t3260","measurement~ max_dewPoint_5DaysBefore +median_temperature_0DaysBefore + max_TidalProp_11DaysBefore+ median_temperature_2DaysBefore + min_humidity_0DaysBefore ",0.166491372339123," max_dewPoint_5DaysBefore ",0.0438504521508448,"median_temperature_0DaysBefore ",0.0421453940632988," max_TidalProp_11DaysBefore",0.0208552670774322," median_temperature_2DaysBefore ",0.0176186482241871," min_humidity_0DaysBefore ",0.00363980228393796,0.0459241670452561,0.0693879708743078,0.132752544128092,0.166491372339123
"t3536","measurement~ max_dewPoint_9DaysBefore+ median_TidalHeight_9DaysBefore + max_temperature_9DaysBefore + max_humidity_8DaysBefore +max_windBearing_1DaysBefore ",0.341759534498832," max_dewPoint_9DaysBefore",0.108970815824456," median_TidalHeight_9DaysBefore ",0.0448836631407596," max_temperature_9DaysBefore ",0.0254808616572325," max_humidity_8DaysBefore ",0.000916557253938404,"max_windBearing_1DaysBefore ",0.000491208364792713,0.14923107424271,0.244086335923285,0.282494059455174,0.341759534498832
"t5033","measurement~ SST_6DaysBefore+min_temperature_0DaysBefore + SST_1DaysBefore + max_humidity_4DaysBefore + PAR_5DaysBefore ",0.125262011539733," SST_6DaysBefore",0.0366048802461357,"min_temperature_0DaysBefore ",0.0254170129843294," SST_1DaysBefore ",0.0230308940946382," max_humidity_4DaysBefore ",0.00769808014467683," PAR_5DaysBefore ",0.0015847814689054,0.0369843845438975,0.0596369021586824,0.0655161915292711,0.125262011539733
"t8053","measurement~ SST_14DaysBefore + max_humidity_8DaysBefore +min_temperature_0DaysBefore + min_windSpeed_3DaysBefore + min_TidalProp_14DaysBefore",0.160111606082606," SST_14DaysBefore ",0.0725231511066293," max_humidity_8DaysBefore ",0.0461996391931229,"min_temperature_0DaysBefore ",0.0298805991144352," min_windSpeed_3DaysBefore ",0.0262883345485883," min_TidalProp_14DaysBefore",0.0127660092269665,0.10285853089464,0.114604709643488,0.147116217463875,0.160111606082606
"t8371","measurement~ median_TidalHeight_6DaysBefore + min_temperature_13DaysBefore+PAR_5DaysBefore + median_temperature_8DaysBefore + range_TidalProp_7DaysBefore ",0.405546527702158," median_TidalHeight_6DaysBefore ",0.163107967465914," min_temperature_13DaysBefore",0.0954742566112325,"PAR_5DaysBefore ",0.0837150819167846," median_temperature_8DaysBefore ",0.0447902024148984," range_TidalProp_7DaysBefore ",0.00665600499991943,0.241624910243641,0.271780012027178,0.329241308873923,0.405546527702158
