"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~min_TidalHeight_0DaysBefore + min_dewPoint_5DaysBefore + median_dewPoint_5DaysBefore + max_dewPoint_11DaysBefore+ min_windSpeed_2DaysBefore ",0.138083814679179,"min_TidalHeight_0DaysBefore ",0.0669088968112278," min_dewPoint_5DaysBefore ",0.0259745947952047," median_dewPoint_5DaysBefore ",0.00675922796567816," max_dewPoint_11DaysBefore",0.00562463282753157," min_windSpeed_2DaysBefore ",0.000370073889229938,0.0734261737165652,0.107766989940226,0.12052315299028,0.138083814679179
"t10392","measurement~ max_windBearing_14DaysBefore+ median_windBearing_6DaysBefore + max_windSpeed_5DaysBefore + median_windBearing_9DaysBefore +max_humidity_2DaysBefore ",0.201077305541802," max_windBearing_14DaysBefore",0.111052121213519," median_windBearing_6DaysBefore ",0.0938045945168666," max_windSpeed_5DaysBefore ",0.0753526657927688," median_windBearing_9DaysBefore ",0.0560386970407118,"max_humidity_2DaysBefore ",0.00371445445203998,0.1616784366063,0.165935057996354,0.192449025568554,0.201077305541802
"t12214","measurement~median_dewPoint_2DaysBefore + range_TidalProp_9DaysBefore + min_TidalHeight_9DaysBefore + max_windSpeed_13DaysBefore+ median_dewPoint_13DaysBefore ",0.141634807037355,"median_dewPoint_2DaysBefore ",0.0799560648898421," range_TidalProp_9DaysBefore ",0.0255399920633125," min_TidalHeight_9DaysBefore ",0.00579258721188658," max_windSpeed_13DaysBefore",0.00246365289048813," median_dewPoint_13DaysBefore ",0.00235142748737182,0.112332375444713,0.1141838170775,0.125451757280174,0.141634807037355
"t13307","measurement~ PAR_0DaysBefore + min_temperature_0DaysBefore +median_temperature_0DaysBefore + SST_0DaysBefore+ max_temperature_0DaysBefore ",0.0393154278786043," PAR_0DaysBefore ",0.0281244172706785," min_temperature_0DaysBefore ",0.0098157501383876,"median_temperature_0DaysBefore ",0.000274138978111533," SST_0DaysBefore",0.000135006815642299," max_temperature_0DaysBefore ",3.42624403489211e-05,0.0379430238041537,0.038757038738056,0.0391562314132669,0.0393154278786043
"t14585","measurement~median_dewPoint_2DaysBefore + median_dewPoint_14DaysBefore + max_humidity_7DaysBefore + min_TidalProp_14DaysBefore + max_windBearing_14DaysBefore",0.350517761620405,"median_dewPoint_2DaysBefore ",0.206607418644307," median_dewPoint_14DaysBefore ",0.152394502863108," max_humidity_7DaysBefore ",0.105017195596996," min_TidalProp_14DaysBefore ",0.0893394922831954," max_windBearing_14DaysBefore",0.0885810229021453,0.251685270308521,0.281708545622231,0.339455828094893,0.350517761620405
"t3260","measurement~ median_dewPoint_10DaysBefore + min_windBearing_7DaysBefore +max_temperature_1DaysBefore + PAR_11DaysBefore+ median_TidalHeight_5DaysBefore ",0.219978756656727," median_dewPoint_10DaysBefore ",0.0610364192758567," min_windBearing_7DaysBefore ",0.057172140033321,"max_temperature_1DaysBefore ",0.0506281442576748," PAR_11DaysBefore",0.0360396505511451," median_TidalHeight_5DaysBefore ",0.0203663488552318,0.105031518115726,0.18291235924069,0.192083443083019,0.219978756656727
"t3536","measurement~ max_dewPoint_10DaysBefore + min_humidity_9DaysBefore + median_humidity_9DaysBefore +SST_4DaysBefore + median_windBearing_13DaysBefore",0.0524989586473051," max_dewPoint_10DaysBefore ",0.0187698238960588," min_humidity_9DaysBefore ",0.0133432052003147," median_humidity_9DaysBefore ",0.00984859722490107,"SST_4DaysBefore ",0.00265873823541115," median_windBearing_13DaysBefore",0.00118515374303121,0.0351211347948481,0.0364242305864617,0.0436865463377109,0.0524989586473051
"t5033","measurement~ max_humidity_12DaysBefore + median_windBearing_2DaysBefore +median_windSpeed_0DaysBefore + median_TidalProp_4DaysBefore + median_windBearing_13DaysBefore",0.151647976551024," max_humidity_12DaysBefore ",0.0688246276715506," median_windBearing_2DaysBefore ",0.0500863210983975,"median_windSpeed_0DaysBefore ",0.0340899712533244," median_TidalProp_4DaysBefore ",0.0194387122354015," median_windBearing_13DaysBefore",0.00285600816307105,0.116664135620849,0.121215290084662,0.144055752986378,0.151647976551023
"t8053","measurement~ SST_9DaysBefore +min_windBearing_2DaysBefore + min_windBearing_6DaysBefore + min_windSpeed_13DaysBefore+ PAR_7DaysBefore ",0.118312789603013," SST_9DaysBefore ",0.077510770854912,"min_windBearing_2DaysBefore ",0.0438978145443837," min_windBearing_6DaysBefore ",0.0152806064796462," min_windSpeed_13DaysBefore",0.00489241328006876," PAR_7DaysBefore ",0.00116694869758618,0.0980999728516969,0.101047330961784,0.112927433654641,0.118312789603013
"t8371","measurement~ max_windSpeed_11DaysBefore + min_dewPoint_11DaysBefore + median_dewPoint_11DaysBefore +max_temperature_9DaysBefore + median_windBearing_11DaysBefore",0.4457087438666," max_windSpeed_11DaysBefore ",0.212312240373334," min_dewPoint_11DaysBefore ",0.096212858004835," median_dewPoint_11DaysBefore ",0.026896638346344,"max_temperature_9DaysBefore ",0.0255883460980169," median_windBearing_11DaysBefore",0.000584603742435673,0.297264711354432,0.355704202663053,0.39657816138321,0.445708743866601
