"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~max_TidalProp_4DaysBefore + SST_14DaysBefore + median_windBearing_14DaysBefore+ min_dewPoint_5DaysBefore + median_humidity_12DaysBefore ",0.373029283384696,"max_TidalProp_4DaysBefore ",0.165315503896144," SST_14DaysBefore ",0.137360783427965," median_windBearing_14DaysBefore",0.0373725562405879," min_dewPoint_5DaysBefore ",0.0153502783920284," median_humidity_12DaysBefore ",0.00815352772737713,0.27585540348693,0.331390086342401,0.346641952407502,0.373029283384696
"t10392","measurement~median_TidalProp_1DaysBefore + min_windSpeed_4DaysBefore + min_windBearing_6DaysBefore + min_windBearing_14DaysBefore+ min_windBearing_7DaysBefore ",0.192455367630628,"median_TidalProp_1DaysBefore ",0.0802434052342385," min_windSpeed_4DaysBefore ",0.0641529720626506," min_windBearing_6DaysBefore ",0.00533647442818737," min_windBearing_14DaysBefore",0.00306587688761396," min_windBearing_7DaysBefore ",0.00120793335238527,0.108213983828753,0.134105670729963,0.183463730471542,0.192455367630628
"t12214","measurement~ min_temperature_8DaysBefore + max_windSpeed_11DaysBefore+ max_temperature_1DaysBefore + min_windBearing_6DaysBefore +median_temperature_0DaysBefore ",0.317546519627476," min_temperature_8DaysBefore ",0.0241396160496446," max_windSpeed_11DaysBefore",0.019165857529475," max_temperature_1DaysBefore ",0.0128084367945312," min_windBearing_6DaysBefore ",0.00789920350678565,"median_temperature_0DaysBefore ",0.0070848158230449,0.0528592874554166,0.0572499141206298,0.0709119301797088,0.317546519627477
"t13307","measurement~ median_dewPoint_14DaysBefore+ PAR_11DaysBefore + min_dewPoint_9DaysBefore + median_humidity_7DaysBefore +Photoperiod_0DaysBefore ",0.133061171877184," median_dewPoint_14DaysBefore",0.051312011297524," PAR_11DaysBefore ",0.0106611204594694," min_dewPoint_9DaysBefore ",0.00878872188997679," median_humidity_7DaysBefore ",0.00557051538572869,"Photoperiod_0DaysBefore ",0.00259350767157892,0.0518311045595249,0.05276240583974,0.0591364806335606,0.133061171877184
"t14585","measurement~min_dewPoint_2DaysBefore + min_windBearing_8DaysBefore + median_humidity_9DaysBefore + median_humidity_10DaysBefore+ median_windBearing_8DaysBefore ",0.536783708288222,"min_dewPoint_2DaysBefore ",0.268025644341075," min_windBearing_8DaysBefore ",0.0951280399942978," median_humidity_9DaysBefore ",0.0928989946848125," median_humidity_10DaysBefore",0.046234148454508," median_windBearing_8DaysBefore ",0.000179758624046881,0.389053845342502,0.478630063355867,0.497827370116183,0.536783708288222
"t3260","measurement~ max_humidity_5DaysBefore +max_temperature_0DaysBefore + max_windSpeed_13DaysBefore+ max_TidalHeight_2DaysBefore + max_windSpeed_5DaysBefore ",0.223971396678551," max_humidity_5DaysBefore ",0.129520256371394,"max_temperature_0DaysBefore ",0.0411045332628654," max_windSpeed_13DaysBefore",0.0143815729805501," max_TidalHeight_2DaysBefore ",0.00260477136456846," max_windSpeed_5DaysBefore ",0.00116831966735815,0.165388992618085,0.193446126779184,0.213834006035337,0.223971396678551
"t3536","measurement~ max_dewPoint_10DaysBefore + median_humidity_9DaysBefore + min_windBearing_13DaysBefore+ SST_12DaysBefore +min_windSpeed_5DaysBefore ",0.339519903497437," max_dewPoint_10DaysBefore ",0.120053965997409," median_humidity_9DaysBefore ",0.0792140539832555," min_windBearing_13DaysBefore",0.0460609472471295," SST_12DaysBefore ",0.00889620283823757,"min_windSpeed_5DaysBefore ",0.000492670076168119,0.237389497870726,0.313086175033677,0.31934396443042,0.339519903497437
"t5033","measurement~Photoperiod_0DaysBefore + median_windSpeed_0DaysBefore + median_dewPoint_14DaysBefore+ max_windSpeed_9DaysBefore + max_humidity_10DaysBefore ",0.186468934585182,"Photoperiod_0DaysBefore ",0.0371406702204925," median_windSpeed_0DaysBefore ",0.00546081711402221," median_dewPoint_14DaysBefore",0.00453200736199121," max_windSpeed_9DaysBefore ",0.00312580970135456," max_humidity_10DaysBefore ",0.000698051142236676,0.046203665067764,0.0860760748985799,0.161844683231225,0.186468934585182
"t8053","measurement~ SST_9DaysBefore + max_windSpeed_8DaysBefore + median_windSpeed_12DaysBefore +median_windSpeed_0DaysBefore + median_TidalProp_13DaysBefore",0.206207837457732," SST_9DaysBefore ",0.10519923977144," max_windSpeed_8DaysBefore ",0.0364305172333108," median_windSpeed_12DaysBefore ",0.0077133898819092,"median_windSpeed_0DaysBefore ",0.00536708954084484," median_TidalProp_13DaysBefore",0.00062392487689356,0.107393536655254,0.130816264278512,0.147142227167529,0.206207837457732
"t8371","measurement~ Photoperiod_14DaysBefore+ min_temperature_14DaysBefore +median_TidalHeight_1DaysBefore + max_humidity_7DaysBefore + max_temperature_2DaysBefore ",0.550769306270507," Photoperiod_14DaysBefore",0.192714549367962," min_temperature_14DaysBefore ",0.0808417880636551,"median_TidalHeight_1DaysBefore ",0.036388407022038," max_humidity_7DaysBefore ",0.0131216198763162," max_temperature_2DaysBefore ",0.0020546369131564,0.201139927691345,0.427723653805092,0.503890422279185,0.550769306270507
"t8372","measurement~ max_windBearing_9DaysBefore +max_windSpeed_0DaysBefore + min_windBearing_13DaysBefore+ max_windBearing_12DaysBefore + median_TidalProp_1DaysBefore ",0.181949410397825," max_windBearing_9DaysBefore ",0.0492760392141627,"max_windSpeed_0DaysBefore ",0.0462869482958539," min_windBearing_13DaysBefore",0.0429809914017873," max_windBearing_12DaysBefore ",0.04213184722684," median_TidalProp_1DaysBefore ",0.000844261909258811,0.0704718758202807,0.114055420349878,0.173842636960538,0.181949410397825
