"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~max_windBearing_0DaysBefore + median_windBearing_5DaysBefore + min_TidalHeight_9DaysBefore + median_TidalProp_14DaysBefore+ min_windSpeed_2DaysBefore ",0.332384006721454,"max_windBearing_0DaysBefore ",0.113394061273514," median_windBearing_5DaysBefore ",0.0828453689936936," min_TidalHeight_9DaysBefore ",0.0785812866937051," median_TidalProp_14DaysBefore",0.0198095343111479," min_windSpeed_2DaysBefore ",0.00160035743183718,0.260341205571539,0.287222432985248,0.293362749200504,0.332384006721454
"t10392","measurement~ max_windBearing_14DaysBefore+ median_windBearing_6DaysBefore + max_windSpeed_5DaysBefore + median_windBearing_9DaysBefore +range_TidalProp_1DaysBefore ",0.439026410224295," max_windBearing_14DaysBefore",0.313907538994894," median_windBearing_6DaysBefore ",0.230188124038893," max_windSpeed_5DaysBefore ",0.179404208358595," median_windBearing_9DaysBefore ",0.139481260670926,"range_TidalProp_1DaysBefore ",0.0238861942304855,0.36876502466951,0.37363993262678,0.423119338308361,0.439026410224295
"t12214","measurement~min_dewPoint_2DaysBefore + median_windSpeed_4DaysBefore + min_TidalProp_14DaysBefore + max_dewPoint_14DaysBefore+ median_humidity_9DaysBefore ",0.215087998216666,"min_dewPoint_2DaysBefore ",0.136718776892467," median_windSpeed_4DaysBefore ",0.0860163366340179," min_TidalProp_14DaysBefore ",0.000750213115146443," max_dewPoint_14DaysBefore",0.000553772608689534," median_humidity_9DaysBefore ",0.00030226191861734,0.184011326835135,0.189012219950297,0.193789722007415,0.215087998216666
"t13307","measurement~ min_TidalProp_11DaysBefore + max_dewPoint_1DaysBefore + min_humidity_14DaysBefore + min_windBearing_14DaysBefore+max_humidity_0DaysBefore ",0.438590667207594," min_TidalProp_11DaysBefore ",0.282641080707777," max_dewPoint_1DaysBefore ",0.06592638011812," min_humidity_14DaysBefore ",0.0576207352007344," min_windBearing_14DaysBefore",0.0515847783610785,"max_humidity_0DaysBefore ",0.00231248877926788,0.314373027891429,0.38322613498649,0.417227700707903,0.438590667207594
"t14585","measurement~ median_windBearing_12DaysBefore+ min_humidity_4DaysBefore +median_temperature_1DaysBefore + min_windBearing_2DaysBefore + median_windSpeed_9DaysBefore ",0.506679244693926," median_windBearing_12DaysBefore",0.192643839736012," min_humidity_4DaysBefore ",0.142097714504497,"median_temperature_1DaysBefore ",0.137876671039201," min_windBearing_2DaysBefore ",0.0846892106009229," median_windSpeed_9DaysBefore ",0.0225354689920427,0.323157782048548,0.411080797844203,0.445695475218229,0.506679244693927
"t3260","measurement~ max_TidalHeight_6DaysBefore + median_temperature_2DaysBefore + min_temperature_10DaysBefore+max_windSpeed_1DaysBefore + max_windBearing_9DaysBefore ",0.523202014085708," max_TidalHeight_6DaysBefore ",0.257025815458301," median_temperature_2DaysBefore ",0.210966600595152," min_temperature_10DaysBefore",0.074373946716538,"max_windSpeed_1DaysBefore ",0.0396861633048073," max_windBearing_9DaysBefore ",0.000334889289747659,0.42245880391886,0.430968150550769,0.467908194372402,0.523202014085708
"t3536","measurement~ median_TidalProp_6DaysBefore+ median_temperature_3DaysBefore + min_windBearing_1DaysBefore + max_temperature_2DaysBefore +max_humidity_1DaysBefore ",0.412369379899338," median_TidalProp_6DaysBefore",0.244449373659591," median_temperature_3DaysBefore ",0.220899101754523," min_windBearing_1DaysBefore ",0.0796651699824602," max_temperature_2DaysBefore ",0.0329490999111259,"max_humidity_1DaysBefore ",0.000133488484747533,0.303519416763964,0.377718606876944,0.383371849558231,0.412369379899338
"t5033","measurement~ max_windBearing_14DaysBefore+ median_windBearing_6DaysBefore +max_TidalProp_3DaysBefore + max_windSpeed_4DaysBefore + Photoperiod_14DaysBefore ",0.261179601579085," max_windBearing_14DaysBefore",0.161629060255955," median_windBearing_6DaysBefore ",0.133863567005879,"max_TidalProp_3DaysBefore ",0.0334277435281762," max_windSpeed_4DaysBefore ",0.00742407362612233," Photoperiod_14DaysBefore ",0.00027970799225269,0.198834378584425,0.227481198020344,0.246524813384729,0.261179601579085
"t8053","measurement~ median_windSpeed_3DaysBefore +max_humidity_3DaysBefore + median_TidalProp_9DaysBefore+ median_windSpeed_6DaysBefore + max_windBearing_3DaysBefore ",0.332129727406242," median_windSpeed_3DaysBefore ",0.199976286907116,"max_humidity_3DaysBefore ",0.0810096447430237," median_TidalProp_9DaysBefore",0.0553947673017482," median_windSpeed_6DaysBefore ",0.0243973898113799," max_windBearing_3DaysBefore ",0.0140556592584052,0.211132280059611,0.267437910118142,0.325421044191616,0.332129727406242
"t8371","measurement~ median_windSpeed_14DaysBefore+ median_TidalHeight_6DaysBefore +min_temperature_0DaysBefore + median_windBearing_12DaysBefore + min_temperature_6DaysBefore ",0.568853659774571," median_windSpeed_14DaysBefore",0.185243074660984," median_TidalHeight_6DaysBefore ",0.173005006856332,"min_temperature_0DaysBefore ",0.114597153008466," median_windBearing_12DaysBefore ",0.0887669259631574," min_temperature_6DaysBefore ",0.0100708267518426,0.361040360214773,0.391643631087876,0.397637272122856,0.568853659774571
"t8372","measurement~max_windSpeed_0DaysBefore + min_windBearing_8DaysBefore + median_windSpeed_2DaysBefore + median_windSpeed_6DaysBefore + min_windSpeed_13DaysBefore",0.21193687891775,"max_windSpeed_0DaysBefore ",0.077933392935547," min_windBearing_8DaysBefore ",0.0241609622175816," median_windSpeed_2DaysBefore ",0.021637978980445," median_windSpeed_6DaysBefore ",0.0141750518154606," min_windSpeed_13DaysBefore",0.00914475844336886,0.139927877308652,0.163355176383656,0.202410149206954,0.21193687891775
