"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ max_windBearing_14DaysBefore+ median_humidity_9DaysBefore +min_dewPoint_2DaysBefore + max_windBearing_11DaysBefore + median_TidalProp_12DaysBefore ",0.290403727112387," max_windBearing_14DaysBefore",0.138122126922361," median_humidity_9DaysBefore ",0.0479996114788319,"min_dewPoint_2DaysBefore ",0.0427478823566794," max_windBearing_11DaysBefore ",0.00217306623930479," median_TidalProp_12DaysBefore ",0.000135799699303034,0.155040215688571,0.247386696928988,0.266019706450265,0.290403727112388
"t10392","measurement~ median_windBearing_6DaysBefore + max_windBearing_14DaysBefore+ max_windSpeed_10DaysBefore + median_TidalProp_4DaysBefore +median_TidalProp_1DaysBefore ",0.260141177436803," median_windBearing_6DaysBefore ",0.121311176711006," max_windBearing_14DaysBefore",0.110116650760143," max_windSpeed_10DaysBefore ",0.00369989080423988," median_TidalProp_4DaysBefore ",0.00258672484172907,"median_TidalProp_1DaysBefore ",0.000882267197946796,0.193977415791865,0.194269684681301,0.194575554286983,0.260141177436803
"t12214","measurement~ max_windSpeed_7DaysBefore + min_dewPoint_2DaysBefore + median_windSpeed_8DaysBefore+max_temperature_0DaysBefore + median_windBearing_7DaysBefore ",0.263480635443046," max_windSpeed_7DaysBefore ",0.0735098647049018," min_dewPoint_2DaysBefore ",0.067333093233877," median_windSpeed_8DaysBefore",0.0442697783731972,"max_temperature_0DaysBefore ",0.0230239631864995," median_windBearing_7DaysBefore ",0.0110779594672963,0.136385718751494,0.147663607701976,0.190416727388088,0.263480635443046
"t13307","measurement~ median_windBearing_7DaysBefore + min_TidalProp_10DaysBefore +median_TidalProp_0DaysBefore + min_windSpeed_13DaysBefore+ min_windSpeed_7DaysBefore ",0.298554304360527," median_windBearing_7DaysBefore ",0.159638988845132," min_TidalProp_10DaysBefore ",0.124594371695374,"median_TidalProp_0DaysBefore ",0.0454341412693737," min_windSpeed_13DaysBefore",0.0192420645650154," min_windSpeed_7DaysBefore ",0.0163762588107461,0.243928377948359,0.248687914666224,0.249152512304921,0.298554304360527
"t14585","measurement~max_dewPoint_2DaysBefore + SST_12DaysBefore + min_temperature_14DaysBefore+ min_windSpeed_7DaysBefore + median_TidalProp_3DaysBefore ",0.499679764025703,"max_dewPoint_2DaysBefore ",0.291928471508462," SST_12DaysBefore ",0.247328069907029," min_temperature_14DaysBefore",0.216454701820677," min_windSpeed_7DaysBefore ",0.0664140588383911," median_TidalProp_3DaysBefore ",0.0377506114862931,0.384309278376618,0.401432416438829,0.480644752075228,0.499679764025703
"t3260","measurement~ max_TidalHeight_11DaysBefore+ median_humidity_5DaysBefore +min_windSpeed_0DaysBefore + max_windBearing_9DaysBefore + max_windBearing_3DaysBefore ",0.67586351832921," max_TidalHeight_11DaysBefore",0.409755712409356," median_humidity_5DaysBefore ",0.154904080350903,"min_windSpeed_0DaysBefore ",0.0587496506997446," max_windBearing_9DaysBefore ",0.00331069013408892," max_windBearing_3DaysBefore ",0.00171042649392528,0.540299596118063,0.558315013221076,0.654913517754711,0.67586351832921
"t3536","measurement~ max_windBearing_14DaysBefore+ median_windBearing_6DaysBefore + median_windBearing_4DaysBefore +PAR_4DaysBefore + min_TidalHeight_10DaysBefore ",0.100586912317007," max_windBearing_14DaysBefore",0.0553664722106512," median_windBearing_6DaysBefore ",0.0373612088225486," median_windBearing_4DaysBefore ",0.0256779920817181,"PAR_4DaysBefore ",0.0099316720459789," min_TidalHeight_10DaysBefore ",0.00736315340073242,0.0780549640734722,0.0853355607603354,0.0872207540442621,0.100586912317007
"t5033","measurement~ max_windBearing_14DaysBefore+median_windBearing_7DaysBefore + PAR_13DaysBefore + max_humidity_13DaysBefore + min_humidity_9DaysBefore ",0.21267074541269," max_windBearing_14DaysBefore",0.125853356393111,"median_windBearing_7DaysBefore ",0.100882783910871," PAR_13DaysBefore ",0.0634882791554742," max_humidity_13DaysBefore ",0.0588658204669033," min_humidity_9DaysBefore ",0.0041131581563244,0.17149431628914,0.172914465243982,0.198652095305868,0.21267074541269
"t8053","measurement~ median_humidity_10DaysBefore + max_humidity_6DaysBefore +max_temperature_2DaysBefore + max_windBearing_9DaysBefore + min_windSpeed_11DaysBefore",0.194776971147505," median_humidity_10DaysBefore ",0.12930521587015," max_humidity_6DaysBefore ",0.0743507073450246,"max_temperature_2DaysBefore ",0.0119824036295005," max_windBearing_9DaysBefore ",0.0012084751470552," min_windSpeed_11DaysBefore",0.000391410989732423,0.166649324753194,0.176907007139848,0.187531521438301,0.194776971147505
"t8371","measurement~ max_windSpeed_11DaysBefore+Photoperiod_0DaysBefore + max_windBearing_3DaysBefore + min_humidity_11DaysBefore + range_TidalProp_6DaysBefore ",0.672215854507939," max_windSpeed_11DaysBefore",0.321317078407532,"Photoperiod_0DaysBefore ",0.238346896724183," max_windBearing_3DaysBefore ",0.121277336589166," min_humidity_11DaysBefore ",0.0298014417925411," range_TidalProp_6DaysBefore ",0.0288608263203939,0.37052882364797,0.493359164259285,0.610789334749299,0.672215854507939
