"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ min_windSpeed_10DaysBefore + min_temperature_10DaysBefore + min_temperature_11DaysBefore+ max_windBearing_3DaysBefore +median_humidity_3DaysBefore ",0.189922852193226," min_windSpeed_10DaysBefore ",0.121322973158982," min_temperature_10DaysBefore ",0.0806406442644635," min_temperature_11DaysBefore",0.0747901804869131," max_windBearing_3DaysBefore ",0.012529086130461,"median_humidity_3DaysBefore ",0.0007931922666004,0.180283712300239,0.181572409340527,0.18904397302017,0.189922852193226
"t10392","measurement~ max_windBearing_10DaysBefore +median_windBearing_0DaysBefore + median_dewPoint_3DaysBefore + median_humidity_10DaysBefore + min_windBearing_11DaysBefore",0.108420653754752," max_windBearing_10DaysBefore ",0.0773908991244472,"median_windBearing_0DaysBefore ",0.0184571974023633," median_dewPoint_3DaysBefore ",0.00537499587080311," median_humidity_10DaysBefore ",0.00429228583757256," min_windBearing_11DaysBefore",0.00332081514691704,0.078734769354769,0.0819940566254015,0.108026828509201,0.108420653754752
"t12214","measurement~ SST_0DaysBefore + median_TidalProp_10DaysBefore+ median_temperature_10DaysBefore +max_temperature_0DaysBefore + max_windBearing_8DaysBefore ",0.240737067242686," SST_0DaysBefore ",0.153615268828626," median_TidalProp_10DaysBefore",0.125513878583642," median_temperature_10DaysBefore ",0.0994827443333601,"max_temperature_0DaysBefore ",0.0685847381442984," max_windBearing_8DaysBefore ",1.83650576712659e-06,0.153765192407737,0.162911727299967,0.224835930917333,0.240737067242686
"t13307","measurement~ max_windSpeed_2DaysBefore + min_temperature_3DaysBefore +median_temperature_0DaysBefore + min_windSpeed_3DaysBefore+ min_TidalHeight_1DaysBefore ",0.0902209210216113," max_windSpeed_2DaysBefore ",0.0826516653991164," min_temperature_3DaysBefore ",0.0321071317287866,"median_temperature_0DaysBefore ",0.0279609722801137," min_windSpeed_3DaysBefore",0.0154357402900681," min_TidalHeight_1DaysBefore ",0.0113848679893212,0.0854871394111047,0.0870243059146279,0.0901309628041288,0.0902209210216113
"t14585","measurement~ median_TidalHeight_8DaysBefore + median_temperature_9DaysBefore +min_temperature_2DaysBefore + PAR_13DaysBefore+ max_windSpeed_9DaysBefore ",0.154206104911395," median_TidalHeight_8DaysBefore ",0.0886231339688684," median_temperature_9DaysBefore ",0.0596923434148613,"min_temperature_2DaysBefore ",0.0451670583610356," PAR_13DaysBefore",0.0436954213644207," max_windSpeed_9DaysBefore ",0.0252909803860925,0.105606130663689,0.105847037332085,0.129974020956202,0.154206104911395
"t3260","measurement~ min_TidalProp_3DaysBefore + range_TidalProp_9DaysBefore+ median_windBearing_6DaysBefore + min_windBearing_1DaysBefore +median_dewPoint_0DaysBefore ",0.137448779473882," min_TidalProp_3DaysBefore ",0.0684039040060702," range_TidalProp_9DaysBefore",0.0349640061961507," median_windBearing_6DaysBefore ",0.0308279936401232," min_windBearing_1DaysBefore ",0.0161648615137871,"median_dewPoint_0DaysBefore ",0.00460752973327793,0.0809221740214937,0.128579336983321,0.133746142708315,0.137448779473882
"t3536","measurement~ max_dewPoint_4DaysBefore + SST_0DaysBefore + max_windBearing_3DaysBefore +median_temperature_0DaysBefore + min_humidity_14DaysBefore",0.0697054770405138," max_dewPoint_4DaysBefore ",0.0478479702162806," SST_0DaysBefore ",0.0318926603879924," max_windBearing_3DaysBefore ",0.0268878828743298,"median_temperature_0DaysBefore ",0.016704450553757," min_humidity_14DaysBefore",3.93928201732606e-05,0.0504791227124707,0.0632272962120065,0.0696397674128315,0.0697054770405138
"t5033","measurement~ median_windSpeed_1DaysBefore + min_humidity_9DaysBefore+ min_humidity_4DaysBefore +max_temperature_0DaysBefore + median_TidalProp_2DaysBefore ",0.141742814451284," median_windSpeed_1DaysBefore ",0.106619899201763," min_humidity_9DaysBefore",0.0961518310468966," min_humidity_4DaysBefore ",0.0575527351551694,"max_temperature_0DaysBefore ",0.0360655463623149," median_TidalProp_2DaysBefore ",0.0271920141746758,0.133057787122408,0.135877452782348,0.141669170187697,0.141742814451284
"t8053","measurement~median_temperature_2DaysBefore + min_temperature_13DaysBefore + median_dewPoint_8DaysBefore + min_temperature_14DaysBefore+ max_windSpeed_10DaysBefore ",0.229779096189688,"median_temperature_2DaysBefore ",0.181634190288055," min_temperature_13DaysBefore ",0.156143617876845," median_dewPoint_8DaysBefore ",0.150018402552204," min_temperature_14DaysBefore",0.141138277607096," max_windSpeed_10DaysBefore ",0.012796583200713,0.186765508193168,0.189634146995463,0.189635569545724,0.229779096189688
"t8371","measurement~max_humidity_0DaysBefore + median_windBearing_2DaysBefore + range_TidalProp_2DaysBefore + SST_3DaysBefore + max_TidalProp_10DaysBefore",0.371850325678069,"max_humidity_0DaysBefore ",0.286703170017356," median_windBearing_2DaysBefore ",0.108310768929575," range_TidalProp_2DaysBefore ",0.0296567886740816," SST_3DaysBefore ",0.0262941148142394," max_TidalProp_10DaysBefore",0.00335209019977784,0.326988105346974,0.338690512437855,0.371171399871433,0.371850325678069
"t8372","measurement~ max_windBearing_8DaysBefore + min_windSpeed_12DaysBefore+median_TidalHeight_3DaysBefore + max_windSpeed_4DaysBefore + median_windSpeed_5DaysBefore ",0.255492317464603," max_windBearing_8DaysBefore ",0.185131450786584," min_windSpeed_12DaysBefore",0.0287153595281871,"median_TidalHeight_3DaysBefore ",0.00347449167989731," max_windSpeed_4DaysBefore ",0.000173870042479171," median_windSpeed_5DaysBefore ",1.6378300518869e-05,0.236639102990595,0.253269487520708,0.25328242070635,0.255492317464603
