"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ max_windBearing_6DaysBefore + median_TidalProp_14DaysBefore+ median_windBearing_10DaysBefore + median_windSpeed_13DaysBefore +max_windBearing_0DaysBefore ",0.14895235207953," max_windBearing_6DaysBefore ",0.0520355750053662," median_TidalProp_14DaysBefore",0.0404026934645203," median_windBearing_10DaysBefore ",0.0319605010937935," median_windSpeed_13DaysBefore ",0.00376439155005864,"max_windBearing_0DaysBefore ",0.000745303507897004,0.101067297418509,0.101320727492923,0.148146285533937,0.148952352079529
"t10392","measurement~min_windBearing_1DaysBefore + PAR_10DaysBefore+ min_temperature_10DaysBefore + median_windBearing_8DaysBefore + min_TidalHeight_4DaysBefore ",0.334158323146946,"min_windBearing_1DaysBefore ",0.23345548477799," PAR_10DaysBefore",0.0866333083167986," min_temperature_10DaysBefore ",0.0859430487680954," median_windBearing_8DaysBefore ",0.0459886776080037," min_TidalHeight_4DaysBefore ",0.00591125516257304,0.306648066833661,0.307984680146173,0.323011618606265,0.334158323146946
"t12214","measurement~ min_windSpeed_13DaysBefore+ median_humidity_2DaysBefore + PAR_4DaysBefore + median_dewPoint_3DaysBefore +max_temperature_0DaysBefore ",0.278831646490172," min_windSpeed_13DaysBefore",0.1608657697496," median_humidity_2DaysBefore ",0.0414464062955352," PAR_4DaysBefore ",0.0381421603055231," median_dewPoint_3DaysBefore ",0.00376675393997589,"max_temperature_0DaysBefore ",0.000669180040283699,0.229821191639765,0.239304790757479,0.267701975729302,0.278831646490173
"t13307","measurement~ min_dewPoint_10DaysBefore + max_TidalHeight_9DaysBefore +max_humidity_2DaysBefore + median_TidalHeight_4DaysBefore + PAR_13DaysBefore",0.153005503598666," min_dewPoint_10DaysBefore ",0.109986446352262," max_TidalHeight_9DaysBefore ",0.0918235388096548,"max_humidity_2DaysBefore ",0.0419914236224814," median_TidalHeight_4DaysBefore ",0.0266907659979372," PAR_13DaysBefore",0.0229504954783114,0.110713532105026,0.120748203807837,0.123484996979994,0.153005503598666
"t14585","measurement~min_windBearing_1DaysBefore + min_temperature_10DaysBefore + PAR_10DaysBefore + median_temperature_10DaysBefore + median_dewPoint_11DaysBefore",0.237150911032676,"min_windBearing_1DaysBefore ",0.149730593356109," min_temperature_10DaysBefore ",0.061259041017188," PAR_10DaysBefore ",0.0579787193316437," median_temperature_10DaysBefore ",0.0334286217742203," median_dewPoint_11DaysBefore",0.00459368982670283,0.153760562512256,0.200794878037184,0.234354944250886,0.237150911032676
"t3260","measurement~ median_temperature_7DaysBefore + median_windSpeed_4DaysBefore + max_windSpeed_11DaysBefore+ min_windSpeed_3DaysBefore +max_dewPoint_0DaysBefore ",0.259907387014952," median_temperature_7DaysBefore ",0.121492764740122," median_windSpeed_4DaysBefore ",0.0817994067705802," max_windSpeed_11DaysBefore",0.0333664085623061," min_windSpeed_3DaysBefore ",0.0267904479965784,"max_dewPoint_0DaysBefore ",0.0153094087400511,0.143359397503028,0.195798797955253,0.197202706707439,0.259907387014952
"t3536","measurement~ max_dewPoint_4DaysBefore + max_windBearing_3DaysBefore + max_dewPoint_6DaysBefore+median_temperature_0DaysBefore + median_windBearing_0DaysBefore ",0.336868325164156," max_dewPoint_4DaysBefore ",0.213720767670232," max_windBearing_3DaysBefore ",0.102889954943676," max_dewPoint_6DaysBefore",0.0827753922391969,"median_temperature_0DaysBefore ",0.0530537099469144," median_windBearing_0DaysBefore ",0.0238248072527156,0.243979141224874,0.263797381413869,0.315872217634983,0.336868325164157
"t5033","measurement~ min_dewPoint_10DaysBefore+ max_humidity_3DaysBefore +PAR_1DaysBefore + max_humidity_6DaysBefore + median_windSpeed_6DaysBefore ",0.140814618495837," min_dewPoint_10DaysBefore",0.116982692836462," max_humidity_3DaysBefore ",0.09918194627071,"PAR_1DaysBefore ",0.00249011101058923," max_humidity_6DaysBefore ",0.00204443592374485," median_windSpeed_6DaysBefore ",0.000490002042730175,0.123760250907677,0.130320467350517,0.13121346039311,0.140814618495837
"t8053","measurement~ min_windSpeed_9DaysBefore + median_humidity_13DaysBefore+median_temperature_0DaysBefore + max_dewPoint_6DaysBefore + median_humidity_1DaysBefore ",0.119054286430129," min_windSpeed_9DaysBefore ",0.0564728577131743," median_humidity_13DaysBefore",0.015289641162355,"median_temperature_0DaysBefore ",0.0064964480563097," max_dewPoint_6DaysBefore ",0.00208032192885381," median_humidity_1DaysBefore ",0.000700236364189112,0.0897599626302248,0.0900494757563929,0.114976669434903,0.119054286430128
"t8371","measurement~ median_TidalHeight_8DaysBefore + max_windBearing_7DaysBefore + Photoperiod_14DaysBefore+median_windBearing_3DaysBefore + SST_9DaysBefore ",0.696249371506077," median_TidalHeight_8DaysBefore ",0.518471866054669," max_windBearing_7DaysBefore ",0.102734937965568," Photoperiod_14DaysBefore",0.0463992955009636,"median_windBearing_3DaysBefore ",0.0389454220337979," SST_9DaysBefore ",0.00217187437841453,0.518545053118047,0.600728486671644,0.639774151141898,0.696249371506077
"t8372","measurement~max_windBearing_0DaysBefore + median_TidalHeight_6DaysBefore + max_dewPoint_9DaysBefore + max_windBearing_4DaysBefore + median_dewPoint_11DaysBefore",0.238063624237607,"max_windBearing_0DaysBefore ",0.140815177071596," median_TidalHeight_6DaysBefore ",0.113338218001758," max_dewPoint_9DaysBefore ",0.00882347928513806," max_windBearing_4DaysBefore ",0.00156243932188187," median_dewPoint_11DaysBefore",0.000551065893519739,0.148923172430143,0.204078576151036,0.237803451462492,0.238063624237607
